index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,laccid,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
42,,275,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-275,,-0.3,,0.724137931034,,068-069,69,68,,,37.6245392969,55.7799225595
43,,275,,7763,,,,2G,EDGE,2,,,-80.0,,,7763-275,,-0.3,,0.73275862069,,068-069,69,68,,,37.6248101191,55.7799143111
44,,275,,7763,,,,2G,EDGE,2,,,-80.0,,,7763-275,,-0.3,,0.741379310345,,068-069,69,68,,,37.6250809413,55.7799060627
45,,275,,7763,,,,2G,EDGE,2,,,-82.0,,,7763-275,,-0.3,,0.75,,068-069,69,68,,,37.6253517537,55.7798977149
46,,275,,7763,,,,2G,EDGE,2,,,-80.0,,,7763-275,,-0.3,,0.758620689655,,068-069,69,68,,,37.625622539,55.7798890911
47,,275,,7763,,,,2G,EDGE,2,,,-78.0,,,7763-275,,-0.3,,0.76724137931,,068-069,69,68,,,37.6258933242,55.7798804674
48,,275,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-275,,-0.3,,0.775862068966,,068-069,69,68,,,37.6261641094,55.7798718437
49,,275,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-275,,-0.3,,0.784482758621,,068-069,69,68,,,37.6264348947,55.7798632199
50,,275,,7763,,,,2G,EDGE,2,,,-78.0,,,7763-275,,-0.3,,0.793103448276,,068-069,69,68,,,37.6267056799,55.7798545962
51,,275,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-275,,-0.3,,0.801724137931,,068-069,69,68,,,37.6269764651,55.7798459725
52,,275,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-275,,-0.3,,0.810344827586,,068-069,69,68,,,37.6272472504,55.7798373487
53,,275,,7763,,,,2G,EDGE,2,,,-78.0,,,7763-275,,-0.3,,0.818965517241,,068-069,69,68,,,37.6275180356,55.779828725
54,,275,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-275,,-0.3,,0.827586206897,,068-069,69,68,,,37.6277888208,55.7798201013
55,,275,,7763,,,,2G,EDGE,2,,,-79.0,,,7763-275,,-0.3,,0.836206896552,,068-069,69,68,,,37.6280596061,55.7798114775
56,,275,,7763,,,,2G,EDGE,2,,,-78.0,,,7763-275,,-0.3,,0.844827586207,,068-069,69,68,,,37.6283303913,55.7798028538
57,,275,,7763,,,,2G,EDGE,2,,,-76.0,,,7763-275,,-0.3,,0.853448275862,,068-069,69,68,,,37.6286011829,55.7797942935
58,,275,,7763,,,,2G,EDGE,2,,,-72.0,,,7763-275,,-0.3,,0.862068965517,,068-069,69,68,,,37.6288719776,55.7797857645
59,,275,,7763,,,,2G,EDGE,2,,,-69.0,,,7763-275,,-0.3,,0.870689655172,,068-069,69,68,,,37.6291427723,55.7797772355
60,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,7763-275,,-0.3,,0.879310344828,,068-069,69,68,,,37.629413567,55.7797687066
61,,275,,7763,,,,2G,EDGE,2,,,-66.0,,,7763-275,,-0.3,,0.887931034483,,068-069,69,68,,,37.6296843618,55.7797601776
62,,275,,7763,,,,2G,EDGE,2,,,-64.0,,,7763-275,,-0.3,,0.896551724138,,068-069,69,68,,,37.6299555424,55.7797577686
63,,275,,7763,,,,2G,EDGE,2,,,-63.0,,,7763-275,,-0.3,,0.905172413793,,068-069,69,68,,,37.6302267312,55.7797554897
64,,275,,7763,,,,2G,EDGE,2,,,-64.0,,,7763-275,,-0.3,,0.913793103448,,068-069,69,68,,,37.63049792,55.7797532108
65,,275,,7763,,,,2G,EDGE,2,,,-64.0,,,7763-275,,-0.3,,0.922413793103,,068-069,69,68,,,37.6307691088,55.7797509319
66,,275,,7763,,,,2G,EDGE,2,,,-66.0,,,7763-275,,-0.3,,0.931034482759,,068-069,69,68,,,37.6310403108,55.779750691
67,,275,,7763,,,,2G,EDGE,2,,,-66.0,,,7763-275,,-0.3,,0.939655172414,,068-069,69,68,,,37.6313115219,55.77975186
68,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,7763-275,,-0.3,,0.948275862069,,068-069,69,68,,,37.631582733,55.779753029
69,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,7763-275,,-0.3,,0.956896551724,,068-069,69,68,,,37.6318539441,55.779754198
70,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,7763-275,,-0.3,,0.965517241379,,068-069,69,68,,,37.6321251552,55.779755367
71,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,7763-275,,-0.3,,0.974137931034,,068-069,69,68,,,37.6323963664,55.7797565361
72,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,7763-275,,-0.3,,0.98275862069,,068-069,69,68,,,37.6326675775,55.7797577051
73,,275,,7763,,,,2G,EDGE,2,,,-94.0,,,7763-275,,-0.09,,0.0,,069-068,68,69,,,37.63321,55.77995
74,,275,,7763,,,,2G,EDGE,2,,,-94.0,,,7763-275,,-0.09,,0.00877192982456,,069-068,68,69,,,37.6329333374,55.77995
75,,275,,7763,,,,2G,EDGE,2,,,-95.0,,,7763-275,,-0.09,,0.0175438596491,,069-068,68,69,,,37.6326566829,55.7799509965
76,,275,,7763,,,,2G,EDGE,2,,,-96.0,,,7763-275,,-0.09,,0.0263157894737,,069-068,68,69,,,37.6323800319,55.7799524225
77,,275,,7763,,,,2G,EDGE,2,,,-98.0,,,7763-275,,-0.09,,0.0350877192982,,069-068,68,69,,,37.6321033808,55.7799538486
78,,275,,7763,,,,2G,EDGE,2,,,-98.0,,,7763-275,,-0.09,,0.0438596491228,,069-068,68,69,,,37.6318267298,55.7799552746
