index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,laccid,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
0,1,710,213.0,7765,250.0,2.0,Домодедовская 3,2G,EDGE,1,1.0,-1.0,-79.0,1.43590699887e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0,-79.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.71938,55.61087
1,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-79.0,1.43590700394e+12,Andrey,7765-710,25002.0,,1435906998.0,0.00751879699248,-79.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7195636477,55.6108984218
2,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-79.0,1.43590700600e+12,Andrey,7765-710,25002.0,,1435906998.0,0.015037593985,-79.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7197472955,55.6109268435
3,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-79.0,1.43590700711e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0225563909774,-79.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7199309432,55.6109552652
4,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-79.0,1.43590700822e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0300751879699,-79.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7201145909,55.6109836869
5,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-77.6140539475,1.43590700935e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0375939849624,-77.6140539475,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7202982386,55.6110121086
6,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-77.0,1.4359070104e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0451127819549,-77.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7204818864,55.6110405302
7,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-75.0,1.43590701141e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0526315789474,-75.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7206655341,55.6110689519
8,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-74.0572048221,1.43590701246e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0601503759398,-74.0572048221,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7208491818,55.6110973735
9,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-72.4022609304,1.43590701356e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0676691729323,-72.4022609304,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7210328295,55.6111257951
10,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-71.0,1.43590701464e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0751879699248,-71.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7212156246,55.6111559103
11,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-71.0,1.43590701464e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0827067669173,-71.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7213982716,55.6111863195
12,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-71.0,1.4359070157e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0902255639098,-71.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7215809185,55.6112167287
13,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-71.0,1.43590701672e+12,Andrey,7765-710,25002.0,,1435906998.0,0.0977443609023,-71.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7217635655,55.6112471379
14,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-71.0,1.43590701784e+12,Andrey,7765-710,25002.0,,1435906998.0,0.105263157895,-71.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7219462125,55.6112775471
15,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-71.0,1.43590701891e+12,Andrey,7765-710,25002.0,,1435906998.0,0.112781954887,-71.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7221288595,55.6113079563
16,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-70.9033201089,1.43590701996e+12,Andrey,7765-710,25002.0,,1435906998.0,0.12030075188,-70.9033201089,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7223115064,55.6113383654
17,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-69.2250113978,1.43590701996e+12,Andrey,7765-710,25002.0,,1435906998.0,0.127819548872,-69.2250113978,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7224941534,55.6113687745
18,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-69.0,1.43590702099e+12,Andrey,7765-710,25002.0,,1435906998.0,0.135338345865,-69.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7226768004,55.6113991836
19,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-66.652648667,1.43590702204e+12,Andrey,7765-710,25002.0,,1435906998.0,0.142857142857,-66.652648667,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7228594474,55.6114295926
20,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-63.3433461854,1.43590702313e+12,Andrey,7765-710,25002.0,,1435906998.0,0.15037593985,-63.3433461854,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7230420943,55.6114600017
21,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-61.0,1.43590702419e+12,Andrey,7765-710,25002.0,,1435906998.0,0.157894736842,-61.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7232247413,55.6114904107
22,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-61.0,1.43590702522e+12,Andrey,7765-710,25002.0,,1435906998.0,0.165413533835,-61.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7234073883,55.6115208197
23,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-61.0,1.43590702522e+12,Andrey,7765-710,25002.0,,1435906998.0,0.172932330827,-61.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7235900353,55.6115512286
24,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-61.0,1.43590702625e+12,Andrey,7765-710,25002.0,,1435906998.0,0.18045112782,-61.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7237726823,55.6115816376
25,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-63.4951231775,1.43590702729e+12,Andrey,7765-710,25002.0,,1435906998.0,0.187969924812,-63.4951231775,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7239553292,55.6116120465
26,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-68.6780369907,1.43590702836e+12,Andrey,7765-710,25002.0,,1435906998.0,0.195488721805,-68.6780369907,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7241379762,55.6116424554
27,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-75.3918323731,1.43590702937e+12,Andrey,7765-710,25002.0,,1435906998.0,0.203007518797,-75.3918323731,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7243206232,55.6116728643
28,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-81.0,1.43590703038e+12,Andrey,7765-710,25002.0,,1435906998.0,0.210526315789,-81.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7245032702,55.6117032731
29,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-81.4210680758,1.43590703143e+12,Andrey,7765-710,25002.0,,1435906998.0,0.218045112782,-81.4210680758,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7246859171,55.6117336819
30,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-89.8286096006,1.43590703143e+12,Andrey,7765-710,25002.0,,1435906998.0,0.225563909774,-89.8286096006,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7248685641,55.6117640907
31,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-95.3210949288,1.43590703248e+12,Andrey,7765-710,25002.0,,1435906998.0,0.233082706767,-95.3210949288,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7250512111,55.6117944995
32,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-99.2047829691,1.43590703355e+12,Andrey,7765-710,25002.0,,1435906998.0,0.240601503759,-99.2047829691,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.7252338581,55.6118249083
33,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-101.773157009,1.4359070346e+12,Andrey,7765-710,25002.0,,1435906998.0,0.248120300752,-101.773157009,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.725416505,55.611855317
34,1,710,,7765,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-103.0,1.43590703561e+12,Andrey,7765-710,25002.0,,1435906998.0,0.255639097744,-103.0,021-020,20,21,77603657.0,021-020-201507031003-Andrey-move.csv,37.725599152,55.6118857257
