index,index,interpStep,segment
0,1,0.00751879699248,021-020
0,2,0.00826446280992,022-021
0,3,0.00609756097561,023-022
0,4,0.00826446280992,024-023
0,5,0.00613496932515,025-027
0,6,0.00854700854701,026-027
0,7,0.0102040816327,035-034
0,8,0.00689655172414,036-037
0,9,0.00392156862745,037-036
0,10,0.0104166666667,037-038
0,11,0.00952380952381,038-037
0,12,0.00645161290323,038-039
0,13,0.00632911392405,039-038
0,14,0.00602409638554,039-040
0,15,0.00709219858156,040-041
0,16,0.00877192982456,041-040
0,17,0.00862068965517,068-069
0,18,0.00877192982456,069-068
0,19,0.00763358778626,071-072
0,20,0.010101010101,072-073
0,21,0.0126582278481,073-074
0,22,0.013698630137,074-073
0,23,0.0119047619048,074-075
0,24,0.0138888888889,075-074
0,25,0.00704225352113,087-086
0,26,0.00653594771242,087-088
0,27,0.00813008130081,088-087
0,28,0.00925925925926,088-089
0,29,0.00900900900901,089-088
0,30,0.00520833333333,089-090
0,31,0.00561797752809,090-089
0,32,0.010101010101,090-091
0,33,0.00961538461538,091-090
0,34,0.00826446280992,091-092
0,35,0.00833333333333,092-091
0,36,0.00840336134454,092-093
0,37,0.00934579439252,093-092
0,38,0.01,094-093
0,39,0.00751879699248,097-098
0,40,0.01,098-099
0,41,0.010752688172,099-098
0,42,0.00653594771242,099-100
0,43,0.0059880239521,100-099
0,44,0.00581395348837,100-101
0,45,0.00636942675159,101-100
0,46,0.0103092783505,106-105
0,47,0.00961538461538,121-120
0,48,0.00952380952381,122-121
0,49,0.00787401574803,123-122
0,50,0.0077519379845,129-130
0,51,0.00787401574803,130-129
0,52,0.00636942675159,130-131
0,53,0.00641025641026,131-130
0,54,0.00769230769231,131-132
0,55,0.00578034682081,132-131
0,56,0.00602409638554,132-133
0,57,0.00740740740741,133-132
0,58,0.0078125,133-134
0,59,0.00680272108844,134-133
0,60,0.0108695652174,134-135
0,61,0.0120481927711,135-134
0,62,0.0125,135-136
0,63,0.010101010101,136-135
0,64,0.00746268656716,136-137
0,65,0.0105263157895,137-136
0,66,0.00943396226415,141-142
0,67,0.00636942675159,142-143
0,68,0.00478468899522,143-144
0,69,0.00840336134454,144-143
0,70,0.00925925925926,144-145
0,71,0.0119047619048,145-146
0,72,0.010989010989,146-147
0,73,0.00689655172414,148-149
0,74,0.00719424460432,151-219
0,75,0.00662251655629,152-151
0,76,0.00769230769231,153-152
0,77,0.00826446280992,154-161
0,78,0.0049504950495,155-154
0,79,0.00552486187845,156-155
0,80,0.00617283950617,157-156
0,81,0.00591715976331,158-157
0,82,0.00847457627119,159-158
0,83,0.0077519379845,161-153
0,84,0.00684931506849,219-151
0,85,0.00555555555556,226-024
