segment,pathTime,stdev
002-003,216.0,0.0
003-002,193.2,0.0
003-004,174.3,0.0
004-003,182.3,0.0
004-005,93.9,0.0
005-004,105.8,0.0
005-006,83.4,0.0
006-005,88.8,0.0
006-007,77.3,2.16
007-006,129.1,0.0
007-008,68.4,1.81
008-007,94.2,0.0
008-009,93.7,3.8
009-008,101.8,0.0
009-010,76.5,2.26
010-009,80.5,2.47
010-011,83.5,3.32
011-010,92.1,0.0
011-012,36.6,29.67
012-011,94.1,0.0
012-013,38.1,33.38
013-012,115.9,0.0
013-014,82.2,51.24
014-013,91.3,36.14
014-015,66.7,15.9
015-014,81.5,4.23
015-016,148.4,1.99
016-015,99.3,48.89
016-017,193.1,0.0
017-016,170.5,0.0
017-018,48.6,9.77
018-017,271.3,0.0
018-019,37.9,0.0
020-021,105.9,1.14
021-020,132.6,11.73
021-022,113.8,2.77
022-021,120.6,0.06
022-023,162.0,4.0
023-022,163.7,58.93
023-024,84.1,37.44
024-023,120.7,0.41
025-027,162.9,8.68
026-027,117.0,30.38
027-025,107.4,41.81
027-026,111.0,8.09
028-029,240.0,0.0
028-226,45.1,0.0
029-028,232.1,0.0
029-030,191.4,0.0
030-029,44.9,0.0
030-031,44.4,0.0
031-030,45.9,0.0
031-032,149.0,0.0
032-031,43.5,0.0
032-033,94.2,2.06
033-034,46.4,0.0
034-033,42.0,0.0
035-034,97.8,0.27
035-036,134.0,0.21
036-035,137.2,0.21
036-037,145.3,0.49
037-036,254.8,0.23
037-038,95.6,0.31
038-037,104.9,0.04
038-039,154.8,0.34
039-038,157.8,44.88
039-040,166.3,0.16
040-041,141.1,0.59
041-040,113.6,31.12
042-043,47.3,0.0
044-043,116.8,4.85
044-045,98.9,0.0
045-044,98.4,0.0
045-046,156.0,0.0
046-047,168.5,0.0
047-046,182.9,0.0
047-048,114.3,0.0
048-047,130.2,0.0
048-049,92.0,4.41
049-048,90.3,3.75
049-050,156.9,29.3
050-049,145.8,15.82
050-051,194.5,2.7
051-050,170.3,1.99
051-052,144.9,26.52
052-051,153.6,5.07
053-052,127.6,6.76
054-055,41.8,0.0
055-056,109.5,0.0
056-057,111.7,0.0
057-056,85.5,45.84
057-058,141.8,0.03
057-188,315.3,0.0
058-059,109.1,0.05
059-058,109.7,0.0
059-060,136.4,4.36
060-059,136.3,0.0
060-061,129.9,1.3
061-060,118.6,0.0
061-062,89.9,0.61
062-061,90.6,0.0
062-063,94.5,4.23
063-062,125.8,0.0
063-064,106.0,0.0
064-063,166.7,0.0
065-066,134.2,0.0
065-210,166.7,66.31
066-211,244.6,0.0
067-068,92.2,8.19
067-078,115.2,3.82
068-067,91.6,20.05
068-069,115.8,3.64
069-068,114.1,26.54
069-070,117.6,13.05
070-069,122.2,0.0
070-071,131.6,0.0
071-070,142.0,0.0
071-072,130.7,10.44
072-071,120.7,0.16
072-073,99.3,7.18
073-072,95.3,0.0
073-074,79.0,13.16
074-073,72.9,0.58
074-075,84.1,11.51
075-074,72.3,2.37
075-076,86.1,0.0
076-075,96.7,4.99
076-077,117.8,0.0
077-076,135.4,18.1
077-078,128.5,2.56
078-067,119.6,3.45
078-077,127.4,0.0
079-080,135.4,0.0
080-079,137.1,0.0
080-081,235.0,0.0
081-080,198.8,0.0
081-082,129.6,0.0
082-081,145.2,0.0
082-083,167.7,0.0
083-082,179.7,0.0
083-084,129.4,0.0
084-083,146.3,0.0
085-084,121.3,0.0
087-086,142.2,0.37
087-088,153.2,40.22
088-087,123.1,0.11
088-089,107.8,6.96
089-088,110.9,4.12
089-090,192.1,3.86
090-089,178.0,51.89
090-091,99.4,0.52
091-090,103.8,19.83
091-092,120.5,15.52
092-091,119.7,0.64
092-093,118.6,38.67
093-092,106.5,3.29
093-094,64.4,5.19
094-093,99.5,7.85
094-095,76.8,0.0
095-094,71.6,2.36
095-096,112.2,1.49
096-095,67.3,29.2
096-097,89.5,54.94
097-096,148.1,6.13
097-098,133.3,45.81
098-097,81.3,46.44
098-099,99.6,22.47
099-098,92.9,15.54
099-100,152.8,35.74
100-099,166.8,42.84
100-101,171.5,0.44
101-100,157.2,71.59
101-102,95.8,0.0
102-101,127.4,0.0
102-103,83.1,0.0
103-102,129.8,39.67
103-104,111.6,0.0
104-103,117.0,13.6
104-105,143.1,0.0
105-104,161.9,5.46
105-106,85.1,0.0
106-105,96.7,6.02
106-107,137.0,0.0
107-106,138.5,8.47
108-107,160.8,42.93
109-108,119.4,0.57
118-119,89.7,9.64
118-227,71.9,1.5
119-118,87.0,0.26
119-120,127.4,11.48
120-119,87.9,40.28
120-121,101.1,24.51
121-120,104.3,3.1
121-122,104.1,4.56
122-121,105.4,6.67
122-123,119.1,2.26
123-122,127.4,7.11
123-124,173.5,0.0
124-123,178.4,3.49
124-125,163.3,0.0
125-234,173.2,0.0
126-127,162.5,0.0
126-234,76.4,0.0
127-126,161.8,0.0
127-128,97.5,0.0
128-127,90.6,0.0
129-130,128.5,0.22
130-129,127.4,0.15
130-131,156.7,0.12
131-130,156.0,47.32
131-132,130.0,0.05
132-131,173.3,0.32
132-133,165.7,0.27
133-132,134.8,22.3
133-134,127.8,1.09
134-133,146.8,0.25
134-135,91.5,2.73
135-134,83.0,0.41
135-136,79.9,40.54
136-135,98.9,24.93
136-137,133.6,42.38
137-136,94.9,0.4
138-137,47.4,0.0
138-139,77.1,7.4
139-138,74.3,0.0
