Segment,lc,user,race_id,mean,meas,stdev,system,weight
072-071,26627-19005,Kolka,678982154,-87.0,13.0,1.10940039245,-1.36157671763,0.8125
072-071,26627-19005,User1,735528474,-91.7142857143,14.0,2.46195541994,3.35270899666,0.164983164983
072-073,26803-129593777,Andrey,93127995,-98.1724137931,29.0,0.985024610833,2.02419758073,1.0306372549
072-073,26803-129593777,Kolka,17843976,-91.0,28.0,0.0,,inf
072-073,26803-129593777,User1,43306276,-90.7333333333,30.0,1.61107279648,-5.41488287904,0.385273972603
072-073,26803-129593777,User1,136139350,-98.1724137931,29.0,0.985024610833,2.02419758073,1.0306372549
072-073,26803-129593777,User1,895965397,-91.0,28.0,0.0,,inf
072-073,26803-129593777,balash,66322572,-90.7333333333,30.0,1.61107279648,-5.41488287904,0.385273972603
073-074,26802-129593798,Andrey,484566205,-93.6,30.0,2.97321374946,-1.00650113447,0.113122171946
073-074,26802-129593798,Kolka,675380454,-91.0,27.0,0.0,,inf
073-074,26802-129593798,User1,309316313,-91.0,27.0,0.0,,inf
073-074,26802-129593798,User1,776707238,-81.7692307692,26.0,3.80594365442,-12.8372703652,0.0690359477124
073-074,26802-129593798,User1,852333853,-93.6,30.0,2.97321374946,-1.00650113447,0.113122171946
073-074,26802-129593798,balash,882226727,-81.7692307692,26.0,3.80594365442,-12.8372703652,0.0690359477124
073-074,26802-129593798,taimyr,240151535,-96.3548387097,31.0,0.934927532012,1.7483375752,1.14404761905
073-074,26802-19126,Kolka,675380454,-91.0,5.0,0.0,,inf
073-074,26802-19126,User1,309316313,-91.0,5.0,0.0,,inf
073-074,26802-19126,User1,776707238,-72.0,8.0,1.73205080757,0.0,0.333333333333
073-074,26802-19126,balash,882226727,-72.0,8.0,1.73205080757,0.0,0.333333333333
074-075,26802-19067,Andrey,869017128,-92.8378378378,37.0,2.60471001149,4.1537859319,0.147394487511
074-075,26802-19067,User1,494124581,-92.8378378378,37.0,2.60471001149,4.1537859319,0.147394487511
074-075,26802-19067,User1,820043660,-87.4444444444,36.0,1.42291649721,-1.23960746149,0.493902439024
074-075,26802-19067,balash,965621813,-87.4444444444,36.0,1.42291649721,-1.23960746149,0.493902439024
075-076,26802-129593759,Andrey,672664849,-91.125,32.0,1.99608992783,0.44120049285,0.250980392157
075-076,26802-129593759,Kolka,571982438,-94.1666666667,36.0,3.31243448573,3.48286715952,0.0911392405063
075-076,26802-129593759,User1,244915165,-94.1666666667,36.0,3.31243448573,3.48286715952,0.0911392405063
075-076,26802-129593759,User1,456176266,-88.2195121951,41.0,2.57106028353,-2.46428731203,0.151277897768
075-076,26802-129593759,balash,889289284,-88.2195121951,41.0,2.57106028353,-2.46428731203,0.151277897768
103-102,770-542,User1,940910428,-76.7142857143,14.0,1.66598625567,-0.117039586919,0.360294117647
103-102,770-542,bishop,940910428,-77.0,2.0,2.0,0.168674698795,0.25
104-103,26802-49575,User1,656996207,-91.0,10.0,2.683281573,0.0,0.138888888889
104-103,26802-49575,bishop,656996207,-85.0,1.0,0.0,,inf
104-103,770-541,User1,605120179,-73.2666666667,15.0,4.89171635409,0.415609320089,0.0417904903418
104-103,770-541,User1,656996207,-89.0,7.0,0.0,,inf
104-103,770-541,bishop,605120179,-72.0,2.0,7.0,-0.851057346578,0.0204081632653
104-103,770-541,bishop,656996207,-89.0,1.0,0.0,,inf
105-104,770-563,User1,81436057,-76.5384615385,13.0,2.4997041245,4.05944397831,0.160037878788
105-104,770-563,User1,590187157,-72.7647058824,17.0,2.36467661673,0.285688322201,0.178836633663
105-104,770-563,bishop,81436057,-74.0,2.0,3.0,1.52098243985,0.111111111111
105-104,770-563,bishop,590187157,-69.0,2.0,2.0,-3.47901756015,0.25
106-105,26802-49585,User1,550076820,-74.8571428571,14.0,1.76704526812,0.0,0.320261437908
106-105,26802-49585,bishop,550076820,-83.0,1.0,0.0,,inf
106-105,7736-1060,User1,150731643,-71.8,5.0,0.979795897113,0.0,1.04166666667
106-105,7736-1060,bishop,150731643,-71.0,2.0,0.0,,inf
107-106,770-562,User1,840454568,-68.0526315789,19.0,2.18785365167,0.0,0.208912037037
107-106,770-562,bishop,840454568,-63.0,1.0,0.0,,inf
108-107,770-561,User1,410972331,-63.0,3.0,0.0,,inf
108-107,770-561,User1,678324615,-70.7647058824,17.0,1.66378066162,0.179877890586,0.36125
108-107,770-561,bishop,410972331,-63.0,1.0,0.0,,inf
108-107,770-561,bishop,678324615,-70.0,2.0,3.0,-0.584827991767,0.111111111111
109-108,770-561,User1,27877581,-59.0,17.0,3.28991328332,1.63798219585,0.0923913043478
109-108,770-561,bishop,27877581,-56.0,2.0,3.0,-1.36201780415,0.111111111111
140-141,770-401,User1,858658753,-80.3684210526,19.0,2.43246737017,-0.170507157682,0.169007490637
140-141,770-401,bishop,858658753,-81.0,2.0,4.0,0.461071789687,0.0625
141-140,770-363,Bishop,382407105,-73.0,17.0,6.99579705756,-1.03572715127,0.0204326923077
141-140,770-363,md,46302866,-74.6153846154,26.0,5.23359652098,0.579657464118,0.0365089652193
141-140,770-6899838,Bishop,382407105,-90.5555555556,9.0,0.831479419283,0.878658985265,1.44642857143
141-140,770-6899838,md,46302866,-78.0,4.0,5.0,-11.6768965703,0.04
141-140,770-6899838,md,690224869,-85.0,11.0,2.41209075662,-4.67689657029,0.171875
141-142,770-402,User1,807540142,-82.3636363636,22.0,2.65510579391,1.02874930734,0.141852286049
141-142,770-402,bishop,807540142,-79.0,2.0,4.0,-2.33488705629,0.0625
142-141,770-401,Bishop,378910030,-79.0,4.0,0.0,,inf
142-141,770-401,md,869689113,-72.3636363636,22.0,4.72464962189,0.0,0.0447982228804
142-143,770-603,User1,343861648,-65.7272727273,22.0,2.04898684902,-0.0867535720385,0.238188976378
142-143,770-603,bishop,343861648,-66.0,2.0,3.0,0.185973700689,0.111111111111
143-144,770-603,User1,159357011,-83.25,16.0,7.03118055521,0.0,0.0202275600506
143-144,770-603,bishop,159357011,-69.0,1.0,0.0,,inf
143-144,7755-10424399,Anna,591738402,-90.7692307692,26.0,3.00394218304,0.0,0.110819672131
143-144,7755-10424399,User1,159357011,-87.0,1.0,0.0,,inf
