index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators
23303,250-1-234-4231,15076,,213.0,234,250,1,Девяткино 3,2G,EDGE,-1,-91,1435592584180,Stanislav,1435592584,0.0,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426983471,60.0508479593,234-15076,021-020,25001
23305,250-1-234-4231,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592584989,Stanislav,1435592584,0.000109640318616,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426969844,60.0508458548,234-15076,021-020,25001
23306,250-1-234-4231,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592584989,Stanislav,1435592584,0.000109640318616,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426969844,60.0508458548,234-15073,021-020,25001
23309,250-1-234-4231,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592586037,Stanislav,1435592584,0.000577692830758,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426911669,60.0508368709,234-15076,021-020,25001
23310,250-1-234-4231,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592586037,Stanislav,1435592584,0.000577692830758,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426911669,60.0508368709,234-15073,021-020,25001
23313,250-1-234-4231,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592587049,Stanislav,1435592584,0.00137890489438,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426812086,60.0508214923,234-15076,021-020,25001
23314,250-1-234-4231,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592587049,Stanislav,1435592584,0.00137890489438,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426812086,60.0508214923,234-15073,021-020,25001
23317,250-1-234-4231,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592587049,Stanislav,1435592584,0.00137890489438,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426812086,60.0508214923,234-23141,021-020,25001
23319,250-1-234-4231,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592588069,Stanislav,1435592584,0.00253366447412,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426668561,60.0507993275,234-15076,021-020,25001
23320,250-1-234-4231,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592588069,Stanislav,1435592584,0.00253366447412,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426668561,60.0507993275,234-15073,021-020,25001
23323,250-1-234-4231,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592588069,Stanislav,1435592584,0.00253366447412,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426668561,60.0507993275,234-23141,021-020,25001
23325,250-1-234-4231,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592589083,Stanislav,1435592584,0.0040271424708,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426482936,60.0507706613,234-15076,021-020,25001
23326,250-1-234-4231,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592589083,Stanislav,1435592584,0.0040271424708,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426482936,60.0507706613,234-15073,021-020,25001
23329,250-1-234-4231,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592589083,Stanislav,1435592584,0.0040271424708,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426482936,60.0507706613,234-23141,021-020,25001
23331,250-1-234-4231,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592590102,Stanislav,1435592584,0.00587502914436,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426253262,60.0507351924,234-15076,021-020,25001
23332,250-1-234-4231,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592590102,Stanislav,1435592584,0.00587502914436,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426253262,60.0507351924,234-15073,021-020,25001
23335,250-1-234-4231,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592590102,Stanislav,1435592584,0.00587502914436,020,021,,021-020-201506291843-Stanislav-move.csv,30.4426253262,60.0507351924,234-23141,021-020,25001
23336,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592591118,Stanislav,1435592584,0.00806383839834,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425981214,60.0506931797,234-15076,021-020,25001
23337,250-1-234-15076,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592591118,Stanislav,1435592584,0.00806383839834,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425981214,60.0506931797,234-15073,021-020,25001
23338,250-1-234-15076,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592591118,Stanislav,1435592584,0.00806383839834,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425981214,60.0506931797,234-23141,021-020,25001
23339,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592592148,Stanislav,1435592584,0.0106358419023,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425661539,60.0506438117,234-15076,021-020,25001
23340,250-1-234-15076,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592592148,Stanislav,1435592584,0.0106358419023,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425661539,60.0506438117,234-15073,021-020,25001
23341,250-1-234-15076,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592592148,Stanislav,1435592584,0.0106358419023,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425661539,60.0506438117,234-23141,021-020,25001
23342,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-95,1435592593159,Stanislav,1435592584,0.0135060750369,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425304797,60.0505887194,234-15076,021-020,25001
23343,250-1-234-15076,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592593159,Stanislav,1435592584,0.0135060750369,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425304797,60.0505887194,234-15073,021-020,25001
23344,250-1-234-15076,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592593159,Stanislav,1435592584,0.0135060750369,020,021,,021-020-201506291843-Stanislav-move.csv,30.4425304797,60.0505887194,234-23141,021-020,25001
23345,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-95,1435592594175,Stanislav,1435592584,0.0167355047843,020,021,,021-020-201506291843-Stanislav-move.csv,30.442490341,60.0505267324,234-15076,021-020,25001
23346,250-1-234-15076,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-91,1435592594175,Stanislav,1435592584,0.0167355047843,020,021,,021-020-201506291843-Stanislav-move.csv,30.442490341,60.0505267324,234-15073,021-020,25001
23347,250-1-234-15076,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592594175,Stanislav,1435592584,0.0167355047843,020,021,,021-020-201506291843-Stanislav-move.csv,30.442490341,60.0505267324,234-23141,021-020,25001
23348,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592595191,Stanislav,1435592584,0.0203107868321,020,021,,021-020-201506291843-Stanislav-move.csv,30.4424459037,60.0504581068,234-15076,021-020,25001
23349,250-1-234-15076,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592595191,Stanislav,1435592584,0.0203107868321,020,021,,021-020-201506291843-Stanislav-move.csv,30.4424459037,60.0504581068,234-15073,021-020,25001
23350,250-1-234-15076,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-97,1435592595191,Stanislav,1435592584,0.0203107868321,020,021,,021-020-201506291843-Stanislav-move.csv,30.4424459037,60.0504581068,234-23141,021-020,25001
23351,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592596210,Stanislav,1435592584,0.0242440115333,020,021,,021-020-201506291843-Stanislav-move.csv,30.4423970175,60.0503826106,234-15076,021-020,25001
23352,250-1-234-15076,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592596210,Stanislav,1435592584,0.0242440115333,020,021,,021-020-201506291843-Stanislav-move.csv,30.4423970175,60.0503826106,234-15073,021-020,25001
23353,250-1-234-15076,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-97,1435592596210,Stanislav,1435592584,0.0242440115333,020,021,,021-020-201506291843-Stanislav-move.csv,30.4423970175,60.0503826106,234-23141,021-020,25001
23354,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592597229,Stanislav,1435592584,0.0285251339995,020,021,,021-020-201506291843-Stanislav-move.csv,30.4423433731,60.0503005092,234-15076,021-020,25001
23355,250-1-234-15076,15073,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592597229,Stanislav,1435592584,0.0285251339995,020,021,,021-020-201506291843-Stanislav-move.csv,30.4423433731,60.0503005092,234-15073,021-020,25001
23356,250-1-234-15076,23141,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592597229,Stanislav,1435592584,0.0285251339995,020,021,,021-020-201506291843-Stanislav-move.csv,30.4423433731,60.0503005092,234-23141,021-020,25001
23357,250-1-234-15076,2054,,,234,250,1,ServiceLog,2G,EDGE,-1,-99,1435592597229,Stanislav,1435592584,0.0285251339995,020,021,,021-020-201506291843-Stanislav-move.csv,30.4423433731,60.0503005092,234-2054,021-020,25001
23358,1,15076,,,234,250,1,ServiceLog,2G,EDGE,-1,-93,1435592598247,Stanislav,1435592584,0.0331494402019,020,021,,021-020-201506291843-Stanislav-move.csv,30.4422818679,60.0502124233,234-15076,021-020,25001
