,CID,LAC,NetworkGen,NetworkType,NumRaces,NumUsers,Power,laccid,quality,ratio,segment,segment_end_id,segment_start_id,weight,x,y
0,6889987,660,3G,UMTS,1,1,-109.0,UMTS-3G-660-6889987,0.89,0.0,001-002,002,001,uniform,37.73444,55.8146
1,6889987,660,3G,UMTS,1,1,-109.0,UMTS-3G-660-6889987,0.89,0.074661121355,001-002,002,001,uniform,37.7361290932,55.8141349301
2,6889987,660,3G,UMTS,1,1,-91.0,UMTS-3G-660-6889987,0.89,0.14932224271,001-002,002,001,uniform,37.7378181864,55.8136698547
3,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.223983364065,001-002,002,001,uniform,37.7395072796,55.8132047738
4,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.29864448542,001-002,002,001,uniform,37.7411963728,55.8127396872
5,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.373305606775,001-002,002,001,uniform,37.7428837674,55.8122726548
6,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.44796672813,001-002,002,001,uniform,37.7444202577,55.8116736572
7,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.522627849485,001-002,002,001,uniform,37.7450267538,55.8106769437
8,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.59728897084,001-002,002,001,uniform,37.7451724411,55.8096314998
9,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.671950092195,001-002,002,001,uniform,37.7451294751,55.8085748074
10,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.74661121355,001-002,002,001,uniform,37.7450999295,55.8075178873
11,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.821272334905,001-002,002,001,uniform,37.7449251765,55.8064665262
12,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.89593345626,001-002,002,001,uniform,37.7447979408,55.8054134195
13,6889987,660,3G,UMTS,1,1,-97.0,UMTS-3G-660-6889987,0.89,0.970594577615,001-002,002,001,uniform,37.7447758538,55.8043563515
14,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.975350610114,001-002,002,001,uniform,37.7447748335,55.8042890113
15,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.976688488585,001-002,002,001,uniform,37.7447745465,55.8042700684
16,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.978026367056,001-002,002,001,uniform,37.7447742595,55.8042511255
17,6929814,660,3G,UMTS,1,1,-88.0,UMTS-3G-660-6929814,,0.979364245526,001-002,002,001,uniform,37.7447739724,55.8042321826
