index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,grabbed,iter
60544,1,1020,1013.0,7736,250,2,Академическая 3,2G,EDGE,-1,-69.0,0.0,Anna,1435915698,0.0,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.57358,55.68779,7736-1020,101-100,25002,-71.0,0.0,1
60556,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-69.0,1.0,Anna,1435915698,0.00636942675159,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5737705164,55.6879678165,7736-1020,101-100,25002,-70.9578837882,0.0,1
60558,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-69.0,2.0,Anna,1435915698,0.0127388535032,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5738575972,55.6880490922,7736-1020,101-100,25002,-69.0,0.0,1
60562,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,3.0,Anna,1435915698,0.0191082802548,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5740737022,55.6882507901,7736-1020,101-100,25002,-65.0,0.0,1
60564,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-64.8837761287,4.0,Anna,1435915698,0.0254777070064,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5742006972,55.6883693183,7736-1020,101-100,25002,-64.8837761287,0.0,1
60568,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-63.0,5.0,Anna,1435915698,0.031847133758,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5743398737,55.6885008141,7736-1020,101-100,25002,-63.0,0.0,1
60568,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-63.0,6.0,Anna,1435915698,0.0382165605096,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5743398737,55.6885008141,7736-1020,101-100,25002,-63.0,0.0,1
60570,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-61.0,7.0,Anna,1435915698,0.0445859872611,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5744581204,55.6886303225,7736-1020,101-100,25002,-52.6032228236,0.0,1
60572,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-61.0,8.0,Anna,1435915698,0.0509554140127,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5745659262,55.6887718525,7736-1020,101-100,25002,-51.0,0.0,1
60574,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-61.0,9.0,Anna,1435915698,0.0573248407643,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5746366461,55.6889132923,7736-1020,101-100,25002,-57.73584291,0.0,1
60576,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-61.0,10.0,Anna,1435915698,0.0636942675159,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5747039815,55.6890639508,7736-1020,101-100,25002,-61.0,0.0,1
60578,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,11.0,Anna,1435915698,0.0700636942675,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5747578432,55.689207582,7736-1020,101-100,25002,-72.4037295618,0.0,1
60580,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,12.0,Anna,1435915698,0.0764331210191,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5748124245,55.689353483,7736-1020,101-100,25002,-85.0,0.0,1
60582,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,13.0,Anna,1435915698,0.0828025477707,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5748656521,55.6894958634,7736-1020,101-100,25002,-78.5384033724,0.0,1
60584,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,14.0,Anna,1435915698,0.0891719745223,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5749206189,55.6896428953,7736-1020,101-100,25002,-65.0,0.0,1
60586,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,15.0,Anna,1435915698,0.0955414012739,100,101,244724959.0,101-100-201507031314-Anna-move.csv,37.5749738993,55.6897854156,7736-1020,101-100,25002,-65.0,0.0,1
