index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators
46859,1,50295,22 Окт 2015 г. 20:34:36,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535276023, julia,1445535167,0.824143970117,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3110208063,60.0144754918,14765-50295,036-037,25099
46860,1,50295,22 Окт 2015 г. 20:34:37,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535277076, julia,1445535167,0.833064599172,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3112684182,60.0145869391,14765-50295,036-037,25099
46861,1,50295,22 Окт 2015 г. 20:34:38,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535278137, julia,1445535167,0.842053002436,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3115179113,60.0146992328,14765-50295,036-037,25099
46862,1,50295,22 Окт 2015 г. 20:34:39,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535279183, julia,1445535167,0.850914330321,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3117638771,60.0148099385,14765-50295,036-037,25099
46863,1,50295,22 Окт 2015 г. 20:34:40,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535280234, julia,1445535167,0.859818015318,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3120110187,60.0149211729,14765-50295,036-037,25099
46864,1,50295,22 Окт 2015 г. 20:34:41,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535281305, julia,1445535167,0.868891134829,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3122628633,60.0150345238,14765-50295,036-037,25099
46865,1,50295,22 Окт 2015 г. 20:34:42,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535282374, julia,1445535167,0.877947310283,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3125142375,60.0151476626,14765-50295,036-037,25099
46866,1,50295,22 Окт 2015 г. 20:34:43,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535283436, julia,1445535167,0.886944184566,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3127639658,60.0152600601,14765-50295,036-037,25099
46867,1,50295,22 Окт 2015 г. 20:34:44,,14765,250,99,ServiceLog,2G,GPRS,-1,-101,1445535284499, julia,1445535167,0.895949529868,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3130139291,60.0153725631,14765-50295,036-037,25099
46868,1,50295,22 Окт 2015 г. 20:34:45,,14765,250,99,ServiceLog,2G,GPRS,-1,-99,1445535285572, julia,1445535167,0.905039591416,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.313266244,60.0154861241,14765-50295,036-037,25099
46869,1,50295,22 Окт 2015 г. 20:34:46,,14765,250,99,ServiceLog,2G,GPRS,-1,-99,1445535286634, julia,1445535167,0.914036465699,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3135159722,60.0155985205,14765-50295,036-037,25099
46870,1,50295,22 Окт 2015 г. 20:34:47,,14765,250,99,ServiceLog,2G,GPRS,-1,-105,1445535287702, julia,1445535167,0.923084168114,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3137671113,60.0157115515,14765-50295,036-037,25099
46871,1,50295,22 Окт 2015 г. 20:34:48,,14765,250,99,ServiceLog,2G,GPRS,-1,-105,1445535288765, julia,1445535167,0.932089515435,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3140170747,60.015824053,14765-50295,036-037,25099
46872,1,50295,22 Окт 2015 г. 20:34:48,371.0,14765,250,99,Удельная 1,2G,GPRS,-1,-105,1445535289389, julia,1445535167,0.932089515435,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3140170747,60.015824053,14765-50295,036-037,25099
46873,1,50295,22 Окт 2015 г. 20:34:49,,14765,250,99,ServiceLog,2G,GPRS,-1,-97,1445535289833, julia,1445535167,0.935792028265,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3141198462,60.0158703074,14765-50295,036-037,25099
46874,1,50295,22 Окт 2015 г. 20:34:50,,14765,250,99,ServiceLog,2G,GPRS,-1,-97,1445535290900, julia,1445535167,0.94420809705,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3143534529,60.0159754467,14765-50295,036-037,25099
46875,1,50295,22 Окт 2015 г. 20:34:51,,14765,250,99,ServiceLog,2G,GPRS,-1,-97,1445535291961, julia,1445535167,0.951902343432,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3145670238,60.0160715682,14765-50295,036-037,25099
46876,1,50295,22 Окт 2015 г. 20:34:53,,14765,250,99,ServiceLog,2G,GPRS,-1,-97,1445535293018, julia,1445535167,0.958898788631,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3147612256,60.0161589721,14765-50295,036-037,25099
46877,1,50295,22 Окт 2015 г. 20:34:54,,14765,250,99,ServiceLog,2G,GPRS,-1,-97,1445535294081, julia,1445535167,0.965261724808,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3149378431,60.0162384616,14765-50295,036-037,25099
46878,1,50295,22 Окт 2015 г. 20:34:55,,14765,250,99,ServiceLog,2G,GPRS,-1,-97,1445535295147, julia,1445535167,0.970964625407,037,036,119655405.0,036-037-201510222032- julia-move.csv,30.3150961397,60.0163097054,14765-50295,036-037,25099
