index,index,interpStep,segment
0,1,0.00917431192661,003-004
0,2,0.00694444444444,004-003
0,3,0.00813008130081,004-005
0,4,0.00684931506849,005-004
0,5,0.00826446280992,005-006
0,6,0.00769230769231,006-005
0,7,0.00568181818182,006-007
0,8,0.00606060606061,007-006
0,9,0.00653594771242,007-008
0,10,0.00694444444444,008-007
0,11,0.00840336134454,008-009
0,12,0.00961538461538,009-008
0,13,0.0105263157895,009-010
0,14,0.0102040816327,010-009
0,15,0.0126582278481,010-011
0,16,0.0114942528736,011-010
0,17,0.010989010989,011-012
0,18,0.0128205128205,012-011
0,19,0.00840336134454,012-013
0,20,0.00813008130081,013-012
0,21,0.00719424460432,013-014
0,22,0.00735294117647,014-013
0,23,0.0078125,014-015
0,24,0.00869565217391,015-014
0,25,0.00763358778626,015-016
0,26,0.00684931506849,016-015
0,27,0.00641025641026,016-017
0,28,0.00632911392405,017-016
0,29,0.00925925925926,017-018
0,30,0.00925925925926,018-017
0,31,0.00819672131148,018-019
0,32,0.0103092783505,019-018
0,33,0.004329004329,019-020
0,34,0.00571428571429,020-019
0,35,0.00425531914894,020-021
0,36,0.00558659217877,021-020
0,37,0.00806451612903,023-024
0,38,0.00396825396825,024-023
0,39,0.00502512562814,024-025
0,40,0.00546448087432,025-024
0,41,0.00735294117647,025-026
0,42,0.0078125,026-025
0,43,0.00909090909091,026-027
0,44,0.0117647058824,027-026
0,45,0.00909090909091,027-028
0,46,0.00847457627119,028-027
0,47,0.00892857142857,028-029
0,48,0.00925925925926,029-028
0,49,0.00961538461538,029-030
0,50,0.00925925925926,030-029
0,51,0.0178571428571,030-031
0,52,0.0105263157895,031-032
0,53,0.0114942528736,032-031
0,54,0.00609756097561,032-033
0,55,0.0059880239521,033-032
0,56,0.00900900900901,033-034
0,57,0.0114942528736,034-033
0,58,0.00558659217877,034-035
0,59,0.0181818181818,035-034
0,60,0.00740740740741,035-036
0,61,0.0166666666667,036-035
0,62,0.010989010989,036-037
0,63,0.00735294117647,037-036
0,64,0.00719424460432,037-038
0,65,0.00934579439252,038-037
0,66,0.00469483568075,038-039
0,67,0.00917431192661,039-038
0,68,0.00485436893204,039-040
0,69,0.00574712643678,040-039
0,70,0.00403225806452,042-043
0,71,0.00389105058366,043-042
0,72,0.00724637681159,043-044
0,73,0.00694444444444,044-043
0,74,0.00636942675159,044-045
0,75,0.00609756097561,045-044
0,76,0.00561797752809,045-046
0,77,0.00564971751412,046-045
0,78,0.00418410041841,046-047
0,79,0.00617283950617,047-046
0,80,0.00689655172414,047-048
0,81,0.00680272108844,048-047
0,82,0.00689655172414,048-049
0,83,0.00735294117647,049-048
0,84,0.0026525198939,052-049
0,85,0.00833333333333,063-064
0,86,0.00862068965517,064-063
0,87,0.00806451612903,064-065
0,88,0.00917431192661,065-064
0,89,0.00840336134454,065-066
0,90,0.00819672131148,066-065
0,91,0.00675675675676,067-066
0,92,0.00854700854701,067-068
0,93,0.00719424460432,068-067
0,94,0.0125,068-069
0,95,0.0126582278481,069-068
0,96,0.00763358778626,069-070
0,97,0.00729927007299,086-085
0,98,0.00746268656716,086-087
0,99,0.00793650793651,087-086
0,100,0.00917431192661,087-088
0,101,0.00980392156863,088-087
0,102,0.010101010101,088-089
0,103,0.0113636363636,089-088
0,104,0.00568181818182,090-089
0,105,0.0114942528736,090-091
0,106,0.0114942528736,091-090
0,107,0.00609756097561,091-092
0,108,0.00549450549451,092-091
0,109,0.0062893081761,092-093
0,110,0.00751879699248,093-092
0,111,0.00549450549451,093-094
0,112,0.00552486187845,094-093
