index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,few,laccid,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
0,1,14187,23 Окт 2015 г. 8:16:59,33.0,7803,250.0,2.0,Проспект Ветеранов 3,2G,EDGE,1,1.0,-1.0,-63.0,1.44557741958e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0,-63.0,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2519270282,59.8419318249
1,1,14187,23 Окт 2015 г. 8:17:05,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-65.0,1.4455774255e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.00917431192661,-65.0,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2521927642,59.8419216345
2,1,14187,23 Окт 2015 г. 8:17:07,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-68.8024021498,1.44557742763e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0183486238532,-68.8024021498,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2524585003,59.841911444
3,1,14187,23 Окт 2015 г. 8:17:09,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-72.1489409148,1.44557742976e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0275229357798,-72.1489409148,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2527242363,59.8419012535
4,1,14187,23 Окт 2015 г. 8:17:11,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-77.0094030093,1.44557743188e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0366972477064,-77.0094030093,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2529899724,59.8418910631
5,1,14187,23 Окт 2015 г. 8:17:12,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-78.2535480077,1.44557743294e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.045871559633,-79.0,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2532557084,59.8418808726
6,1,14187,23 Окт 2015 г. 8:17:14,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-78.2535480077,1.445577434e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0550458715596,-79.0,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2535214445,59.8418706821
7,1,14187,23 Окт 2015 г. 8:17:15,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-78.2535480077,1.44557743507e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0642201834862,-79.0,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2537871805,59.8418604916
8,1,14187,23 Окт 2015 г. 8:17:16,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-78.2535480077,1.44557743613e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0733944954128,-78.2535480077,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2540534131,59.8418651957
9,1,14187,23 Окт 2015 г. 8:17:17,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-75.877505199,1.4455774372e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0825688073394,-75.877505199,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2543196371,59.8418713869
10,1,14187,23 Окт 2015 г. 8:17:18,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-72.2309423315,1.44557743826e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.0917431192661,-72.2309423315,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2545858611,59.8418775782
11,1,14187,23 Окт 2015 г. 8:17:19,,7803,250.0,2.0,ServiceLog,2G,EDGE,1,1.0,-1.0,-68.6401607808,1.44557743932e+12, julia,0,7803-14187,25002.0,,1445577416.0,0.100917431193,-68.6401607808,003-004,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2548499615,59.8418936684
