X,Y,id_station,id_line,id_node,name_en,name_ru,name_pl,lat,lon
30.457747,59.848798,43,3,43,Obukhovo,Обухово,Obukhovo,59.848798000000002,30.457747000000001
30.470345,59.865233,44,3,44,Proletarskaya,Пролетарская,Proletarskaya,59.865233000000003,30.470344999999998
30.441665,59.877323,45,3,45,Lomonosovskaya,Ломоносовская,Lomonosovskaya,59.877322999999997,30.441665000000000
30.423502,59.896772,46,3,46,Elizarovskaya,Елизаровская,Elizarovskaya,59.896771999999999,30.423501999999999
30.385343,59.924203,47,3,47,Ploschad Aleksandra Nevskogo 1,Площадь Александра Невского 1,Ploschad Aleksandra Nevskogo 1,59.924202999999999,30.385342999999999
30.355014,59.931444,48,3,12,Mayakovskaya,Маяковская,Mayakovskaya,59.931443999999999,30.355014000000001
30.331157,59.934131,49,3,32,Gostiny dvor,Гостиный двор,Gostiny dvor,59.934131000000001,30.331157000000001
30.278238,59.94258,51,3,51,Vasileostrovskaya,Василеостровская,Vasileostrovskaya,59.942580000000000,30.278238000000002
30.235218,59.948382,52,3,52,Primorskaya,Приморская,Primorskaya,59.948382000000002,30.235218000000000
30.483305,59.907446,63,4,63,Ulitsa Dybenko,Улица Дыбенко,Ulitsa Dybenko,59.907446000000000,30.483305000000001
30.466766,59.919833,64,4,64,Prospekt Bolshevikov,Проспект Большевиков,Prospekt Bolshevikov,59.919832999999997,30.466766000000000
30.442401,59.931533,65,4,65,Ladozhskaya,Ладожская,Ladozhskaya,59.931533000000002,30.442401000000000
30.411889,59.928971,66,4,66,Novocherkasskaya,Новочеркасская,Novocherkasskaya,59.928970999999997,30.411888999999999
30.383537,59.923599,67,4,47,Ploschad Aleksandra Nevskogo 2,Площадь Александра Невского 2,Ploschad Aleksandra Nevskogo 2,59.923599000000003,30.383537000000000
30.35565,59.920732,68,4,68,Ligovsky prospekt,Лиговский проспект,Ligovsky prospekt,59.920732000000001,30.355650000000001
30.346213,59.928213,69,4,11,Dostoevskaya,Достоевская,Dostoevskaya,59.928213000000000,30.346212999999999
30.317893,59.92682,70,4,31,Spasskaya,Спасская,Spasskaya,59.926710000000000,30.319672000000001
30.379657,59.870152,83,5,83,Mezhdunarodnaya,Международная,Mezhdunarodnaya,59.870151999999997,30.379657000000002
30.370033,59.883086,84,5,84,Bukharestskaya,Бухарестская,Bukharestskaya,59.883085999999999,30.370032999999999
30.357691,59.895976,85,5,85,Volkovskaya,Волковская,Volkovskaya,59.895975999999997,30.357690999999999
30.349597,59.91463,86,5,86,Obvodny kanal,Обводный канал,Obvodny kanal,59.914630000000002,30.349596999999999
30.332491966989057,59.92189971242469,87,5,10,Zvenigorodskaya,Звенигородская,Zvenigorodskaya,59.922358000000003,30.335780000000000
30.319672,59.92671,88,5,31,Sadovaya,Садовая,Sadovaya,59.926819999999999,30.317893000000002
30.314888,59.936045,89,5,89,Admiralteyskaya,Адмиралтейская,Admiralteyskaya,59.936045000000000,30.314888000000000
30.291177,59.951804,90,5,90,Sportivnaya,Спортивная,Sportivnaya,59.951804000000003,30.291177000000001
30.292036,59.96096,91,5,91,Chkalovskaya,Чкаловская,Chkalovskaya,59.960960000000000,30.292036000000000
30.259459,59.97176,92,5,92,Krestovsky ostrov,Крестовский остров,Krestovsky ostrov,59.971760000000003,30.259459000000000
30.255286,59.989265,93,5,93,Staraya derevnya,Старая деревня,Staraya derevnya,59.989265000000003,30.255286000000002
30.258374,60.008747,94,5,94,Komendantsky prospekt,Комендантский проспект,Komendantsky prospekt,60.008747000000000,30.258374000000000
30.347518600390313,59.970648134833539,15,1,15,Vyborgskaya,Выборгская,Vyborgskaya,59.970660000000002,30.347510000000000
