ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,race_id
,ServiceLog,KD,1435599717216,Raw,0.191,3.955,10.276,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599718234,Raw,0.287,3.888,9.941,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599719250,Raw,-0.009,4.213,9.921,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599720270,Raw,0.43,3.85,8.743,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599721289,Raw,0.488,4.194,10.573,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599722305,Raw,-0.038,3.974,8.044,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599723326,Raw,0.44,3.974,9.51,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599724341,Raw,0.737,3.581,6.512,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599725412,Raw,0.411,3.811,11.052,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599726430,Raw,0.478,4.501,10.046,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599727444,Raw,0.478,4.386,8.897,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599728460,Raw,-0.153,4.386,9.998,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599729479,Raw,1.063,4.453,10.17,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599730501,Raw,-0.249,5.075,8.073,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599731513,Raw,-0.057,4.233,9.289,,,,,,,,,,,,,,,,1435599660
,ServiceLog,KD,1435599732530,Raw,-0.162,4.654,9.098,,,,,,,,,,,,,,,,1435599660
