,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,Power_before,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,ratio_before,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
55,,250,,7763,,,,2G,EDGE,2,3,,-97.0,,,,0.988992773411,1.0,,7763-250,1.0,byCorr,,0.4,1435842924,0.287512280592,,,068-069,69,68,,,,
2247,1,275,,7763,250.0,2.0,ServiceLog,2G,EDGE,2,1,-1.0,-77.0,-73.0,1.43584339965e+12,Andrey,0.955169135944,1.0,26516.0,7763-275,1.0,byCorr,25002.0,,1435843291,0.854274638742,0.968866575444,-77.0,068-069,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6322305269,55.7797558212
34,,275,,7763,,,,2G,EDGE,2,2,,-106.0,,,,0.969800282148,1.0,,7763-275,1.0,byCorr,,0.41,1435843136,0.347964326608,,,069-068,68,69,,,,
37,,350,,7736,,,,2G,EDGE,3,2,,-77.0,,,,0.936941194582,1.0,,7736-350,1.0,byCorr,,0.51,1435914142,0.758909671147,,,073-074,74,73,,,,
118,,350,,7736,,,,2G,EDGE,3,2,,-65.0,,,,0.968105851494,1.0,,7736-350,1.0,byCorr,,0.89,1435914799,0.874197710815,,,073-074,74,73,,,,
32,,370,,7736,,,,2G,EDGE,2,2,,-104.0,,,,0.990754059541,1.0,,7736-370,1.0,byCorr,,0.8,1435914142,0.343180607788,,,073-074,74,73,,,,
51,,350,,7736,,,,2G,EDGE,3,2,,-91.0,,,,0.914723137107,1.0,,7736-350,1.0,byCorr,,0.67,1435914913,0.479069454913,,,074-075,75,74,,,,
63,,341,,7736,,,,2G,EDGE,2,3,,-100.0,,,,0.993157057648,1.0,,7736-341,1.0,byCorr,,0.78,1435904753,0.370881103305,,,075-074,74,75,,,,
100,,350,,7736,,,,2G,EDGE,2,2,,-59.0,,,,0.994078309509,1.0,,7736-350,1.0,byCorr,,0.89,1435914434,0.927647519658,,,075-074,74,75,,,,
7066,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1,-1.0,-97.0,-97.0,1.43582840066e+12,Andrey,0.937620459225,1.0,51562.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.254052638878,0.258830948619,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6077971968,55.7281231406
