,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
68,,250,,7763,,,,2G,EDGE,2,,,-102.0,,,0.987868948498,1.0,,7763-250,1.0,byCorr,,0.28,1435842924,0.304947762665,,068-069,69,68,,,,
2251,1,275,,7763,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-71.0013047026,1.43584340386e+12,Andrey,0.970116112549,1.0,26520.0,7763-275,1.0,byCorr,25002.0,,1435843291,0.982456140351,-73.0,068-069,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6327369377,55.779758004
2603,1,275,,7763,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-111.343400236,1.4358464133e+12,Anna,0.862103093423,1.0,27374.0,7763-275,1.0,byCorr,25002.0,,1435843136,0.221238938053,-111.343400236,069-068,68,69,449805108.0,069-068-201507021713-Anna-move.csv,37.6261489002,55.7800628786
30,,370,,7736,,,,2G,EDGE,2,,,-104.0,,,0.990221729332,1.0,,7736-370,1.0,byCorr,,0.61,1435914142,0.343195266272,,073-074,74,73,,,,
75,,350,,7736,,,,2G,EDGE,2,,,-76.0,,,0.946708559391,1.0,,7736-350,1.0,byCorr,,0.9,1435914799,0.974358974359,,073-074,74,73,,,,
41,,350,,7736,,,,2G,EDGE,3,,,-97.0,,,0.89794761707,1.0,,7736-350,1.0,byCorr,,-0.38,1435914255,0.480856760375,,074-075,75,74,,,,
37,,341,,7736,,,,2G,EDGE,2,,,-101.0,,,0.974128628775,1.0,,7736-341,1.0,byCorr,,0.19,1435904753,0.472128545923,,075-074,74,75,,,,
4434,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-58.8166023044,1.43591729254e+12,Anna,0.981535214304,1.0,34128.0,7736-350,1.0,byCorr,25002.0,,1435914434,0.957746478873,-58.8166023044,075-074,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6215911358,55.7284896178
7076,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.4358284113e+12,Andrey,0.93254437668,1.0,51572.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.367346938776,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072646569,55.7267942463
7129,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-99.0,1.43585037364e+12,Andrey,0.988846868487,1.0,51671.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.387755102041,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072622142,55.7266178843
