,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
78,,250,,7763,,,,2G,EDGE,2,,,-103.0,,,0.94871019279,1.0,,7763-250,1.0,byCorr,,0.28,1435842924,0.393652671003,,068-069,69,68,,,,
28,,275,,7763,,,,2G,EDGE,2,,,-102.0,,,0.979212927213,1.0,,7763-275,1.0,byCorr,,0.29,1435843136,0.217154526889,,069-068,68,69,,,,
42,,350,,7736,,,,2G,EDGE,3,,,-73.0,,,0.975965753831,1.0,,7736-350,1.0,byCorr,,0.72,1435914142,0.882783882784,,073-074,74,73,,,,
3445,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-81.0,1.43591766586e+12,Anna,0.953201177196,1.0,32133.0,7736-350,1.0,byCorr,25002.0,,1435914799,0.910256410256,-89.0,073-074,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6234788392,55.7288150323
39,,370,,7736,,,,2G,EDGE,2,,,-109.0,,,0.948901649746,1.0,,7736-370,1.0,byCorr,,0.61,1435914142,0.461538461538,,073-074,74,73,,,,
47,,350,,7736,,,,2G,EDGE,3,,,-113.0,,,0.961025793513,1.0,,7736-350,1.0,byCorr,,0.7,1435914913,0.518072289157,,074-075,75,74,,,,
37,,341,,7736,,,,2G,EDGE,2,,,-101.0,,,0.974128628775,1.0,,7736-341,1.0,byCorr,,0.19,1435904753,0.472128545923,,075-074,74,75,,,,
4434,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-58.8166023044,1.43591729254e+12,Anna,0.981535214304,1.0,34128.0,7736-350,1.0,byCorr,25002.0,,1435914434,0.957746478873,-58.8166023044,075-074,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6215911358,55.7284896178
7077,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582841234e+12,Andrey,0.950436134708,1.0,51573.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.377551020408,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072627866,55.7266592164
7077,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582841234e+12,Andrey,0.950436134708,1.0,51573.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.387755102041,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072627866,55.7266592164
