,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,ratio_before,Power_before,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
3965,33389,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435917745736,Anna,1435914913,0.479679216629,75,74,244724959.0,074-075-201507031301-Anna-move.csv,37.6162936845,55.7283218893,7736-350,074-075,25002,0.436288894601,-105,3,2,0.898201484386,1.0,byCorr,1.0
3741,33165,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435914328577,Andrey,1435914255,0.832746241581,75,74,244724959.0,074-075-201507031204-Andrey-move.csv,37.610475526,55.7291037902,7736-341,074-075,25002,0.887843332854,-73,2,2,0.966890876514,1.0,byCorr,1.0
4011,33435,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435917793001,Anna,1435914913,0.986829200764,75,74,244724959.0,074-075-201507031301-Anna-move.csv,37.6092574616,55.7295394482,7736-341,074-075,25002,0.994947416809,-81,2,2,0.757650398911,1.0,byCorr,1.0
4282,33976,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435914453421,Andrey,1435914434,0.26244845299,74,75,244724959.0,075-074-201507031207-Andrey-move.csv,37.611570398,55.7285733849,7736-341,075-074,25002,0.212569630131,-79,2,2,0.93667820727,1.0,byCorr,1.0
4383,34077,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435917250802,Anna,1435914434,0.331513835356,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.61284809,55.7282990026,7736-341,075-074,25002,0.312786102455,-93,2,2,0.87661173558,1.0,byCorr,1.0
4146,33835,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-55.0,1435904814668,Andrey,1435904753,0.845649759039,74,75,828403345.0,075-074-201507030925-Andrey-move.csv,37.6209564715,55.7284445645,7736-350,075-074,25002,0.91118377478,-57,2,2,0.971209566888,1.0,byCorr,1.0
4435,34129,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-66.2779845544,1435917293607,Anna,1435914434,0.909867608865,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6217367231,55.7284999526,7736-350,075-074,25002,0.968763636197,-59,2,2,0.985414288988,1.0,byCorr,1.0
7069,51565,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435828403918,Andrey,1435828371,0.283902101958,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6075006519,55.727738188,7736-340,098-099,25002,0.295071290938,-97,7,1,0.766286864331,1.0,byCorr,1.0
7119,51661,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.1259284525,1435850363081,Andrey,1435850333,0.288544809771,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6076893836,55.7280172524,7736-340,098-099,25002,0.2692716505,-93,7,1,0.996154198957,1.0,byCorr,1.0
7275,51833,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-96.2078243911,1435850641480,Andrey,1435850611,0.298494630797,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6076338043,55.7279626653,7736-340,098-099,25002,0.274653985979,-101,7,3,0.99244638353,1.0,byCorr,1.0
7542,52151,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435851234963,Andrey,1435851203,0.308444451824,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6075023378,55.7277421216,7736-340,098-099,25002,0.294725153954,-99,7,3,0.985668092311,1.0,byCorr,1.0
7843,52682,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-98.810214793,1435915214912,Andrey,1435915183,0.308444451824,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6075347383,55.7278177228,7736-340,098-099,25002,0.28807272756,-103,7,2,0.949721133848,1.0,byCorr,1.0
7924,52781,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-98.784197609,1435916330743,Andrey,1435916299,0.308444451824,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6075376679,55.7278245587,7736-340,098-099,25002,0.287471212187,-103,7,2,0.996045075581,1.0,byCorr,1.0
7652,52321,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-108.573217424,1435853887579,Anna,1435850611,0.248745525664,99,98,597905036.0,098-099-201507021917-Anna-move.csv,37.6083912024,55.7285464806,7736-340,098-099,25002,0.211555113526,-113,7,3,0.91719793068,1.0,byCorr,1.0
7714,52445,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435854194618,Anna,1435850918,0.248745525664,99,98,597905036.0,098-099-201507021922-Anna-move.csv,37.608592428,55.7286208073,7736-340,098-099,25002,0.199963217337,-113,7,3,0.955807445529,1.0,byCorr,1.0
7777,52573,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.3118878558,1435854478930,Anna,1435851203,0.238795704638,99,98,597905036.0,098-099-201507021927-Anna-move.csv,37.6085001915,55.7285867379,7736-340,098-099,25002,0.205276635982,-113,7,3,0.93519384409,1.0,byCorr,1.0
7996,52876,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435918001000,Anna,1435915183,0.258695346691,99,98,244724959.0,098-099-201507031306-Anna-move.csv,37.6081255622,55.7284456415,7736-340,098-099,25002,0.22703182114,-113,7,2,0.976264062275,1.0,byCorr,1.0
7361,51942,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850895159,vlad,1435850918,0.40794266209,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6072633644,55.7267009289,7736-340,098-099,25002,0.385072294127,-95,7,3,0.995728358613,1.0,byCorr,1.0
7164,51722,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435850426346,Andrey,1435850333,0.900689676721,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6078725941,55.7197573147,7736-1000,098-099,25002,0.980476704072,-63,6,2,0.827868166665,1.0,byCorr,1.0
7886,52743,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-73.0,1435915278433,Andrey,1435915183,0.919675132216,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6078647962,55.7198047015,7736-1000,098-099,25002,0.976406792874,-65,6,2,0.8477969816,1.0,byCorr,1.0
8223,53467,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850496742,Andrey,1435850455,0.442206139097,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076110073,55.7243320872,7736-1000,099-098,25002,0.418352411262,-95,5,3,0.964029951701,1.0,byCorr,1.0
8540,53808,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-100.456834509,1435851098359,Andrey,1435851060,0.409849592334,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076044409,55.724097005,7736-1000,099-098,25002,0.397599496779,-101,5,3,0.982768615208,1.0,byCorr,1.0
8869,54328,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904354859,Andrey,1435904316,0.420635107921,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076119788,55.7243668681,7736-1000,099-098,25002,0.421422855684,-97,5,3,0.974601592703,1.0,byCorr,1.0
9006,54577,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-94.0788125304,1435916121386,Andrey,1435916076,0.485348201448,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076101577,55.724301672,7736-1000,099-098,25002,0.415667367015,-101,5,2,0.959735749406,1.0,byCorr,1.0
8620,53895,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.403417824,1435853739147,Anna,1435850455,0.345136498807,98,99,597905036.0,099-098-201507021915-Anna-move.csv,37.60765273,55.7230395611,7736-1000,099-098,25002,0.30415461149,-113,5,3,0.944698041207,1.0,byCorr,1.0
8681,54024,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-109.918937428,1435854045135,Anna,1435850763,0.323565467632,98,99,597905036.0,099-098-201507021920-Anna-move.csv,37.6076628323,55.7229525256,7736-1000,099-098,25002,0.296455961723,-113,5,3,0.915244407124,1.0,byCorr,1.0
8936,54442,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435907598168,Anna,1435904316,0.345136498807,98,99,828403345.0,099-098-201507031012-Anna-move.csv,37.6076190656,55.7233295916,7736-1000,099-098,25002,0.32980912098,-113,5,3,0.891188999723,1.0,byCorr,1.0
9097,54723,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435918911234,Anna,1435916076,0.463777170272,98,99,244724959.0,099-098-201507031321-Anna-move.csv,37.6076058681,55.7241480996,7736-1000,099-098,25002,0.402110082577,-111,5,2,0.709034058349,1.0,byCorr,1.0
8308,53563,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435850740398,vlad,1435850763,0.442206139097,98,99,597905036.0,099-098-201507021824-vlad-move.csv,37.6076158346,55.7245049095,7736-1000,099-098,25002,0.433609140527,-85,5,3,0.969059605981,1.0,byCorr,1.0
8461,53729,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435851039152,vlad,1435851060,0.463777170272,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.6076222166,55.7247333899,7736-1000,099-098,25002,0.453779458028,-89,5,3,0.969072161741,1.0,byCorr,1.0
8795,54254,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904291395,vlad,1435904316,0.452991654685,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076255293,55.7248519848,7736-1000,099-098,25002,0.464249100749,-93,5,3,0.967631251374,1.0,byCorr,1.0
8258,53513,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,1435850542872,Andrey,1435850455,0.885749072943,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.611344884,55.7294866752,7736-340,099-098,25002,0.954059349465,-75,5,3,0.963608386365,1.0,byCorr,1.0
8579,53854,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-63.0,1435851144774,Andrey,1435851060,0.870518499301,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6114618671,55.7295627144,7736-340,099-098,25002,0.96294075497,-71,5,3,0.96661499327,1.0,byCorr,1.0
9046,54629,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-77.0,1435916174336,Andrey,1435916076,0.913607828979,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6114884044,55.7295799637,7736-340,099-098,25002,0.96495547843,-81,5,2,0.961903382073,1.0,byCorr,1.0
9441,56563,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435915445507,Andrey,1435915305,0.913994207881,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.5869577339,55.70826871,7736-1010,099-100,25002,0.959028296648,-65,5,2,0.902005039856,1.0,byCorr,1.0
9531,56717,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-67.0,1435916575546,Andrey,1435916431,0.923056065589,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.5866838329,55.7081121946,7736-1010,099-100,25002,0.970506051075,-65,5,2,0.97497340915,1.0,byCorr,1.0
9278,56169,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851367296,Andrey,1435851320,0.300545233152,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6053477467,55.7143582204,7736-1000,099-100,25002,0.303154399169,-103,3,3,0.987394801297,1.0,byCorr,1.0
9499,56621,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916477560,Andrey,1435916431,0.300545233152,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6058578758,55.7146300825,7736-1000,099-100,25002,0.282493794609,-101,3,2,0.985779520812,1.0,byCorr,1.0
9577,56763,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435918133106,Anna,1435915305,0.235209312902,100,99,244724959.0,099-100-201507031308-Anna-move.csv,37.6074055429,55.715510639,7736-1000,099-100,25002,0.217603580987,-97,3,2,0.877556651036,1.0,byCorr,1.0
9663,56988,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435919259744,Anna,1435916431,0.235209312902,100,99,244724959.0,099-100-201507031327-Anna-move.csv,37.6075222669,55.7156030456,7736-1000,099-100,25002,0.211680165791,-113,3,2,0.911172049008,1.0,byCorr,1.0
9912,58158,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435904199453,Andrey,1435904128,0.435802672169,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5984999703,55.7105339885,7736-1010,100-099,25002,0.410926932945,-105,3,3,0.883600830631,1.0,byCorr,1.0
10072,58568,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915954001,Andrey,1435915883,0.42335116725,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.5986610828,55.7105984332,7736-1010,100-099,25002,0.416658080734,-103,3,2,0.883634882758,1.0,byCorr,1.0
10158,58769,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435918729882,Anna,1435915883,0.336190632816,99,100,244724959.0,100-099-201507031317-Anna-move.csv,37.5954037808,55.7098030948,7736-1010,100-099,25002,0.311753622811,-107,3,2,0.964730002378,1.0,byCorr,1.0
10416,60416,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.5611835113,1435915729399,Andrey,1435915698,0.152460405096,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5754778964,55.6911335388,7736-1020,101-100,25002,0.165445585067,-83,2,2,0.807567743775,1.0,byCorr,1.0
14935,89766,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-89.7201853085,1435909499395,Andrey,1435909460,0.275788571089,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6529398288,55.7604630296,7763-160,151-219,25002,0.267585792776,-97,5,2,0.984314385302,1.0,byCorr,1.0
15201,90032,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-77.9970052618,1435910443884,Andrey,1435910406,0.268717069266,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6531690711,55.7602651231,7763-160,151-219,25002,0.25103478516,-93,5,2,0.989710348855,1.0,byCorr,1.0
15339,90170,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.8696568993,1435910942584,Andrey,1435910902,0.275788571089,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.6531583749,55.7602743572,7763-160,151-219,25002,0.251807037253,-97,5,2,0.990424937035,1.0,byCorr,1.0
15483,90452,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-111.319224596,1435912749371,Anna,1435909460,0.275788571089,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6528967227,55.7605002433,7763-160,151-219,25002,0.270698003655,-107,5,2,0.959258319618,1.0,byCorr,1.0
15618,90737,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435913236586,Anna,1435909946,0.282860072912,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.652745358,55.7606309168,7763-160,151-219,25002,0.281626345032,-97,5,2,0.962944855686,1.0,byCorr,1.0
15888,91007,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-107.416284823,1435914193456,Anna,1435910902,0.282860072912,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.653080606,55.7603414958,7763-160,151-219,25002,0.257421859376,-103,5,2,0.962085122537,1.0,byCorr,1.0
16042,91161,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915634067,Anna,1435912001,0.360646592963,219,151,630943405.0,151-219-201507031226-Anna-move.csv,37.6516282669,55.7615270342,7763-160,151-219,25002,0.358331580894,-103,5,1,0.961289698068,1.0,byCorr,1.0
15154,89985,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-75.0,1435910073729,Andrey,1435909946,0.919367037767,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6403039236,55.766983723,7763-640,151-219,25002,0.979581435183,-61,5,2,0.989015101803,1.0,byCorr,1.0
15296,90127,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-70.5569090545,1435910541265,Andrey,1435910406,0.96479977584,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6401560636,55.7669941602,7763-640,151-219,25002,0.985456024559,-67,5,2,0.972357253008,1.0,byCorr,1.0
15438,90269,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-67.0,1435911044177,Andrey,1435910902,0.990536973883,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.6402402823,55.7669882154,7763-640,151-219,25002,0.98210995316,-67,5,2,0.954045065834,1.0,byCorr,1.0
15559,90528,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-71.6192913702,1435912826635,Anna,1435909460,0.830052157655,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6420800653,55.7668533285,7763-640,151-219,25002,0.908969159106,-57,5,2,0.765960605786,1.0,byCorr,1.0
15693,90812,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-70.0819159301,1435913314864,Anna,1435909946,0.849166286018,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6415526628,55.7668923954,7763-640,151-219,25002,0.929939677536,-57,5,2,0.70892614887,1.0,byCorr,1.0
15826,90945,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-69.0,1435913774535,Anna,1435910406,0.842614695688,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6422262512,55.7668424999,7763-640,151-219,25002,0.903156530187,-53,5,2,0.878547635702,1.0,byCorr,1.0
15968,91087,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-59.0,1435914277210,Anna,1435910902,0.856589673659,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6424488007,55.7668088577,7763-640,151-219,25002,0.894058449769,-51,5,2,0.90025135185,1.0,byCorr,1.0
17767,100800,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435909765418,Andrey,1435909691,0.524840692972,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6497257192,55.7628552548,7763-640,219-151,25002,0.514091894784,-81,3,2,0.967790257841,1.0,byCorr,1.0
17913,100946,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-68.458774218,1435910270688,Andrey,1435910194,0.531933134769,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.649465025,55.7630909902,7763-640,219-151,25002,0.494551619605,-69,3,2,0.92334729546,1.0,byCorr,1.0
18250,101283,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435913019408,Anna,1435909691,0.546118018362,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6500994274,55.7625440815,7763-640,219-151,25002,0.540529654298,-83,3,2,0.947708677387,1.0,byCorr,1.0
18456,101489,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435913523351,Anna,1435910194,0.546118018362,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6497359831,55.7628459735,7763-640,219-151,25002,0.514861225636,-89,3,2,0.941981250659,1.0,byCorr,1.0
17831,100864,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-70.4563505763,1435909831546,Andrey,1435909691,0.975188621882,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6563656759,55.7572650025,7763-160,219-151,25002,0.987454568642,-67,3,2,0.956617192248,1.0,byCorr,1.0
17979,101012,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-64.9959334434,1435910338919,Andrey,1435910194,0.965421614624,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6561460262,55.7574377938,7763-160,219-151,25002,0.972504812006,-63,3,2,0.949910126098,1.0,byCorr,1.0
18316,101349,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-73.0,1435913081841,Anna,1435909691,0.932075561826,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6563073078,55.7573109188,7763-160,219-151,25002,0.983481932999,-81,3,2,0.932720999623,1.0,byCorr,1.0
18536,101569,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-78.7258919229,1435913597458,Anna,1435910194,1.00426210246,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6564783423,55.7571763711,7763-160,219-151,25002,0.99512285024,-77,3,2,0.929662051703,1.0,byCorr,1.0
