,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
48,,250,,7763,,,,2G,EDGE,2,,,-102.0,,,0.93773,1.0,7763-250,1.0,byCorr,,0.26,1435842924,0.118338557994,,068-069,69,68,,,,
40,,275,,7763,,,,2G,EDGE,2,,,-67.0,,,0.90259,1.0,7763-275,1.0,byCorr,,-4.51,1435843291,1.1724137931,,068-069,69,68,,,,
31450,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-69.9803320414,1.42303906166e+12,Anna,0.9728,1.0,7736-350,1.0,byCorr,25002.0,,1423039000,0.873417721519,-51.650571147,073-074,74,73,,073-074-201502041136-Anna-move.csv,37.6240269076,55.7288500154
31450,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,3,1.0,-1.0,-69.9803320414,1.42303906166e+12,Anna,0.9728,1.0,7736-350,1.0,byCorr,25002.0,,1423039000,0.886075949367,-69.9803320414,073-074,74,73,,073-074-201502041136-Anna-move.csv,37.6240269076,55.7288500154
40,,350,,7736,,,,2G,EDGE,3,,,-68.0,,,0.98142,1.0,7736-350,1.0,byCorr,,0.67,1435914142,0.845569620253,,073-074,74,73,,,,
33,,370,,7736,,,,2G,EDGE,2,,,-106.0,,,0.96846,1.0,7736-370,1.0,byCorr,,0.6,1435914142,0.364873417722,,073-074,74,73,,,,
41,,350,,7736,,,,2G,EDGE,3,,,-104.0,,,0.94049,1.0,7736-350,1.0,byCorr,,-0.04,1435914255,0.462765957447,,074-075,75,74,,,,
40,,341,,7736,,,,2G,EDGE,2,,,-100.0,,,0.96791,1.0,7736-341,1.0,byCorr,,0.08,1435904753,0.507716049383,,075-074,74,75,,,,
34129,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-59.0,1.43591729361e+12,Anna,0.98371,1.0,7736-350,1.0,byCorr,25002.0,,1435914434,0.958333333333,-59.0,075-074,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6217367231,55.7284999526
51670,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-99.0,1.43585037256e+12,Andrey,0.98322,1.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.37,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072642441,55.7267644389
36,,340,,7736,,,,2G,EDGE,6,,,-101.0,,,0.99141,1.0,7736-340,1.0,byCorr,,-0.15,1435850918,0.337346938776,,098-099,99,98,,,,
40,,340,,7736,,,,2G,EDGE,6,,,-101.0,,,0.98427,1.0,7736-340,1.0,byCorr,,0.37,1435851203,0.308510638298,,098-099,99,98,,,,
38,,340,,7736,,,,2G,EDGE,6,,,-108.0,,,0.9902,1.0,7736-340,1.0,byCorr,,0.29,1435915183,0.339047619048,,098-099,99,98,,,,
39,,340,,7736,,,,2G,EDGE,6,,,-108.0,,,0.97868,1.0,7736-340,1.0,byCorr,,0.72,1435916299,0.309069767442,,098-099,99,98,,,,
