,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2104,26336,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842966252,Andrey,1435842924,0.339736902477,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.612503358,55.7805780349,7763-250,068-069,25002,-97,2,3,0.982689791589,1.0,byCorr,1.0
2035,26267,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435842926187,vlad,1435842924,0.585105719569,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6201808461,55.7801253709,7763-250,068-069,25002,-101,2,3,0.968987927641,1.0,byCorr,1.0
2345,26786,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435846583740,Anna,1435843291,0.381887902417,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6138231788,55.780505379,7763-250,068-069,25002,-113,2,2,0.934576864123,1.0,byCorr,1.0
2164,26407,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-64.25,1435843039581,Andrey,1435842924,0.990745935157,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6329188623,55.7797587882,7763-275,068-069,25002,-69,2,3,0.967284973423,1.0,byCorr,1.0
2467,27162,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843183820,Andrey,1435843136,0.402957438341,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6205259833,55.7803176785,7763-275,069-068,25002,-105,2,3,0.946321953182,1.0,byCorr,1.0
2552,27258,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435843511461,Andrey,1435843480,0.215138105877,68,69,449805108.0,069-068-201507021624-Andrey-move.csv,37.6264290979,55.7800539266,7763-275,069-068,25002,-99,2,2,0.989144002085,1.0,byCorr,1.0
3324,32012,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435917006638,Anna,1435914142,0.935065900567,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6232167343,55.7287955696,7736-350,073-074,25002,-91,3,2,0.954590898276,1.0,byCorr,1.0
3451,32139,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-82.5,1435917672084,Anna,1435914799,0.967904789608,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6226671441,55.7287522948,7736-350,073-074,25002,-79,3,2,0.967080089584,1.0,byCorr,1.0
3116,31775,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435914183411,Andrey,1435914142,0.489831381691,74,73,244724959.0,073-074-201507031202-Andrey-move.csv,37.6306059896,55.7295083276,7736-370,073-074,25002,-103,2,2,0.860289541962,1.0,byCorr,1.0
3194,31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.45331672437,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,-103,2,2,0.89911801858,1.0,byCorr,1.0
