,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,ratio_before,Power_before,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2104,26336,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842966252,Andrey,1435842924,0.355692961281,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.612503358,55.7805780349,7763-250,068-069,25002,0.339736902477,-97,-97.0,2,3,0.982441482024,1.0,byCorr,1.0
2011,26243,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435842900223,vlad,1435842924,0.355692961281,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6124337687,55.780581811,7763-250,068-069,25002,0.337514735016,-95,-93.0,2,3,0.943670665578,1.0,byCorr,1.0
2343,26782,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435846581644,Anna,1435843291,0.364161841311,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6131875275,55.7805406929,7763-250,068-069,25002,0.361585399439,-113,-113.0,2,2,0.949726090244,1.0,byCorr,1.0
2467,27162,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843183820,Andrey,1435843136,0.372286962914,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6205259833,55.7803176785,7763-275,069-068,25002,0.402957438341,-105,-105.0,2,3,0.97077169044,1.0,byCorr,1.0
2554,27260,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435843513552,Andrey,1435843480,0.267075429916,68,69,449805108.0,069-068-201507021624-Andrey-move.csv,37.6258252136,55.78007322,7763-275,069-068,25002,0.234315874703,-99,-99.0,2,2,0.933171181149,1.0,byCorr,1.0
3287,31975,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435916972312,Anna,1435914142,0.445297764252,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6314652335,55.7297087222,7736-370,073-074,25002,0.434791076961,-113,-113.0,2,2,0.928113764829,1.0,byCorr,1.0
3194,31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.457016126469,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,0.45331672437,-103,-103.0,2,2,0.845139681836,1.0,byCorr,1.0
3639,32454,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.654761914,1435917385203,Anna,1435914537,0.77407000708,73,74,244724959.0,074-073-201507031255-Anna-move.csv,37.6345711986,55.7306560001,7736-350,074-073,25002,0.784693450708,-109,-109.0,1,2,0.879063011011,1.0,byCorr,1.0
3886,33310,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-113.0,1435917090809,Anna,1435914255,0.516124243322,75,74,244724959.0,074-075-201507031250-Anna-move.csv,37.6154732555,55.72831,7736-350,074-075,25002,0.49721937915,-113,-113.0,3,2,0.441193876176,1.0,byCorr,1.0
3802,33226,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-90.3258774983,1435914961882,Andrey,1435914913,0.57613869022,75,74,244724959.0,074-075-201507031215-Andrey-move.csv,37.6148927061,55.7283159693,7736-350,074-075,25002,0.540339917689,-99,-95.0699483604,3,2,0.776477380006,1.0,byCorr,1.0
4219,33908,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.391462243,1435908034040,Anna,1435904753,0.428205370668,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6142872919,55.7281402633,7736-341,075-074,25002,0.420189160141,-109,-109.0,2,3,0.858991403828,1.0,byCorr,1.0
4044,33733,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904717492,vlad,1435904753,0.428343359681,74,75,828403345.0,075-074-201507030924-vlad-move.csv,37.6142198586,55.7281468193,7736-341,075-074,25002,0.415178846977,-97,-97.0,2,3,0.959111985228,1.0,byCorr,1.0
4298,33992,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0828943329,1435914470408,Andrey,1435914434,0.483457676561,74,75,244724959.0,075-074-201507031207-Andrey-move.csv,37.6150838435,55.72811,7736-341,075-074,25002,0.478646303133,-107,-106.303359619,2,2,0.958911865778,1.0,byCorr,1.0
