,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
74,,250,,7763,,,,2G,EDGE,2,,,-103.0,,,0.96721210456,1.0,,7763-250,1.0,byCorr,,0.28,1435842924,0.358170707668,,068-069,69,68,,,,
38,,275,,7763,,,,2G,EDGE,2,,,-71.0,,,0.901068415167,1.0,,7763-275,1.0,byCorr,,-1.86,1435843291,1.16666666667,,068-069,69,68,,,,
29,,275,,7763,,,,2G,EDGE,2,,,-104.0,,,0.976786655154,1.0,,7763-275,1.0,byCorr,,0.26,1435843136,0.235023825732,,069-068,68,69,,,,
42,,350,,7736,,,,2G,EDGE,3,,,-73.0,,,0.975965753831,1.0,,7736-350,1.0,byCorr,,0.72,1435914142,0.882783882784,,073-074,74,73,,,,
69,,350,,7736,,,,2G,EDGE,3,,,-73.0,,,0.976849550664,1.0,,7736-350,1.0,byCorr,,0.9,1435914799,0.89641025641,,073-074,74,73,,,,
36,,370,,7736,,,,2G,EDGE,2,,,-106.0,,,0.853644657175,1.0,,7736-370,1.0,byCorr,,0.72,1435914799,0.410256410256,,073-074,74,73,,,,
44,,350,,7736,,,,2G,EDGE,3,,,-113.0,,,0.960656125567,1.0,,7736-350,1.0,byCorr,,0.7,1435914913,0.481158677262,,074-075,75,74,,,,
36,,341,,7736,,,,2G,EDGE,2,,,-102.0,,,0.96687026343,1.0,,7736-341,1.0,byCorr,,0.19,1435904753,0.457845665543,,075-074,74,75,,,,
58,,350,,7736,,,,2G,EDGE,2,,,-62.0,,,0.987734635107,1.0,,7736-350,1.0,byCorr,,0.9,1435904753,0.828914664457,,075-074,74,75,,,,
7073,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582840812e+12,Andrey,0.905665208725,1.0,51569.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.336734693878,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072807642,55.7272063126
7125,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-99.0,1.43585036945e+12,Andrey,0.899453767888,1.0,51667.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.336734693878,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072729893,55.7271873072
32,,340,,7736,,,,2G,EDGE,7,,,-110.0,,,0.867590927575,1.0,,7736-340,1.0,byCorr,,0.51,1435850611,0.242658038825,,098-099,99,98,,,,
38,,340,,7736,,,,2G,EDGE,7,,,-106.0,,,0.844617366885,1.0,,7736-340,1.0,byCorr,,-0.21,1435850918,0.252976190476,,098-099,99,98,,,,
7153,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-57.4214366144,1.43585041593e+12,Andrey,0.966269918602,1.0,51711.0,7736-1000,1.0,byCorr,25002.0,,1435850333,0.877551020408,-57.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6076779577,55.7208747028
28,,1000,,7736,,,,2G,EDGE,6,,,-67.0,,,0.983296879133,1.0,,7736-1000,1.0,byCorr,,-0.05,1435850611,0.937229437229,,098-099,99,98,,,,
8025,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-69.2776708931,1.43591806545e+12,Anna,0.781644595192,1.0,52931.0,7736-1000,1.0,byCorr,25002.0,,1435915183,0.938775510204,-67.5186016728,098-099,99,98,244724959.0,098-099-201507031306-Anna-move.csv,37.6077947147,55.7202305809
8088,1,1000,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-67.0,1.4359191803e+12,Anna,0.888813026362,1.0,53055.0,7736-1000,1.0,byCorr,25002.0,,1435916299,0.928571428571,-67.0,098-099,99,98,244724959.0,098-099-201507031324-Anna-move.csv,37.6077822808,55.72030614
41,,1000,,7736,,,,2G,EDGE,5,,,-98.0,,,0.995374100267,1.0,,7736-1000,1.0,byCorr,,0.46,1435850455,0.371471665589,,099-098,98,99,,,,
36,,1000,,7736,,,,2G,EDGE,5,,,-94.0,,,0.975213773475,1.0,,7736-1000,1.0,byCorr,,-0.33,1435850763,0.334195216548,,099-098,98,99,,,,
