,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
69,,250,,7763,,,,2G,EDGE,2,,,-102.0,,,0.98746,1.0,7763-250,1.0,byCorr,,0.22,1435842924,0.299712643678,,068-069,69,68,,,,
26518,1,275,,7763,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-71.2281971703,1.43584340175e+12,Andrey,0.96885,1.0,7763-275,1.0,byCorr,25002.0,,1435843291,0.974137931034,-73.0,068-069,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6325323959,55.7797571224
30,,275,,7763,,,,2G,EDGE,2,,,-106.0,,,0.95251,1.0,7763-275,1.0,byCorr,,0.03,1435843136,0.24180734856,,069-068,68,69,,,,
32,,370,,7736,,,,2G,EDGE,2,,,-105.0,,,0.99534,1.0,7736-370,1.0,byCorr,,0.6,1435914142,0.351898734177,,073-074,74,73,,,,
75,,350,,7736,,,,2G,EDGE,2,,,-82.0,,,0.94876,1.0,7736-350,1.0,byCorr,,0.89,1435914799,1.06329113924,,073-074,74,73,,,,
41,,350,,7736,,,,2G,EDGE,3,,,-104.0,,,0.94049,1.0,7736-350,1.0,byCorr,,-0.04,1435914255,0.462765957447,,074-075,75,74,,,,
36,,341,,7736,,,,2G,EDGE,2,,,-102.0,,,0.97542,1.0,7736-341,1.0,byCorr,,0.1,1435914434,0.527777777778,,075-074,74,75,,,,
69,,350,,7736,,,,2G,EDGE,2,,,-62.0,,,0.99796,1.0,7736-350,1.0,byCorr,,0.93,1435914434,0.972023809524,,075-074,74,75,,,,
51571,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582841025e+12,Andrey,0.93966,1.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.36,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072665434,55.7269304455
51670,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-99.0,1.43585037256e+12,Andrey,0.98322,1.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.37,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072642441,55.7267644389
