,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,coeffs,controls,method,maxCorrMinDelta
2103,26335,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842965208,Andrey,1435842924,0.329728033052,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6121899206,55.7805950431,7763-250,068-069,25002,-97,0.99257413544,1.0,byCorr,1.0
2035,26267,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435842926187,vlad,1435842924,0.585105719569,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6201808461,55.7801253709,7763-250,068-069,25002,-101,0.986236764602,1.0,byCorr,1.0
2336,26768,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.333333333,1435846574275,Anna,1435843291,0.290206989741,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6109506696,55.7805885754,7763-250,068-069,25002,-113,0.972711359528,1.0,byCorr,1.0
2255,26524,1,275,692.0,7763,250,2,Проспект Мира (КЛЦ) 2,2G,EDGE,-1,-73.0,1435843407137,Andrey,1435843291,0.988766133426,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6328565768,55.7797585197,7763-275,068-069,25002,-77,0.545757661384,1.0,byCorr,1.0
2461,27156,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843177515,Andrey,1435843136,0.340323641561,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6224899966,55.7801984548,7763-275,069-068,25002,-105,0.923375676853,1.0,byCorr,1.0
2546,27252,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435843505031,Andrey,1435843480,0.156164863357,68,69,449805108.0,069-068-201507021624-Andrey-move.csv,37.6282860925,55.7799945977,7763-275,069-068,25002,-99,0.971515453629,1.0,byCorr,1.0
3323,32011,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435917005628,Anna,1435914142,0.922072313276,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6234343074,55.7288121898,7736-350,073-074,25002,-81,0.964328368221,1.0,byCorr,1.0
3451,32139,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-81.6666666667,1435917672084,Anna,1435914799,0.967904789608,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6226671441,55.7287522948,7736-350,073-074,25002,-79,0.974698471848,1.0,byCorr,1.0
3116,31775,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435914183411,Andrey,1435914142,0.489831381691,74,73,244724959.0,073-074-201507031202-Andrey-move.csv,37.6306059896,55.7295083276,7736-370,073-074,25002,-103,0.924652117718,1.0,byCorr,1.0
3194,31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.45331672437,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,-103,0.992813136161,1.0,byCorr,1.0
