,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
4377,34071,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-93,1435917247705,Anna,1435914434,0.264228939513,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6122200539,55.7284188938,7736-341,075-074,25002,2,2,0.770175189305,1.0,byCorr,1.0
4136,33825,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-57,1435904805458,Andrey,1435904753,0.773611810249,74,75,828403345.0,075-074-201507030925-Andrey-move.csv,37.619092265,55.7283122287,7736-350,075-074,25002,2,2,0.98706894367,1.0,byCorr,1.0
4430,34124,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-69,1435917289421,Anna,1435914434,0.918284649338,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6210526938,55.7284513951,7736-350,075-074,25002,2,2,0.972667530399,1.0,byCorr,1.0
7071,51567,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-97,1435828406018,Andrey,1435828371,0.318416295734,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6073896682,55.7274725228,7736-340,098-099,25002,7,1,0.967602962193,1.0,byCorr,1.0
7121,51663,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-99,1435850365185,Andrey,1435850333,0.293761682248,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6075070304,55.727753071,7736-340,098-099,25002,7,1,0.975520005019,1.0,byCorr,1.0
7279,51837,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103,1435850645703,Andrey,1435850611,0.323109280411,99,98,597905036.0,098-099-201507021823-Andrey-move.csv,37.6073677964,55.7274190584,7736-340,098-099,25002,7,3,0.977358274706,1.0,byCorr,1.0
7556,52165,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103,1435851249211,Andrey,1435851203,0.460757700093,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6072511089,55.7258161043,7736-340,098-099,25002,7,3,0.990004643572,1.0,byCorr,1.0
7855,52694,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103,1435915227827,Andrey,1435915183,0.435994774386,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6072551187,55.7261056055,7736-340,098-099,25002,7,2,0.965296359817,1.0,byCorr,1.0
7928,52785,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-105,1435916335093,Andrey,1435916299,0.337024096009,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6073029458,55.7272605345,7736-340,098-099,25002,7,2,0.983197408215,1.0,byCorr,1.0
7652,52321,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435853887579,Anna,1435850611,0.211555113526,99,98,597905036.0,098-099-201507021917-Anna-move.csv,37.6083912024,55.7285464806,7736-340,098-099,25002,7,3,0.68504578352,1.0,byCorr,1.0
7714,52445,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435854194618,Anna,1435850918,0.199963217337,99,98,597905036.0,098-099-201507021922-Anna-move.csv,37.608592428,55.7286208073,7736-340,098-099,25002,7,3,0.839468389859,1.0,byCorr,1.0
7777,52573,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435854478930,Anna,1435851203,0.205276635982,99,98,597905036.0,098-099-201507021927-Anna-move.csv,37.6085001915,55.7285867379,7736-340,098-099,25002,7,3,0.708253105949,1.0,byCorr,1.0
7997,52877,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435918002067,Anna,1435915183,0.239160886154,99,98,244724959.0,098-099-201507031306-Anna-move.csv,37.6080003146,55.7283226311,7736-340,098-099,25002,7,2,0.779351694455,1.0,byCorr,1.0
7360,51941,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95,1435850894145,vlad,1435850918,0.373460499798,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6072652447,55.7268366785,7736-340,098-099,25002,7,3,0.994840975882,1.0,byCorr,1.0
7143,51701,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-77,1435850405387,Andrey,1435850333,0.761702903025,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6074153219,55.7223023565,7736-1000,098-099,25002,6,2,0.953879229003,1.0,byCorr,1.0
7429,52038,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-65,1435851006824,Andrey,1435850918,0.9147688869,99,98,597905036.0,098-099-201507021828-Andrey-move.csv,37.6077428142,55.7205221429,7736-1000,098-099,25002,6,2,0.968944141761,1.0,byCorr,1.0
7890,52747,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-71,1435915282663,Andrey,1435915183,0.987874169229,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6078867673,55.7196711843,7736-1000,098-099,25002,6,2,0.865246853852,1.0,byCorr,1.0
7968,52848,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-75,1435916400147,Andrey,1435916299,0.98642450566,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.6078839898,55.7196880631,7736-1000,098-099,25002,6,2,0.892408352191,1.0,byCorr,1.0
8222,53466,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95,1435850495713,Andrey,1435850455,0.405737092123,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076070157,55.7241891852,7736-1000,099-098,25002,5,3,0.998629804837,1.0,byCorr,1.0
8541,53809,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101,1435851099370,Andrey,1435851060,0.41032439995,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076084672,55.7242411487,7736-1000,099-098,25002,5,3,0.989240501822,1.0,byCorr,1.0
8869,54328,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97,1435904354859,Andrey,1435904316,0.421422855684,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076119788,55.7243668681,7736-1000,099-098,25002,5,3,0.988614355275,1.0,byCorr,1.0
9003,54574,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101,1435916118320,Andrey,1435916076,0.382475311194,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6075996555,55.7239256824,7736-1000,099-098,25002,5,2,0.977064893128,1.0,byCorr,1.0
8620,53895,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435853739147,Anna,1435850455,0.30415461149,98,99,597905036.0,099-098-201507021915-Anna-move.csv,37.60765273,55.7230395611,7736-1000,099-098,25002,5,3,0.986068848223,1.0,byCorr,1.0
8682,54025,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435854046207,Anna,1435850763,0.309764713895,98,99,597905036.0,099-098-201507021920-Anna-move.csv,37.6076453683,55.7231029849,7736-1000,099-098,25002,5,3,0.960007481098,1.0,byCorr,1.0
8937,54444,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435907599251,Anna,1435904316,0.343930264807,98,99,828403345.0,099-098-201507031012-Anna-move.csv,37.6076005355,55.7234892336,7736-1000,099-098,25002,5,3,0.955556840632,1.0,byCorr,1.0
9090,54709,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-107,1435918904002,Anna,1435916076,0.324063409195,98,99,244724959.0,099-098-201507031321-Anna-move.csv,37.6076266052,55.7232646351,7736-1000,099-098,25002,5,2,0.959129284528,1.0,byCorr,1.0
8311,53566,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-85,1435850743543,vlad,1435850763,0.473052048414,98,99,597905036.0,099-098-201507021824-vlad-move.csv,37.6076283146,55.7249516999,7736-1000,099-098,25002,5,3,0.986485821753,1.0,byCorr,1.0
8464,53732,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89,1435851042244,vlad,1435851060,0.492637347879,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.6076345115,55.7251735509,7736-1000,099-098,25002,5,3,0.980989214717,1.0,byCorr,1.0
8800,54259,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93,1435904298604,vlad,1435904316,0.558358302185,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.607655306,55.7259179909,7736-1000,099-098,25002,5,3,0.984370849089,1.0,byCorr,1.0
8252,53507,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-55,1435850536607,Andrey,1435850455,0.894522379399,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6104206679,55.7290630279,7736-340,099-098,25002,5,3,0.978500085838,1.0,byCorr,1.0
8404,53672,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-55,1435850842762,Andrey,1435850763,0.902383812153,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6105488179,55.7291152086,7736-340,099-098,25002,5,2,0.981120973362,1.0,byCorr,1.0
8573,53848,1,340,981.0,7736,250,2,Октябрьская (КРЛ) 1,2G,EDGE,-1,-51,1435851138649,Andrey,1435851060,0.902328858142,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6105479221,55.7291148439,7736-340,099-098,25002,5,3,0.975103831412,1.0,byCorr,1.0
9038,54621,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-55,1435916166984,Andrey,1435916076,0.909304474154,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6106616322,55.7291611449,7736-340,099-098,25002,5,2,0.978809352719,1.0,byCorr,1.0
8168,53412,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-67,1435850474080,vlad,1435850455,0.92147862516,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6108600842,55.7292419513,7736-340,099-098,25002,5,3,0.855587625408,1.0,byCorr,1.0
9436,56558,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-65,1435915440233,Andrey,1435915305,0.926971004013,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.5877227376,55.7087058532,7736-1010,099-100,25002,5,2,0.979876035377,1.0,byCorr,1.0
9526,56712,1,1010,1001.0,7736,250,2,Ленинский проспект 1,2G,EDGE,-1,-65,1435916570638,Andrey,1435916431,0.941816709521,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.587368465,55.7085034131,7736-1010,099-100,25002,5,2,0.953567930714,1.0,byCorr,1.0
9278,56169,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103,1435851367296,Andrey,1435851320,0.303154399169,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6053477467,55.7143582204,7736-1000,099-100,25002,3,3,0.996127874168,1.0,byCorr,1.0
9497,56619,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101,1435916475478,Andrey,1435916431,0.26768298444,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6062235682,55.7148249691,7736-1000,099-100,25002,3,2,0.993530966984,1.0,byCorr,1.0
9577,56763,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97,1435918133106,Anna,1435915305,0.217603580987,100,99,244724959.0,099-100-201507031308-Anna-move.csv,37.6074055429,55.715510639,7736-1000,099-100,25002,3,2,0.956016729413,1.0,byCorr,1.0
9661,56986,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105,1435919257651,Anna,1435916431,0.196740570624,100,99,244724959.0,099-100-201507031327-Anna-move.csv,37.6078166594,55.7158361058,7736-1000,099-100,25002,3,2,0.909827194146,1.0,byCorr,1.0
9905,58151,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105,1435904192164,Andrey,1435904128,0.364089984969,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5971436504,55.7100473485,7736-1010,100-099,25002,3,3,0.880776222529,1.0,byCorr,1.0
10067,58563,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103,1435915948693,Andrey,1435915883,0.381943148981,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.5976851862,55.7102080749,7736-1010,100-099,25002,3,2,0.871822172125,1.0,byCorr,1.0
10160,58773,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-113,1435918731978,Anna,1435915883,0.325429773093,99,100,244724959.0,100-099-201507031317-Anna-move.csv,37.595869605,55.709841689,7736-1010,100-099,25002,3,2,0.96017922293,1.0,byCorr,1.0
9736,57868,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-69,1435838943574,Andrey,1435838786,0.973736300459,99,100,778927166.0,100-099-201507021506-Andrey-move.csv,37.6083542965,55.7191040884,7736-1000,100-099,25002,3,2,0.874173727286,1.0,byCorr,1.0
10102,58659,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-67,1435916049219,Andrey,1435915883,0.990341001028,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.6082785967,55.7194237035,7736-1000,100-099,25002,3,1,0.900974766764,1.0,byCorr,1.0
10430,60430,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105,1435915743897,Andrey,1435915698,0.262701908461,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5762408024,55.6931741186,7736-1020,101-100,25002,2,2,0.9889426302,1.0,byCorr,1.0
14935,89766,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97,1435909499395,Andrey,1435909460,0.267585792776,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6529398288,55.7604630296,7763-160,151-219,25002,5,2,0.983618200012,1.0,byCorr,1.0
15200,90031,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-89,1435910442874,Andrey,1435910406,0.242928065476,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6532813545,55.7601681877,7763-160,151-219,25002,5,2,0.976189459723,1.0,byCorr,1.0
15337,90168,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-91,1435910940540,Andrey,1435910902,0.236338944742,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.6533726182,55.7600893986,7763-160,151-219,25002,5,2,0.985648379431,1.0,byCorr,1.0
15483,90452,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-107,1435912749371,Anna,1435909460,0.270698003655,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6528967227,55.7605002433,7763-160,151-219,25002,5,2,0.989463415106,1.0,byCorr,1.0
15617,90736,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97,1435913235507,Anna,1435909946,0.272689861189,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6528691341,55.7605240606,7763-160,151-219,25002,5,2,0.972905528817,1.0,byCorr,1.0
15887,91006,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103,1435914192419,Anna,1435910902,0.249539343212,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.653189784,55.7602472415,7763-160,151-219,25002,5,2,0.984324785069,1.0,byCorr,1.0
16043,91162,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103,1435915635088,Anna,1435912001,0.36651381917,219,151,630943405.0,151-219-201507031226-Anna-move.csv,37.6515072297,55.7616219017,7763-160,151-219,25002,5,1,0.989031403357,1.0,byCorr,1.0
15148,89979,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-51,1435910067420,Andrey,1435909946,0.94343250692,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.641213322,55.7669175317,7763-640,151-219,25002,5,2,0.98883924907,1.0,byCorr,1.0
15283,90114,1,640,2191.0,7763,250,2,Сретенский бульвар 1,2G,EDGE,-1,-51,1435910528117,Andrey,1435910406,0.922688555577,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6417350264,55.766878887,7763-640,151-219,25002,5,2,0.977820139002,1.0,byCorr,1.0
15420,90251,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-51,1435911026248,Andrey,1435910902,0.884939324182,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.6426707785,55.7667722429,7763-640,151-219,25002,5,2,0.988038411202,1.0,byCorr,1.0
15561,90530,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-51,1435912828726,Anna,1435909460,0.926242728145,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.64164564,55.7668855082,7763-640,151-219,25002,5,2,0.906308214235,1.0,byCorr,1.0
15693,90812,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-57,1435913314864,Anna,1435909946,0.929939677536,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6415526628,55.7668923954,7763-640,151-219,25002,5,2,0.882503559866,1.0,byCorr,1.0
15825,90944,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-53,1435913773465,Anna,1435910406,0.894609076471,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6424353973,55.7668110686,7763-640,151-219,25002,5,2,0.914213070064,1.0,byCorr,1.0
15963,91082,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-51,1435914271944,Anna,1435910902,0.854030172818,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6434231695,55.7666481373,7763-640,151-219,25002,5,2,0.899363791888,1.0,byCorr,1.0
17765,100798,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79,1435909763378,Andrey,1435909691,0.498471740481,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6495173248,55.7630436976,7763-640,219-151,25002,3,2,0.980317146264,1.0,byCorr,1.0
17910,100943,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-69,1435910267623,Andrey,1435910194,0.472615830573,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6491723714,55.7633556236,7763-640,219-151,25002,3,2,0.96542090886,1.0,byCorr,1.0
18238,101271,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83,1435913013132,Anna,1435909691,0.4927400017,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6494408556,55.7631128456,7763-640,219-151,25002,3,2,0.944817069445,1.0,byCorr,1.0
18446,101479,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-83,1435913518160,Anna,1435910194,0.477649222745,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6492395238,55.7632949009,7763-640,219-151,25002,3,2,0.932771813654,1.0,byCorr,1.0
17824,100857,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-53,1435909824054,Andrey,1435909691,0.955508995285,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6558963147,55.757634233,7763-160,219-151,25002,3,2,0.981058085287,1.0,byCorr,1.0
17964,100997,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-53,1435910324150,Andrey,1435910194,0.877171891782,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6548561277,55.7585800233,7763-160,219-151,25002,3,2,0.983674841156,1.0,byCorr,1.0
18299,101332,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-51,1435913065080,Anna,1435909691,0.888306741972,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6550120946,55.758448363,7763-160,219-151,25002,3,2,0.957827978507,1.0,byCorr,1.0
18519,101552,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-51,1435913580786,Anna,1435910194,0.926587557792,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6555230087,55.7579869919,7763-160,219-151,25002,3,2,0.961709418615,1.0,byCorr,1.0
