,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2108,26340,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-99,1435842970347,Andrey,1435842924,0.378995822357,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6137326306,55.7805104094,7763-250,068-069,25002,2,3,0.978946193073,1.0,byCorr,1.0
2336,26768,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-113,1435846574275,Anna,1435843291,0.290206989741,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6109506696,55.7805885754,7763-250,068-069,25002,2,2,0.937888771735,1.0,byCorr,1.0
2248,26517,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-73,1435843400715,Andrey,1435843291,0.974126006805,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6323959912,55.7797565344,7763-275,068-069,25002,2,2,0.943824284488,1.0,byCorr,1.0
3224,31883,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-67,1435914869679,Andrey,1435914799,0.87674390573,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6241954281,55.728860772,7736-350,073-074,25002,3,2,0.986370083669,1.0,byCorr,1.0
3316,32004,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-69,1435916999351,Anna,1435914142,0.834333006787,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6249075649,55.7289062036,7736-350,073-074,25002,3,2,0.796332889449,1.0,byCorr,1.0
3440,32128,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-57,1435917661680,Anna,1435914799,0.875523611492,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6242159184,55.7288620799,7736-350,073-074,25002,3,2,0.804987873562,1.0,byCorr,1.0
3109,31768,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-99,1435914176055,Andrey,1435914142,0.380968918186,74,73,244724959.0,073-074-201507031202-Andrey-move.csv,37.63231624,55.729889467,7736-370,073-074,25002,2,2,0.996613285757,1.0,byCorr,1.0
3272,31960,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-99,1435916964048,Anna,1435914142,0.312678037295,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6332964307,55.7302235585,7736-370,073-074,25002,2,2,0.795654816478,1.0,byCorr,1.0
3792,33216,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-87,1435914951591,Andrey,1435914913,0.409461951827,75,74,244724959.0,074-075-201507031215-Andrey-move.csv,37.6166544338,55.7283331881,7736-350,074-075,25002,3,2,0.967890709312,1.0,byCorr,1.0
3966,33390,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-105,1435917746811,Anna,1435914913,0.450019456862,75,74,244724959.0,074-075-201507031301-Anna-move.csv,37.6161088857,55.7283171509,7736-350,074-075,25002,3,2,0.945482580267,1.0,byCorr,1.0
3738,33162,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-73,1435914325362,Andrey,1435914255,0.845535692254,75,74,244724959.0,074-075-201507031204-Andrey-move.csv,37.6109760367,55.7289505776,7736-341,074-075,25002,2,2,0.982147439785,1.0,byCorr,1.0
4008,33432,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-81,1435917789612,Anna,1435914913,0.982444310463,75,74,244724959.0,074-075-201507031301-Anna-move.csv,37.6093996559,55.7294885906,7736-341,074-075,25002,2,2,0.658351372805,1.0,byCorr,1.0
4293,33987,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-99,1435914465086,Andrey,1435914434,0.395284905489,74,75,244724959.0,075-074-201507031207-Andrey-move.csv,37.613952108,55.7281728506,7736-341,075-074,25002,2,2,0.987461808504,1.0,byCorr,1.0
