,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
69,,250,,7763,,,,2G,EDGE,2,,,-102.0,,,0.98729,1.0,,7763-250,1.0,byCorr,,0.25,1435842924,0.313818253499,,068-069,69,68,,,,
2251,1,275,,7763,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-71.0013047026,1.43584340386e+12,Andrey,0.96784,1.0,26520.0,7763-275,1.0,byCorr,25002.0,,1435843291,0.982456140351,-73.0,068-069,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6327369377,55.779758004
46,,275,,7763,,,,2G,EDGE,2,,,-107.0,,,0.97708,1.0,,7763-275,1.0,byCorr,,0.25,1435843136,0.388359428182,,069-068,68,69,,,,
31,,370,,7736,,,,2G,EDGE,2,,,-105.0,,,0.99431,1.0,,7736-370,1.0,byCorr,,0.56,1435914142,0.356344510191,,073-074,74,73,,,,
75,,350,,7736,,,,2G,EDGE,2,,,-82.0,,,0.96075,1.0,,7736-350,1.0,byCorr,,0.91,1435914799,0.974358974359,,073-074,74,73,,,,
44,,350,,7736,,,,2G,EDGE,2,,,-106.0,,,0.97029,1.0,,7736-350,1.0,byCorr,,0.62,1435914913,0.481158677262,,074-075,75,74,,,,
38,,341,,7736,,,,2G,EDGE,2,,,-101.0,,,0.96257,1.0,,7736-341,1.0,byCorr,,0.32,1435904753,0.486411426304,,075-074,74,75,,,,
4434,1,350,,7736,250.0,2.0,ServiceLog,2G,EDGE,2,1.0,-1.0,-58.8166023044,1.43591729254e+12,Anna,0.98334,1.0,34128.0,7736-350,1.0,byCorr,25002.0,,1435914434,0.957746478873,-58.8166023044,075-074,74,75,244724959.0,075-074-201507031253-Anna-move.csv,37.6215911358,55.7284896178
7128,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,6,1.0,-1.0,-99.0,1.43585037256e+12,Andrey,0.98821,1.0,51670.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.377551020408,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072642441,55.7267644389
44,,340,,7736,,,,2G,EDGE,6,,,-100.0,,,0.98471,1.0,,7736-340,1.0,byCorr,,0.25,1435850918,0.315476190476,,098-099,99,98,,,,
39,,340,,7736,,,,2G,EDGE,6,,,-103.0,,,0.97455,1.0,,7736-340,1.0,byCorr,,0.54,1435851203,0.304385584021,,098-099,99,98,,,,
37,,340,,7736,,,,2G,EDGE,6,,,-107.0,,,0.98737,1.0,,7736-340,1.0,byCorr,,0.42,1435915183,0.335739173718,,098-099,99,98,,,,
