,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,coeffs,controls,method,maxCorrMinDelta
14945,89776,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435909509598,Andrey,1435909460,0.352113838873,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6517202831,55.7614549594,7763-160,151-219,25002,-105,0.991867125357,1.0,byCorr,1.0
15074,89905,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435909991824,Andrey,1435909946,0.323698303267,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6521408596,55.7611255932,7763-160,151-219,25002,-103,0.996018222315,1.0,byCorr,1.0
15208,90039,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435910451036,Andrey,1435910406,0.308439992408,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6523666969,55.760948732,7763-160,151-219,25002,-105,0.994793743739,1.0,byCorr,1.0
15347,90178,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435910950720,Andrey,1435910902,0.313376699797,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652293629,55.7610059542,7763-160,151-219,25002,-99,0.993196071454,1.0,byCorr,1.0
15018,89849,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-51.0,1435909583365,Andrey,1435909460,0.955262113866,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6409158108,55.7669395696,7763-640,151-219,25002,-51,0.982819062904,1.0,byCorr,1.0
15158,89989,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435910077953,Andrey,1435909946,0.991695843138,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6399990109,55.7670052463,7763-640,151-219,25002,-71,0.97030226729,1.0,byCorr,1.0
15293,90124,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-63.0,1435910538012,Andrey,1435910406,0.97788920961,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.640346516,55.7669807165,7763-640,151-219,25002,-63,0.94343524776,1.0,byCorr,1.0
15433,90264,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-61.0,1435911038818,Andrey,1435910902,0.963925784301,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.640697922,55.7669557095,7763-640,151-219,25002,-61,0.975022419569,1.0,byCorr,1.0
17771,100804,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435909769594,Andrey,1435909691,0.546067270978,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6501793079,55.7624794975,7763-640,219-151,25002,-81,0.988198136869,1.0,byCorr,1.0
17922,100955,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435910279880,Andrey,1435910194,0.560337515958,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6503851571,55.7623130663,7763-640,219-151,25002,-81,0.990157890687,1.0,byCorr,1.0
18066,101099,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-79.0,1435910741395,Andrey,1435910663,0.570312313266,151,219,77603657.0,219-151-201507031104-Andrey-move.csv,37.6505290442,55.7621967316,7763-640,219-151,25002,-81,0.987935745747,1.0,byCorr,1.0
18314,101347,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-75.6666666667,1435913079748,Anna,1435909691,0.976863291929,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6562100633,55.757387418,7763-160,219-151,25002,-77,0.974169725395,1.0,byCorr,1.0
18533,101566,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-73.6666666667,1435913594329,Anna,1435910194,0.992194170312,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6564353126,55.7572102213,7763-160,219-151,25002,-83,0.961342143177,1.0,byCorr,1.0
18721,101754,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435914043636,Anna,1435910663,0.978860821064,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.656239412,55.7573643303,7763-160,219-151,25002,-71,0.973554347738,1.0,byCorr,1.0
