,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,ratio_before,Power_before,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
2103,26335,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842965208,Andrey,1435842924,0.346377354154,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6121899206,55.7805950431,7763-250,068-069,25002,0.329728033052,-97,-97.0,2,3,0.982486459447,1.0,byCorr,1.0
2010,26242,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-92.6082795495,1435842899207,vlad,1435842924,0.346377354154,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6121303637,55.7805982749,7763-250,068-069,25002,0.327826225985,-93,-92.6082795495,2,3,0.94620921179,1.0,byCorr,1.0
2334,26764,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-108.928220142,1435846572193,Anna,1435843291,0.287239757103,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.61031831,55.7805599006,7763-250,068-069,25002,0.270040094495,-111,-108.928220142,2,2,0.941849178173,1.0,byCorr,1.0
2459,27154,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.86803551,1435843175342,Andrey,1435843136,0.30714621164,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6231670992,55.7801584442,7763-275,069-068,25002,0.318737083242,-103,-103.86803551,2,3,0.953093887436,1.0,byCorr,1.0
3321,32009,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-87.855390609,1435917004546,Anna,1435914142,0.824802640872,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6236185975,55.728823953,7736-350,073-074,25002,0.911096951317,-81,-87.8086222563,3,2,0.951919831463,1.0,byCorr,1.0
3454,32142,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-82.1285557548,1435917675139,Anna,1435914799,1.0859256563,74,73,244724959.0,073-074-201507031259-Anna-move.csv,37.6224745524,55.7287371301,7736-350,073-074,25002,0.979412448993,-77,-82.1285557548,3,2,0.909394652438,1.0,byCorr,1.0
3269,31955,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.827421358,1435916960915,Anna,1435914142,0.316395779863,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6338718205,55.7305206006,7736-370,073-074,25002,0.266383243898,-107,-106.46424474,2,2,0.975160805852,1.0,byCorr,1.0
3191,31850,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914835698,Andrey,1435914799,0.421861039818,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6318296346,55.7297861173,7736-370,073-074,25002,0.411744419524,-103,-103.0,2,2,0.965818754044,1.0,byCorr,1.0
3617,32432,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.5776837678,1435917373746,Anna,1435914537,0.616389079712,73,74,244724959.0,074-073-201507031255-Anna-move.csv,37.6320019283,55.7296431841,7736-350,074-073,25002,0.597196518974,-97,-91.5776837678,1,2,0.87516318138,1.0,byCorr,1.0
3873,33297,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-83.0,1435917077233,Anna,1435914255,0.359759412472,75,74,244724959.0,074-075-201507031250-Anna-move.csv,37.6178842692,55.7284214275,7736-350,074-075,25002,0.317441717535,-97,-83.0,3,2,0.670262094697,1.0,byCorr,1.0
3799,33223,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-90.4016780712,1435914958716,Andrey,1435914913,0.539639118708,75,74,244724959.0,074-075-201507031215-Andrey-move.csv,37.6154347734,55.72831,7736-350,074-075,25002,0.500075645034,-95,-90.4016780712,3,2,0.910126563687,1.0,byCorr,1.0
3998,33422,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435917780284,Anna,1435914913,0.835007405763,75,74,244724959.0,074-075-201507031301-Anna-move.csv,37.6105936339,55.7290630489,7736-341,074-075,25002,0.87755721274,-75,-85.0,2,2,0.915139814392,1.0,byCorr,1.0
4195,33884,1,341,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.8268637904,1435908021509,Anna,1435904753,0.26244845299,74,75,828403345.0,075-074-201507031020-Anna-move.csv,37.6115150998,55.7285870541,7736-341,075-074,25002,0.208147941495,-101,-99.8268637904,2,3,0.915374291491,1.0,byCorr,1.0
