index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
51939,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850892069,vlad,1435850918,0.34,99,98,597905036.0,098-099-201507021827-vlad-move.csv,37.6072690942,55.7271146023,7736-340,098-099,25002,-95.0,7,3,0.804,1.0,byCorr,1.0
52165,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851249211,Andrey,1435851203,0.45,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6072511089,55.7258161043,7736-340,098-099,25002,-103.0,7,2,0.97491,1.0,byCorr,1.0
52165,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851249211,Andrey,1435851203,0.46,99,98,597905036.0,098-099-201507021833-Andrey-move.csv,37.6072511089,55.7258161043,7736-340,098-099,25002,-103.0,7,2,0.97491,1.0,byCorr,1.0
52691,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915224621,Andrey,1435915183,0.39,99,98,244724959.0,098-099-201507031219-Andrey-move.csv,37.6072610646,55.7265348911,7736-340,098-099,25002,-103.0,7,2,0.8824,1.0,byCorr,1.0
52789,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435916339419,Andrey,1435916299,0.38,99,98,244724959.0,098-099-201507031238-Andrey-move.csv,37.607263165,55.7266865342,7736-340,098-099,25002,-105.0,7,2,0.92866,1.0,byCorr,1.0
53471,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850500827,Andrey,1435850455,0.462365591398,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076268533,55.724899385,7736-1000,099-098,25002,-95.0,5,3,0.97981,1.0,byCorr,1.0
53390,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435850437601,vlad,1435850455,0.47311827957,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6076306471,55.7250352066,7736-1000,099-098,25002,-89.0,5,3,0.9781,1.0,byCorr,1.0
53639,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850809959,Andrey,1435850763,0.494623655914,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076387142,55.7253240085,7736-1000,099-098,25002,-95.0,5,3,0.94742,1.0,byCorr,1.0
53639,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850809959,Andrey,1435850763,0.505376344086,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076387142,55.7253240085,7736-1000,099-098,25002,-95.0,5,3,0.94742,1.0,byCorr,1.0
53569,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435850746656,vlad,1435850763,0.505376344086,98,99,597905036.0,099-098-201507021824-vlad-move.csv,37.6076406675,55.7253939392,7736-1000,099-098,25002,-85.0,5,3,0.94119,1.0,byCorr,1.0
53817,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435851107508,Andrey,1435851060,0.505376344086,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6076408762,55.7254014077,7736-1000,099-098,25002,-101.0,5,3,0.98633,1.0,byCorr,1.0
53732,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435851042244,vlad,1435851060,0.483870967742,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.6076345115,55.7251735509,7736-1000,099-098,25002,-89.0,5,3,0.96494,1.0,byCorr,1.0
54335,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904362118,Andrey,1435904316,0.505376344086,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076419108,55.7254384485,7736-1000,099-098,25002,-97.0,5,2,0.96551,1.0,byCorr,1.0
54584,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916128536,Andrey,1435916076,0.483870967742,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076346491,55.7251784766,7736-1000,099-098,25002,-101.0,5,2,0.98663,1.0,byCorr,1.0
53860,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-68.6314843504,1435851151162,Andrey,1435851060,0.989247311828,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.611832004,55.7298033031,7736-340,099-098,25002,-68.6314843504,5,3,0.88352,1.0,byCorr,1.0
56572,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-65.0,1435915455193,Andrey,1435915305,0.986928104575,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.5862900417,55.7078871691,7736-1010,099-100,25002,-70.8570873598,5,2,0.99274,1.0,byCorr,1.0
56174,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851372493,Andrey,1435851320,0.339869281046,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6043738651,55.7138392063,7736-1000,099-100,25002,-103.0,3,2,0.99096,1.0,byCorr,1.0
56476,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915357124,Andrey,1435915305,0.326797385621,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.6047063912,55.7140164214,7736-1000,099-100,25002,-105.0,3,2,0.96446,1.0,byCorr,1.0
56624,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916480616,Andrey,1435916431,0.300653594771,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6053211055,55.7143440225,7736-1000,099-100,25002,-101.0,3,2,0.98283,1.0,byCorr,1.0
58156,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435904197407,Andrey,1435904128,0.395209580838,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5981303859,55.7103861551,7736-1010,100-099,25002,-105.0,3,3,0.98529,1.0,byCorr,1.0
58071,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904130909,vlad,1435904128,0.383233532934,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.598396519,55.7104926081,7736-1010,100-099,25002,-99.0,3,3,0.97632,1.0,byCorr,1.0
