,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
139,,250,,7763,,,,2G,EDGE,2,,,-103.0,,,0.966636564142,1.0,,7763-250,1.0,byCorr,,0.28,1435842924,0.37498654612,,068-069,69,68,,,,
58,,275,,7763,,,,2G,EDGE,2,,,-71.0,,,0.833585803573,1.0,,7763-275,1.0,byCorr,,-1.86,1435843291,1.16666666667,,068-069,69,68,,,,
42,,275,,7763,,,,2G,EDGE,2,,,-100.0,,,0.982785921704,1.0,,7763-275,1.0,byCorr,,0.26,1435843136,0.180810433163,,069-068,68,69,,,,
62,,350,,7736,,,,2G,EDGE,3,,,-68.0,,,0.894890021393,1.0,,7736-350,1.0,byCorr,,0.72,1435914142,0.784965034965,,073-074,74,73,,,,
99,,350,,7736,,,,2G,EDGE,3,,,-64.0,,,0.933722529624,1.0,,7736-350,1.0,byCorr,,0.9,1435914799,0.831564986737,,073-074,74,73,,,,
52,,370,,7736,,,,2G,EDGE,2,,,-103.0,,,0.95061728661,1.0,,7736-370,1.0,byCorr,,0.72,1435914799,0.295625942685,,073-074,74,73,,,,
84,,350,,7736,,,,2G,EDGE,3,,,-113.0,,,0.956513791564,1.0,,7736-350,1.0,byCorr,,0.7,1435914913,0.491785323111,,074-075,75,74,,,,
66,,341,,7736,,,,2G,EDGE,2,,,-102.0,,,0.963824884565,1.0,,7736-341,1.0,byCorr,,0.19,1435904753,0.443136430523,,075-074,74,75,,,,
85,,350,,7736,,,,2G,EDGE,2,,,-54.0,,,0.985777103514,1.0,,7736-350,1.0,byCorr,,0.9,1435904753,0.786720321932,,075-074,74,75,,,,
7073,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-97.0,1.43582840812e+12,Andrey,0.905665208725,1.0,51569.0,7736-340,1.0,byCorr,25002.0,,1435828371,0.336734693878,-97.0,098-099,99,98,321756903.0,098-099-201507021212-Andrey-move.csv,37.6072807642,55.7272063126
7125,1,340,,7736,250.0,2.0,ServiceLog,2G,EDGE,7,1.0,-1.0,-99.0,1.43585036945e+12,Andrey,0.899453767888,1.0,51667.0,7736-340,1.0,byCorr,25002.0,,1435850333,0.336734693878,-99.0,098-099,99,98,597905036.0,098-099-201507021818-Andrey-move.csv,37.6072729893,55.7271873072
45,,340,,7736,,,,2G,EDGE,7,,,-105.0,,,0.906047796021,1.0,,7736-340,1.0,byCorr,,0.51,1435850611,0.172351132234,,098-099,99,98,,,,
