,index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,time,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
8225,53469,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850498775,Andrey,1435850455,0.443276553752,98,99,597905036.0,099-098-201507021820-Andrey-move.csv,37.6076188934,55.7246144178,7736-1000,099-098,25002,43013,-95,5,3,0.954364217121,1.0,byCorr,1.0
8143,53387,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435850434523,vlad,1435850455,0.442922511115,98,99,597905036.0,099-098-201507021819-vlad-move.csv,37.6076187814,55.7246104074,7736-1000,099-098,25002,42179,-89,5,3,0.947862590114,1.0,byCorr,1.0
8383,53638,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435850808946,Andrey,1435850763,0.493316500186,98,99,597905036.0,099-098-201507021826-Andrey-move.csv,37.6076347264,55.725181244,7736-1000,099-098,25002,45660,-95,5,3,0.953787447173,1.0,byCorr,1.0
8310,53565,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435850742443,vlad,1435850763,0.459256437865,98,99,597905036.0,099-098-201507021824-vlad-move.csv,37.6076239495,55.7247954304,7736-1000,099-098,25002,42923,-85,5,3,0.928814029312,1.0,byCorr,1.0
8547,53815,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435851105471,Andrey,1435851060,0.487114351918,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.607632764,55.7251109897,7736-1000,099-098,25002,44532,-101,5,3,0.971894040976,1.0,byCorr,1.0
8463,53731,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-89.0,1435851041211,vlad,1435851060,0.479655394509,98,99,597905036.0,099-098-201507021829-vlad-move.csv,37.6076304039,55.725026499,7736-1000,099-098,25002,45130,-89,5,3,0.936930448661,1.0,byCorr,1.0
8872,54331,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435904357920,Andrey,1435904316,0.461314169176,98,99,828403345.0,099-098-201507030918-Andrey-move.csv,37.6076246006,55.7248187394,7736-1000,099-098,25002,41381,-97,5,3,0.960118363373,1.0,byCorr,1.0
8797,54256,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-93.0,1435904293445,vlad,1435904316,0.491010628769,98,99,828403345.0,099-098-201507030917-vlad-move.csv,37.6076339968,55.7251551244,7736-1000,099-098,25002,44248,-93,5,3,0.963267868473,1.0,byCorr,1.0
9009,54580,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916124466,Andrey,1435916076,0.449010986655,98,99,244724959.0,099-098-201507031234-Andrey-move.csv,37.6076207078,55.7246793749,7736-1000,099-098,25002,48063,-101,5,2,0.9812604832,1.0,byCorr,1.0
8582,53857,1,340,,7736,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435851147987,Andrey,1435851060,0.981556097097,98,99,597905036.0,099-098-201507021831-Andrey-move.csv,37.6117070626,55.7297220914,7736-340,099-098,25002,30246,-71,5,3,0.956468602436,1.0,byCorr,1.0
9608,56914,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-63.0,1435918231818,Anna,1435915305,0.934989909342,100,99,244724959.0,099-100-201507031308-Anna-move.csv,37.5875313773,55.7085965053,7736-1010,099-100,25002,18633,-71,5,2,0.981606448965,1.0,byCorr,1.0
9281,56172,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435851370368,Andrey,1435851320,0.326469517791,100,99,597905036.0,099-100-201507021835-Andrey-move.csv,37.6047720753,55.7140514267,7736-1000,099-100,25002,49649,-103,3,3,0.988371582216,1.0,byCorr,1.0
9209,56100,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-91.0,1435851309234,vlad,1435851320,0.347861927915,100,99,597905036.0,099-100-201507021834-vlad-move.csv,37.6042438773,55.7137699309,7736-1000,099-100,25002,52462,-91,3,3,0.977063755659,1.0,byCorr,1.0
9412,56474,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915355099,Andrey,1435915305,0.31440753305,100,99,244724959.0,099-100-201507031221-Andrey-move.csv,37.6050698966,55.7142101455,7736-1000,099-100,25002,49415,-105,3,2,0.952117023511,1.0,byCorr,1.0
9499,56621,1,1000,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435916477560,Andrey,1435916431,0.282493794609,100,99,244724959.0,099-100-201507031240-Andrey-move.csv,37.6058578758,55.7146300825,7736-1000,099-100,25002,46159,-101,3,2,0.981922411536,1.0,byCorr,1.0
9905,58151,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435904192164,Andrey,1435904128,0.364089984969,99,100,828403345.0,100-099-201507030915-Andrey-move.csv,37.5971436504,55.7100473485,7736-1010,100-099,25002,63448,-105,3,3,0.979088076972,1.0,byCorr,1.0
9821,58067,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435904123710,vlad,1435904128,0.361119449168,99,100,828403345.0,100-099-201507030914-vlad-move.csv,37.5970493469,55.7100248443,7736-1010,100-099,25002,62169,-99,3,3,0.967110233802,1.0,byCorr,1.0
10069,58565,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435915950841,Andrey,1435915883,0.395991316952,99,100,244724959.0,100-099-201507031231-Andrey-move.csv,37.5980801044,55.7103660425,7736-1010,100-099,25002,67764,-103,3,2,0.972065495912,1.0,byCorr,1.0
10203,59006,1,1010,,7736,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435915532499,Andrey,1435915497,0.190006992496,101,100,244724959.0,100-101-201507031224-Andrey-move.csv,37.5814242838,55.704493501,7736-1010,100-101,25002,35446,-101,1,2,0.980748727115,1.0,byCorr,1.0
10307,59869,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-85.0,1435903828941,vlad,1435903861,0.125704859877,100,101,828403345.0,101-100-201507030909-vlad-move.csv,37.575166159,55.6902996896,7736-1020,101-100,25002,35070,-85,2,2,0.976717915088,1.0,byCorr,1.0
10427,60427,1,1020,,7736,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435915740851,Andrey,1435915698,0.242268555001,100,101,244724959.0,101-100-201507031228-Andrey-move.csv,37.5760805174,55.6927454058,7736-1020,101-100,25002,42106,-105,2,2,0.983202347663,1.0,byCorr,1.0
14945,89776,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435909509598,Andrey,1435909460,0.352113838873,219,151,77603657.0,151-219-201507031044-Andrey-move.csv,37.6517202831,55.7614549594,7763-160,151-219,25002,48782,-105,5,2,0.981063987075,1.0,byCorr,1.0
15612,90731,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435913230352,Anna,1435909946,0.229995167846,219,151,77603657.0,151-219-201507031146-Anna-move.csv,37.6534604836,55.7600135431,7763-160,151-219,25002,33573,-97,5,2,0.965109917414,1.0,byCorr,1.0
15209,90040,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435910452066,Andrey,1435910406,0.316707241043,219,151,77603657.0,151-219-201507031100-Andrey-move.csv,37.6522443339,55.7610445589,7763-160,151-219,25002,45755,-107,5,2,0.986440207194,1.0,byCorr,1.0
15348,90179,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435910951728,Andrey,1435910902,0.321004798879,219,151,77603657.0,151-219-201507031108-Andrey-move.csv,37.652180726,55.7610943725,7763-160,151-219,25002,48853,-101,5,2,0.985269730763,1.0,byCorr,1.0
15560,90529,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-51.0,1435912827712,Anna,1435909460,0.91786616124,219,151,77603657.0,151-219-201507031138-Anna-move.csv,37.6418563083,55.7668699031,7763-640,151-219,25002,70027,-57,5,2,0.98129697399,1.0,byCorr,1.0
15156,89987,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-69.0,1435910075857,Andrey,1435909946,0.986896357479,219,151,77603657.0,151-219-201507031052-Andrey-move.csv,37.6401198112,55.7669967192,7763-640,151-219,25002,83023,-69,5,2,0.959661404363,1.0,byCorr,1.0
15826,90945,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-53.0,1435913774535,Anna,1435910406,0.903156530187,219,151,77603657.0,151-219-201507031154-Anna-move.csv,37.6422262512,55.7668424999,7763-640,151-219,25002,71795,-53,5,2,0.964677042879,1.0,byCorr,1.0
15971,91090,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-55.0,1435914280320,Anna,1435910902,0.917698392107,219,151,77603657.0,151-219-201507031202-Anna-move.csv,37.6418605276,55.7668695906,7763-640,151-219,25002,77481,-55,5,2,0.970216116319,1.0,byCorr,1.0
17772,100805,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435909770612,Andrey,1435909691,0.553862033537,151,219,77603657.0,219-151-201507031048-Andrey-move.csv,37.6502917478,55.7623885887,7763-640,219-151,25002,79388,-81,3,2,0.984769156183,1.0,byCorr,1.0
17922,100955,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435910279880,Andrey,1435910194,0.560337515958,151,219,77603657.0,219-151-201507031056-Andrey-move.csv,37.6503851571,55.7623130663,7763-640,219-151,25002,84931,-81,3,2,0.991032687258,1.0,byCorr,1.0
18068,101101,1,640,,7763,250,2,ServiceLog,2G,EDGE,-1,-81.0,1435910743434,Andrey,1435910663,0.586891773407,151,219,77603657.0,219-151-201507031104-Andrey-move.csv,37.6507682431,55.7620033823,7763-640,219-151,25002,79815,-83,3,2,0.983886146544,1.0,byCorr,1.0
18313,101346,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-77.0,1435913078650,Anna,1435909691,0.972591077874,151,219,77603657.0,219-151-201507031142-Anna-move.csv,37.6561472936,55.7574367968,7763-160,219-151,25002,110353,-77,3,2,0.957089758507,1.0,byCorr,1.0
18533,101566,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-77.0,1435913594329,Anna,1435910194,0.992194170312,151,219,77603657.0,219-151-201507031150-Anna-move.csv,37.6564353126,55.7572102213,7763-160,219-151,25002,129441,-83,3,2,0.944198994424,1.0,byCorr,1.0
18721,101754,1,160,,7763,250,2,ServiceLog,2G,EDGE,-1,-71.0,1435914043636,Anna,1435910663,0.978860821064,151,219,77603657.0,219-151-201507031158-Anna-move.csv,37.656239412,55.7573643303,7763-160,219-151,25002,107630,-71,3,2,0.949108674187,1.0,byCorr,1.0
