,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
12509,1,730,,7764,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435848551428,vlad,1435848556,0.360759493671,38,39,449805108.0,039-038-201507021748-vlad-move.csv,37.5027096191,55.8130273869,7764-730,039-038,25002,-99.0,1,2,0.94562,1.0,byCorr,1.0
12509,1,730,,7764,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435848551428,vlad,1435848556,0.367088607595,38,39,449805108.0,039-038-201507021748-vlad-move.csv,37.5027096191,55.8130273869,7764-730,039-038,25002,-99.0,1,2,0.94562,1.0,byCorr,1.0
12509,1,730,,7764,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435848551428,vlad,1435848556,0.373417721519,38,39,449805108.0,039-038-201507021748-vlad-move.csv,37.5027096191,55.8130273869,7764-730,039-038,25002,-99.0,1,2,0.94562,1.0,byCorr,1.0
12955,1,730,,7764,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435847934090,Andrey,1435847858,0.457831325301,40,39,449805108.0,039-040-201507021737-Andrey-move.csv,37.494182029,55.8289215669,7764-730,039-040,25002,-105.0,1,2,0.86147,1.0,byCorr,1.0
26267,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-101.0,1435842926187,vlad,1435842924,0.577586206897,69,68,449805108.0,068-069-201507021614-vlad-move.csv,37.6201808461,55.7801253709,7763-250,068-069,25002,-101.0,2,2,0.93481,1.0,byCorr,1.0
26778,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.0,1435846579546,Anna,1435843291,0.336206896552,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6125511656,55.7805754406,7763-250,068-069,25002,-109.0,2,2,0.90499,1.0,byCorr,1.0
26498,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-86.9806864861,1435843381839,Andrey,1435843291,0.801724137931,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6272853261,55.7798361361,7763-275,068-069,25002,-86.9806864861,2,2,0.93322,1.0,byCorr,1.0
26498,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-85.2441747145,1435843381839,Andrey,1435843291,0.810344827586,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6272853261,55.7798361361,7763-275,068-069,25002,-85.2441747145,2,2,0.93322,1.0,byCorr,1.0
27163,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843184871,Andrey,1435843136,0.40350877193,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6201988367,55.7803387848,7763-275,069-068,25002,-105.0,2,2,0.89371,1.0,byCorr,1.0
27163,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-105.0,1435843184871,Andrey,1435843136,0.412280701754,68,69,449805108.0,069-068-201507021618-Andrey-move.csv,37.6201988367,55.7803387848,7763-275,069-068,25002,-105.0,2,2,0.89371,1.0,byCorr,1.0
