index,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
12562,1,730,,7764,250,2,ServiceLog,2G,EDGE,-1,-107.0,1435848613170,Andrey,1435848556,0.348101265823,38,39,449805108.0,039-038-201507021749-Andrey-move.csv,37.502337148,55.8134867302,7764-730,039-038,25002,-107.0,1,2,0.97171,1.0,byCorr,1.0
13401,1,121,,7733,250,2,ServiceLog,2G,EDGE,-1,-95.0,1435848031577,vlad,1435848052,0.297872340426,41,40,449805108.0,040-041-201507021739-vlad-move.csv,37.4834359591,55.8444696281,7733-121,040-041,25002,-95.0,1,2,0.94618,1.0,byCorr,1.0
26337,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-97.0,1435842967260,Andrey,1435842924,0.344827586207,69,68,449805108.0,068-069-201507021615-Andrey-move.csv,37.6128059871,55.7805616131,7763-250,068-069,25002,-97.0,2,2,0.94733,1.0,byCorr,1.0
26778,1,250,,7763,250,2,ServiceLog,2G,EDGE,-1,-109.0,1435846579546,Anna,1435843291,0.336206896552,69,68,449805108.0,068-069-201507021715-Anna-move.csv,37.6125511656,55.7805754406,7763-250,068-069,25002,-109.0,2,2,0.90499,1.0,byCorr,1.0
26498,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-86.9806864861,1435843381839,Andrey,1435843291,0.801724137931,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6272853261,55.7798361361,7763-275,068-069,25002,-86.9806864861,2,2,0.93322,1.0,byCorr,1.0
26498,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-85.2441747145,1435843381839,Andrey,1435843291,0.810344827586,69,68,449805108.0,068-069-201507021621-Andrey-move.csv,37.6272853261,55.7798361361,7763-275,068-069,25002,-85.2441747145,2,2,0.93322,1.0,byCorr,1.0
27256,1,275,,7763,250,2,ServiceLog,2G,EDGE,-1,-99.0,1435843509306,Andrey,1435843480,0.19298245614,68,69,449805108.0,069-068-201507021624-Andrey-move.csv,37.6270514655,55.7800340427,7763-275,069-068,25002,-99.0,2,2,0.96945,1.0,byCorr,1.0
31775,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-99.0398794145,1435914183411,Andrey,1435914142,0.481012658228,74,73,244724959.0,073-074-201507031202-Andrey-move.csv,37.6306059896,55.7295083276,7736-370,073-074,25002,-101.955487546,2,2,0.89616,1.0,byCorr,1.0
31853,1,370,,7736,250,2,ServiceLog,2G,EDGE,-1,-103.0,1435914838736,Andrey,1435914799,0.443037974684,74,73,244724959.0,073-074-201507031213-Andrey-move.csv,37.6311746809,55.7296431718,7736-370,073-074,25002,-103.0,2,2,0.87041,1.0,byCorr,1.0
32006,1,350,,7736,250,2,ServiceLog,2G,EDGE,-1,-69.0,1435917001451,Anna,1435914142,0.860759493671,74,73,244724959.0,073-074-201507031248-Anna-move.csv,37.6243865165,55.7288729692,7736-350,073-074,25002,-55.0,2,2,0.93303,1.0,byCorr,1.0
