ID;Name;inter;move;sequence;stationId;errorIndex
11;Бульвар Рокоссовского 1;;;-1;;181320847
11;Бульвар Рокоссовского 1;;;-1;;181320847
13;Бульвар Рокоссовского 3;;;-1;;181320847
13;Бульвар Рокоссовского 3;;;-1;;181320847
14;Бульвар Рокоссовского 4;;;-1;;181320847
14;Бульвар Рокоссовского 4;;;-1;;181320847
21;Черкизовская 1;;;-1;;181320847
21;Черкизовская 1;;;-1;;181320847
21;Черкизовская 1;;;-1;;181320847
22;Черкизовская 2;;;-1;;181320847
22;Черкизовская 2;;;-1;;181320847
22;Черкизовская 2;;;-1;;181320847
