ID;Name;inter;move;sequence;stationId;errorIndex
1403;Боровицкая 3;;;-1;;549594614
1404;Боровицкая 4;;;-1;;549594614
1412;Полянка 2;;;-1;;549594614
1913;Улица Старокачаловская 3;;;-1;;499795832
1914;Улица Старокачаловская 4;;;-1;;499795832
1922;Улица Скобелевская 2;;;-1;;499795832
