Accel_X,Accel_Y,Accel_Z,Azimuth,GPS_Accuracy,GPS_Alt,GPS_Bearing,GPS_Lat,GPS_Lon,GPS_Speed,Gyro_X,Gyro_Y,Gyro_Z,ID,Magnetic,Name,Pitch,Roll,TimeStamp,Type,User,race_id,session_id
4.8216033,-6.851035,-5.1621118,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842305810,Raw,vlad,1435842348,449805108
4.5491962,-6.810174,-5.5843425,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842306840,Raw,vlad,1435842348,449805108
4.5491962,-6.701211,-5.202973,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842307871,Raw,vlad,1435842348,449805108
4.862464,-6.810174,-5.7341666,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842308904,Raw,vlad,1435842348,449805108
5.012288,-7.3141265,-6.006573,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842309934,Raw,vlad,1435842348,449805108
4.3176503,-6.891896,-5.8976107,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842310969,Raw,vlad,1435842348,449805108
4.508335,-6.701211,-4.5900574,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842311995,Raw,vlad,1435842348,449805108
4.5491962,-6.810174,-5.5843425,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842313030,Raw,vlad,1435842348,449805108
4.8216033,-6.810174,-5.202973,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842314041,Raw,vlad,1435842348,449805108
4.3176503,-6.851035,-5.284695,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,,0.0,ServiceLog,0.0,0.0,1435842315071,Raw,vlad,1435842348,449805108
