ID,Name,User,TimeStamp,Type,Accel_X,Accel_Y,Accel_Z,race_id
673,Белорусская (КЛЦ) 3,md,1418110813387,Raw,0.10896278,3.6774938,8.798744,1418110813
,ServiceLog,md,1418110813929,Raw,0.5720546,3.5957718,8.730643,1418110813
,ServiceLog,md,1418110814967,Raw,0.7627395,3.5140498,8.839605,1418110813
,ServiceLog,md,1418110815993,Raw,0.44947147,4.167826,6.810174,1418110813
,ServiceLog,md,1418110817013,Raw,1.293933,5.965712,7.000859,1418110813
,ServiceLog,md,1418110818035,Raw,1.4437568,5.9248514,7.04172,1418110813
,ServiceLog,md,1418110819091,Raw,1.1441092,6.006573,7.082581,1418110813
,ServiceLog,md,1418110820112,Raw,0.027240695,3.3233647,10.256122,1418110813
,ServiceLog,md,1418110821142,Raw,-0.027240695,2.7513103,8.771504,1418110813
,ServiceLog,md,1418110822169,Raw,0.027240695,2.4516625,9.343558,1418110813
,ServiceLog,md,1418110823193,Raw,-0.10896278,2.3699405,9.261836,1418110813
,ServiceLog,md,1418110824223,Raw,0.25878662,2.6423476,9.220976,1418110813
674,Белорусская (КЛЦ) 4,md,1418110824823,Raw,0.027240695,2.4516625,9.302697,1418110813
,ServiceLog,md,1418110825259,Raw,0.21792556,2.4516625,9.030291,1418110813
,ServiceLog,md,1418110826343,Raw,0.4903325,2.8330324,9.030291,1418110813
,ServiceLog,md,1418110827407,Raw,-1.4165162,3.5957718,8.458236,1418110813
,ServiceLog,md,1418110828451,Raw,-1.6344417,-1.7978859,9.193735,1418110813
,ServiceLog,md,1418110829632,Raw,0.7218784,4.2495484,9.030291,1418110813
,ServiceLog,md,1418110830693,Raw,-0.53119355,3.6774938,8.417375,1418110813
,ServiceLog,md,1418110831720,Raw,-0.0,3.8954194,8.689782,1418110813
,ServiceLog,md,1418110832748,Raw,0.19068487,3.6774938,8.771504,1418110813
,ServiceLog,md,1418110833846,Raw,-0.25878662,4.3585114,8.22669,1418110813
,ServiceLog,md,1418110834953,Raw,0.44947147,6.2789803,7.572913,1418110813
,ServiceLog,md,1418110836209,Raw,-0.0,6.469665,6.619489,1418110813
,ServiceLog,md,1418110837261,Raw,0.25878662,6.428804,5.012288,1418110813
,ServiceLog,md,1418110838299,Raw,0.5720546,6.510526,6.619489,1418110813
,ServiceLog,md,1418110839335,Raw,0.19068487,6.2789803,6.932757,1418110813
,ServiceLog,md,1418110840370,Raw,0.40861043,5.6660647,7.3549876,1418110813
,ServiceLog,md,1418110841400,Raw,0.6401563,6.578628,6.701211,1418110813
,ServiceLog,md,1418110842431,Raw,0.06810174,6.0474343,6.701211,1418110813
,ServiceLog,md,1418110843459,Raw,-0.06810174,5.8158884,6.9599977,1418110813
,ServiceLog,md,1418110844489,Raw,0.25878662,6.510526,6.810174,1418110813
,ServiceLog,md,1418110845518,Raw,0.8308412,6.510526,6.769313,1418110813
,ServiceLog,md,1418110846551,Raw,2.4108016,8.158588,7.504812,1418110813
,ServiceLog,md,1418110847580,Raw,0.8036005,5.9248514,6.810174,1418110813
