ID,Name,User,TimeStamp,Type,X,Y,Z,race_id
,ServiceLog,bishop,1417416409139,Raw,0.53708315,1.993255,9.771081,1417416347
,ServiceLog,bishop,1417416410161,Raw,0.72868466,1.9166144,9.196277,1417416347
,ServiceLog,bishop,1417416411182,Raw,0.19220032,1.6100519,9.387877,1417416347
,ServiceLog,bishop,1417416412221,Raw,0.19220032,1.3034893,9.847721,1417416347
,ServiceLog,bishop,1417416413274,Raw,-0.1910028,1.1502081,10.115964,1417416347
,ServiceLog,bishop,1417416414285,Raw,0.07723938,1.38013,9.8094015,1417416347
,ServiceLog,bishop,1417416415301,Raw,0.42212218,0.92028624,8.3532295,1417416347
,ServiceLog,bishop,1417416416316,Raw,-0.11436218,1.6483722,9.6178,1417416347
,ServiceLog,bishop,1417416417337,Raw,-0.53588563,1.1118878,9.962683,1417416347
,ServiceLog,bishop,1417416418352,Raw,0.07723938,1.0352472,9.464519,1417416347
,ServiceLog,bishop,1417416419390,Raw,0.26884094,0.92028624,9.962683,1417416347
,ServiceLog,bishop,1417416420406,Raw,0.15388,0.95860654,9.847721,1417416347
,ServiceLog,bishop,1417416421424,Raw,-0.30596375,1.1118878,9.8094015,1417416347
,ServiceLog,bishop,1417416422450,Raw,0.38380188,0.95860654,9.886042,1417416347
,ServiceLog,bishop,1417416423472,Raw,0.57540345,1.6866925,9.349558,1417416347
,ServiceLog,bishop,1417416424491,Raw,0.07723938,1.8016534,9.886042,1417416347
,ServiceLog,bishop,1417416425689,Raw,-0.4209247,1.8016534,10.575808,1417416347
,ServiceLog,bishop,1417416426703,Raw,0.23052064,1.9166144,9.8094015,1417416347
,ServiceLog,bishop,1417416427715,Raw,-0.1910028,1.9166144,9.157956,1417416347
,ServiceLog,bishop,1417416428729,Raw,-0.9574091,1.7633331,10.077643,1417416347
,ServiceLog,bishop,1417416429749,Raw,-0.8041278,1.6100519,10.269245,1417416347
,ServiceLog,bishop,1417416430771,Raw,-0.07604187,1.7633331,9.924362,1417416347
,ServiceLog,bishop,1417416431785,Raw,-0.8041278,1.7250128,10.652448,1417416347
,ServiceLog,bishop,1417416432800,Raw,-0.9190887,1.8399738,9.579479,1417416347
,ServiceLog,bishop,1417416433818,Raw,0.53708315,1.6866925,9.924362,1417416347
,ServiceLog,bishop,1417416434832,Raw,-0.38260436,1.38013,10.077643,1417416347
,ServiceLog,bishop,1417416435850,Raw,-0.459245,1.3034893,9.311237,1417416347
,ServiceLog,bishop,1417416437268,Raw,-0.34428406,1.0735675,9.962683,1417416347
,ServiceLog,bishop,1417416438972,Raw,-0.9574091,1.3034893,9.65612,1417416347
,ServiceLog,bishop,1417416439986,Raw,-0.30596375,1.1885284,9.541159,1417416347
,ServiceLog,bishop,1417416441006,Raw,-0.8041278,1.1118878,9.962683,1417416347
,ServiceLog,bishop,1417416442039,Raw,-0.8041278,1.3418097,10.1542845,1417416347
,ServiceLog,bishop,1417416443057,Raw,-0.38260436,1.1118878,10.001003,1417416347
,ServiceLog,bishop,1417416444078,Raw,-0.65084654,1.0735675,9.8094015,1417416347
,ServiceLog,bishop,1417416445091,Raw,-0.34428406,1.3034893,9.69444,1417416347
,ServiceLog,bishop,1417416446187,Raw,0.4604425,1.5717316,9.73276,1417416347
,ServiceLog,bishop,1417416447217,Raw,0.19220032,1.9549347,9.311237,1417416347
,ServiceLog,bishop,1417416448251,Raw,0.38380188,1.3034893,9.387877,1417416347
,ServiceLog,bishop,1417416449276,Raw,0.26884094,1.38013,9.924362,1417416347
,ServiceLog,bishop,1417416450291,Raw,0.23052064,1.5717316,9.73276,1417416347
,ServiceLog,bishop,1417416451307,Raw,0.23052064,1.5334113,9.541159,1417416347
,ServiceLog,bishop,1417416452337,Raw,0.53708315,1.3418097,9.311237,1417416347
,ServiceLog,bishop,1417416453634,Raw,0.30716124,1.2268487,9.73276,1417416347
,ServiceLog,bishop,1417416454707,Raw,-0.03772156,1.6483722,9.157956,1417416347
,ServiceLog,bishop,1417416455729,Raw,0.07723938,1.4567707,9.502839,1417416347
