,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
73,,22667,,,7803,,,,2G,,2,,,-51.0,,,0.93146,1.0,,7803-22667,1.0,byCorr,,0.8,1445582536,1.05029535865,,010-011,11,10,,,,
70,,22632,,,7803,,,,2G,,2,,,-85.0,,,0.93905,1.0,,7803-22632,1.0,byCorr,,0.74,1445582536,0.922899884925,,010-011,11,10,,,,
76,,22667,,,7803,,,,2G,,3,,,-77.0,,,0.89763,1.0,,7803-22667,1.0,byCorr,,0.64,1445575995,0.883378535451,,011-010,10,11,,,,
9017,250-2-7803-22632,22667,23.10.2015 9:50:27,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-79.6669990928,1.44558302795e+12,natalie,0.96262,1.0,11479.0,7803-22667,1.0,byCorr,25002.0,,1445582954,0.885057471264,-79.6669990928,011-010,10,11,103961951.0,011-010-201510230949-natalie-move.csv,30.3319468795,59.9212258392
103,,22632,,,7803,,,,2G,,3,,,-55.0,,,0.90881,1.0,,7803-22632,1.0,byCorr,,-0.5,1445575995,1.18317659352,,011-010,10,11,,,,
73,,22632,,,7803,,,,2G,,3,,,-58.0,,,0.90707,1.0,,7803-22632,1.0,byCorr,,0.76,1445582954,0.977011494253,,011-010,10,11,,,,
50,,22632,,,7803,,,,2G,,2,,,-107.0,,,0.75804,1.0,,7803-22632,1.0,byCorr,,0.18,1445578674,-0.180569430569,,011-012,12,11,,,,
9343,1,22667,23.10.2015 8:39:24,,7803,250.0,2.0,ServiceLog,2G,GPRS,2,1.0,-1.0,-81.0,1.44557876486e+12,natalie,0.88108,1.0,12007.0,7803-22667,1.0,byCorr,25002.0,,1445578674,0.868131868132,-81.0,011-012,12,11,103961951.0,011-012-201510230837-natalie-move.csv,30.3601622127,59.9304079902
10008,250-2-7803-22668,14121,23.10.2015 9:39:33,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-108.997952574,1.44558237300e+12,natalie,0.95382,1.0,13193.0,7803-14121,1.0,byCorr,25002.0,,1445582309,0.807692307692,-109.0,012-011,11,12,103961951.0,012-011-201510230938-natalie-move.csv,30.3509681347,59.9281808298
73,,22668,,,7803,,,,2G,,3,,,-93.0,,,0.96325,1.0,,7803-22668,1.0,byCorr,,-0.72,1445582309,0.947744238883,,012-011,11,12,,,,
10174,1,22668,23.10.2015 9:48:46,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-87.0,1.44558292669e+12,natalie,0.71439,1.0,13367.0,7803-22668,1.0,byCorr,25002.0,,1445582856,0.961538461538,-107.849848839,012-011,11,12,103961951.0,012-011-201510230947-natalie-move.csv,30.3485841601,59.9278164392
105,,22404,,,7803,,,,2G,,2,,,-106.0,,,0.99128,1.0,,7803-22404,1.0,byCorr,,0.65,1445519915,0.610224750277,,025-026,26,25,,,,
65,,22406,,,7803,,,,2G,,2,,,-64.0,,,0.98833,1.0,,7803-22406,1.0,byCorr,,0.86,1445519915,0.806781045752,,025-026,26,25,,,,
102,,22406,,,7803,,,,2G,,2,,,-108.0,,,0.92858,1.0,,7803-22406,1.0,byCorr,,0.58,1445518551,0.625,,026-025,25,26,,,,
38,,22404,,,7803,,,,2G,,2,,,-80.0,,,0.96757,1.0,,7803-22404,1.0,byCorr,,0.68,1445518551,0.612827034884,,026-025,25,26,,,,
89,,22406,,,7803,,,,2G,,2,,,-100.0,,,0.9847,1.0,,7803-22406,1.0,byCorr,,0.85,1445520084,0.725814751286,,026-027,27,26,,,,
68,,22408,,,7803,,,,2G,,2,,,-72.0,,,0.96677,1.0,,7803-22408,1.0,byCorr,,-1.05,1445520084,0.917676767677,,026-027,27,26,,,,
65,,22408,,,7803,,,,2G,,2,,,-105.0,,,0.96374,1.0,,7803-22408,1.0,byCorr,,0.26,1445518393,0.775630252101,,027-026,26,27,,,,
41,,22406,,,7803,,,,2G,,2,,,-63.0,,,0.95205,1.0,,7803-22406,1.0,byCorr,,0.71,1445518393,0.927104959631,,027-026,26,27,,,,
