,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,NumRaces,NumUsers,PSC,Power,TimeStamp,User,coeffs,controls,index,laccid,maxCorrMinDelta,method,netOperators,quality,race_id,ratio,rawPower,segment,segment_end_id,segment_start_id,session_id,source_file,x,y
5250,1,22632,23.10.2015 8:36:46,,7803,250.0,2.0,ServiceLog,2G,GPRS,2,1.0,-1.0,-73.0,1.44557860623e+12,natalie,0.87919,1.0,9548.0,7803-22632,1.0,byCorr,25002.0,,1445578555,0.569620253165,-73.0,010-011,11,10,587761451.0,010-011-201510230835-natalie-move.csv,30.3403712887,59.924440812
33,,22667,,,7803,,,,2G,,2,,,-52.0,,,0.95969,1.0,,7803-22667,1.0,byCorr,,0.72,1445582536,1.04990958409,,010-011,11,10,,,,
5855,1,22667,23.10.2015 9:41:11,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-65.0,1.44558247118e+12,natalie,0.64823,1.0,10706.0,7803-22667,1.0,byCorr,25002.0,,1445582412,0.67816091954,-72.0493468916,011-010,10,11,587761451.0,011-010-201510230940-natalie-move.csv,30.3358885008,59.9226959534
5943,1,22667,23.10.2015 9:50:11,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-71.0324589787,1.44558301146e+12,natalie,0.90353,1.0,10881.0,7803-22667,1.0,byCorr,25002.0,,1445582954,0.666666666667,-71.0324589787,011-010,10,11,587761451.0,011-010-201510230949-natalie-move.csv,30.3359146937,59.9227073477
5943,1,22667,23.10.2015 9:50:11,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-71.0324589787,1.44558301146e+12,natalie,0.90353,1.0,10881.0,7803-22667,1.0,byCorr,25002.0,,1445582954,0.67816091954,-74.2828151794,011-010,10,11,587761451.0,011-010-201510230949-natalie-move.csv,30.3359146937,59.9227073477
30,,22632,,,7803,,,,2G,,3,,,-60.0,,,0.94289,1.0,,7803-22632,1.0,byCorr,,-1.08,1445575995,0.977011494253,,011-010,10,11,,,,
6246,1,22667,23.10.2015 8:39:24,,7803,250.0,2.0,ServiceLog,2G,GPRS,2,1.0,-1.0,-81.0,1.44557876486e+12,natalie,0.88138,1.0,11439.0,7803-22667,1.0,byCorr,25002.0,,1445578674,0.866666666667,-81.0,011-012,12,11,587761451.0,011-012-201510230837-natalie-move.csv,30.3601622127,59.9304079902
6640,1,22668,23.10.2015 7:52:23,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-75.0,1.44557594313e+12,natalie,0.57993,1.0,12374.0,7803-22668,1.0,byCorr,25002.0,,1445575879,0.858974358974,-75.0,012-011,11,12,587761451.0,012-011-201510230751-natalie-move.csv,30.3499720939,59.9281047433
6640,1,22668,23.10.2015 7:52:23,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-75.0,1.44557594313e+12,natalie,0.57993,1.0,12374.0,7803-22668,1.0,byCorr,25002.0,,1445575879,0.871794871795,-75.0,012-011,11,12,587761451.0,012-011-201510230751-natalie-move.csv,30.3499720939,59.9281047433
6805,1,22668,23.10.2015 9:39:37,,7803,250.0,2.0,ServiceLog,2G,GPRS,3,1.0,-1.0,-89.0,1.44558237708e+12,natalie,0.64116,1.0,12613.0,7803-22668,1.0,byCorr,25002.0,,1445582309,0.858974358974,-89.0,012-011,11,12,587761451.0,012-011-201510230938-natalie-move.csv,30.3499684973,59.9281044686
