,index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
1115,1866,1,22617,23.10.2015 8:09:56,,7803,250,2,ServiceLog,2G,GPRS,-1,-89.0,1445576996502,natalie,1445576920,0.51724137931,4,5,587761451.0,005-004-201510230808-natalie-move.csv,30.2652164326,59.8585710689,7803-22617,005-004,25002,-89.0,1,2,0.97354,1.0,byCorr,1.0
1115,1866,1,22617,23.10.2015 8:09:56,,7803,250,2,ServiceLog,2G,GPRS,-1,-89.0,1445576996502,natalie,1445576920,0.524137931034,4,5,587761451.0,005-004-201510230808-natalie-move.csv,30.2652164326,59.8585710689,7803-22617,005-004,25002,-89.0,1,2,0.97354,1.0,byCorr,1.0
877,1466,1,22621,01.01.2013 21:41:43,,7803,250,2,ServiceLog,2G,GPRS,-1,-73.0,1357065703585,gsmart,1445576920,0.910344827586,4,5,587761451.0,005-004-201301012139-gsmart-move.csv,30.2681145699,59.8520705571,7803-22621,005-004,25002,-73.0,1,2,0.57452,1.0,byCorr,1.0
1916,3380,1,22617,23.10.2015 8:08:00,,7803,250,2,ServiceLog,2G,GPRS,-1,-67.0,1445576880025,natalie,1445576763,0.953846153846,5,6,587761451.0,006-005-201510230806-natalie-move.csv,30.2613781812,59.8678773878,7803-22617,006-005,25002,-67.0,1,2,0.86207,1.0,byCorr,1.0
2866,4747,1,22622,23.10.2015 8:04:10,,7803,250,2,ServiceLog,2G,GPRS,-1,-105.0,1445576650012,natalie,1445576561,0.545454545455,6,7,587761451.0,007-006-201510230802-natalie-move.csv,30.2675484442,59.8894278758,7803-22622,007-006,25002,-105.0,1,2,0.97269,1.0,byCorr,1.0
2600,4332,1,22620,01.01.2013 21:36:08,,7803,250,2,ServiceLog,2G,GPRS,-1,-61.0,1357065368446,gsmart,1445576561,0.957575757576,6,7,587761451.0,007-006-201301012133-gsmart-move.csv,30.2621485653,59.8806879528,7803-22620,007-006,25002,-61.0,1,2,0.97965,1.0,byCorr,1.0
3379,5628,1,22618,23.10.2015 8:30:30,,7803,250,2,ServiceLog,2G,GPRS,-1,-51.0,1445578230480,natalie,1445578089,0.934210526316,8,7,587761451.0,007-008-201510230828-natalie-move.csv,30.2992816581,59.9069816487,7803-22618,007-008,25002,-51.0,1,2,0.96789,1.0,byCorr,1.0
3470,5834,1,22618,01.01.2013 21:31:53,,7803,250,2,ServiceLog,2G,GPRS,-1,-89.0,1357065113845,gsmart,1445576377,0.548611111111,7,8,587761451.0,008-007-201301012130-gsmart-move.csv,30.2864212362,59.904043969,7803-22618,008-007,25002,-89.0,1,2,0.92247,1.0,byCorr,1.0
3798,6419,1,22622,23.10.2015 8:01:43,,7803,250,2,ServiceLog,2G,GPRS,-1,-51.0,1445576503892,natalie,1445576377,0.923611111111,7,8,587761451.0,008-007-201510230759-natalie-move.csv,30.2768586973,59.9015585074,7803-22622,008-007,25002,-51.0,1,2,0.9418,1.0,byCorr,1.0
4659,8178,1,22632,23 Окт 2015 г. 8:35:16,,7803,250,2,ServiceLog,2G,GPRS,-1,-71.0,1445578516229, julia,1445578431,0.894736842105,10,9,587761451.0,009-010-201510230833- julia-move.csv,30.3287802954,59.9198700058,7803-22632,009-010,25002,-71.0,1,2,0.94988,1.0,byCorr,1.0
4916,8821,1,22632,23 Окт 2015 г. 7:56:05,,7803,250,2,ServiceLog,2G,GPRS,-1,-85.0,1445576165558, julia,1445576111,0.505050505051,9,10,587761451.0,010-009-201510230755- julia-move.csv,30.3236920066,59.9183042381,7803-22632,010-009,25002,-85.0,1,3,0.90887,1.0,byCorr,1.0
4916,8821,1,22632,23 Окт 2015 г. 7:56:05,,7803,250,2,ServiceLog,2G,GPRS,-1,-85.0,1445576165558, julia,1445576111,0.515151515152,9,10,587761451.0,010-009-201510230755- julia-move.csv,30.3236920066,59.9183042381,7803-22632,010-009,25002,-85.0,1,3,0.90887,1.0,byCorr,1.0
5014,9021,1,22632,23.10.2015 7:56:02,,7803,250,2,ServiceLog,2G,GPRS,-1,-65.0,1445576162539,natalie,1445576111,0.515151515152,9,10,587761451.0,010-009-201510230755-natalie-move.csv,30.3235699467,59.9182594892,7803-22632,010-009,25002,-65.0,1,3,0.91318,1.0,byCorr,1.0
