,index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-75.7330285717,1357065828459,gsmart,1445577095,0.215277777778,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-75.7330285717,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-76.1821381558,1357065828459,gsmart,1445577095,0.222222222222,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-76.1821381558,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-76.63124774,1357065828459,gsmart,1445577095,0.229166666667,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-76.63124774,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-77.0803573242,1357065828459,gsmart,1445577095,0.236111111111,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-77.0803573242,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-77.5294669083,1357065828459,gsmart,1445577095,0.243055555556,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-77.5294669083,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-77.9785764925,1357065828459,gsmart,1445577095,0.25,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-77.9785764925,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-78.4276860766,1357065828459,gsmart,1445577095,0.256944444444,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-78.4276860766,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-78.8767956608,1357065828459,gsmart,1445577095,0.263888888889,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-78.8767956608,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-79.3259052449,1357065828459,gsmart,1445577095,0.270833333333,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-79.3259052449,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-79.7750148291,1357065828459,gsmart,1445577095,0.277777777778,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-79.7750148291,1,3,0.98349,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-80.2241244132,1357065828459,gsmart,1445577095,0.284722222222,3,4,103961951.0,004-003-201301012142-gsmart-move.csv,30.2647934897,59.8438711336,7803-22621,004-003,25002,-80.2241244132,1,3,0.98349,1.0,byCorr,1.0
