,index,Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,session_id,source_file,x,y,laccid,segment,netOperators,rawPower,NumRaces,NumUsers,coeffs,controls,method,maxCorrMinDelta
122,300,1,22621,23 Окт 2015 г. 8:18:35,,7803,250,2,ServiceLog,2G,EDGE,-1,-63.0,1445577515950, julia,1445577416,0.917431192661,4,3,587761451.0,003-004-201510230816- julia-move.csv,30.2684547077,59.8494899347,7803-22621,003-004,25002,-63.0,1,3,0.94201,1.0,byCorr,1.0
310,488,1,22621,23.10.2015 8:18:39,,7803,250,2,ServiceLog,2G,GPRS,-1,-57.0,1445577519923,natalie,1445577416,0.97247706422,4,3,587761451.0,003-004-201510230816-natalie-move.csv,30.2684486288,59.8502531856,7803-22621,003-004,25002,-57.0,1,3,0.96153,1.0,byCorr,1.0
271,449,250-2-7803-22621,22619,23.10.2015 8:18:20,,7803,250,2,ServiceLog,2G,GPRS,-1,-105.0,1445577500487,natalie,1445577416,0.779816513761,4,3,587761451.0,003-004-201510230816-natalie-move.csv,30.2684156435,59.847570234,7803-22619,003-004,25002,-105.0,1,2,0.83752,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.3642894305,1357065828459,gsmart,1445577095,0.118055555556,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-69.3642894305,1,3,0.98354,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-69.8135530932,1357065828459,gsmart,1445577095,0.125,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-69.8135530932,1,3,0.98354,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-70.262816756,1357065828459,gsmart,1445577095,0.131944444444,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-70.262816756,1,3,0.98354,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-70.7120804188,1357065828459,gsmart,1445577095,0.138888888889,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-70.7120804188,1,3,0.98354,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-71.1613440815,1357065828459,gsmart,1445577095,0.145833333333,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-71.1613440815,1,3,0.98354,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-71.6106077443,1357065828459,gsmart,1445577095,0.152777777778,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-71.6106077443,1,3,0.98354,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-72.059871407,1357065828459,gsmart,1445577095,0.159722222222,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-72.059871407,1,3,0.98354,1.0,byCorr,1.0
388,646,250-2-7803-22621,22621,01.01.2013 21:43:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-72.5091350698,1357065828459,gsmart,1445577095,0.166666666667,3,4,587761451.0,004-003-201301012142-gsmart-move.csv,30.2647711996,59.843859537,7803-22621,004-003,25002,-72.5091350698,1,3,0.98354,1.0,byCorr,1.0
