ID,Name,User,TimeStamp,DateTime,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,Audio,session_id,race_id
,ServiceLog,natalie,1445541154243,22.10.2015 22:12:34,Raw,-1.369,5.554,7.565,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,65,119655405,1445540969
,ServiceLog,natalie,1445541155262,22.10.2015 22:12:35,Raw,-1.312,5.305,7.805,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,64,119655405,1445540969
,ServiceLog,natalie,1445541156283,22.10.2015 22:12:36,Raw,-1.216,5.449,7.853,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,71,119655405,1445540969
,ServiceLog,natalie,1445541157303,22.10.2015 22:12:37,Raw,-1.407,5.42,7.671,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,67,119655405,1445540969
,ServiceLog,natalie,1445541158328,22.10.2015 22:12:38,Raw,-1.369,5.391,7.862,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,67,119655405,1445540969
,ServiceLog,natalie,1445541159347,22.10.2015 22:12:39,Raw,-1.331,5.411,7.834,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,64,119655405,1445540969
,ServiceLog,natalie,1445541160366,22.10.2015 22:12:40,Raw,-1.426,5.401,7.69,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,72,119655405,1445540969
,ServiceLog,natalie,1445541161400,22.10.2015 22:12:41,Raw,-1.158,5.324,8.025,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,65,119655405,1445540969
,ServiceLog,natalie,1445541162423,22.10.2015 22:12:42,Raw,-1.436,5.401,7.834,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,65,119655405,1445540969
,ServiceLog,natalie,1445541163451,22.10.2015 22:12:43,Raw,-1.254,5.334,7.805,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,67,119655405,1445540969
,ServiceLog,natalie,1445541164473,22.10.2015 22:12:44,Raw,-1.35,5.305,7.901,334.6875,-37.34375,3.640625,39.42,-36.06,-135.42,,,,,,,,,,74,119655405,1445540969
