ID,Name,User,TimeStamp,DateTime,Type,Accel_X,Accel_Y,Accel_Z,Azimuth,Pitch,Roll,Magnetic_X,Magnetic_Y,Magnetic_Z,Gyro_X,Gyro_Y,Gyro_Z,GPS_Lat,GPS_Lon,GPS_Alt,GPS_Accuracy,GPS_Speed,GPS_Bearing,Audio,session_id,race_id
242,Звёздная 2,natalie,1445519625687,22.10.2015 16:13:45,Raw,-0.622,5.19,6.818,4.671875,-32.90625,3.46875,-6.48,40.8,2.28,,,,,,,,,,77,552491703,1445519501
,ServiceLog,natalie,1445519626275,22.10.2015 16:13:46,Raw,-0.268,5.516,8.073,5.796875,-32.3125,3.640625,-4.56,36.6,4.38,,,,,,,,,,84,552491703,1445519501
,ServiceLog,natalie,1445519627298,22.10.2015 16:13:47,Raw,-0.498,5.219,8.121,0.171875,-32.09375,1.59375,1.08,39.18,9.12,,,,,,,,,,72,552491703,1445519501
,ServiceLog,natalie,1445519628316,22.10.2015 16:13:48,Raw,-1.494,5.363,8.044,356.14063,-34.296875,8.671875,8.34,62.88,-6.18,,,,,,,,,,79,552491703,1445519501
,ServiceLog,natalie,1445519629337,22.10.2015 16:13:49,Raw,-0.967,5.229,8.351,354.45313,-33.359375,6.03125,4.68,45.36,-8.52,,,,,,,,,,77,552491703,1445519501
,ServiceLog,natalie,1445519630355,22.10.2015 16:13:50,Raw,-1.063,5.085,7.901,354.01563,-32.625,6.25,5.1,49.14,-9.48,,,,,,,,,,78,552491703,1445519501
,ServiceLog,natalie,1445519631378,22.10.2015 16:13:51,Raw,-1.168,5.018,8.044,353.875,-31.5625,5.1875,4.68,49.8,-10.08,,,,,,,,,,80,552491703,1445519501
,ServiceLog,natalie,1445519632401,22.10.2015 16:13:52,Raw,-0.976,5.114,8.265,353.95313,-31.46875,5.09375,3.84,45.42,-8.22,,,,,,,,,,89,552491703,1445519501
,ServiceLog,natalie,1445519633421,22.10.2015 16:13:53,Raw,-1.072,5.114,7.92,354.4375,-32.28125,5.375,1.98,36.42,-5.76,,,,,,,,,,83,552491703,1445519501
,ServiceLog,natalie,1445519634442,22.10.2015 16:13:54,Raw,-1.015,5.056,8.207,355.26563,-31.125,6.703125,0.72,30.3,-3.6,,,,,,,,,,68,552491703,1445519501
