,Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,ratio,segment_end_id,segment_start_id,x,y
0,1,41851,662,660,250,1,Крылатское 2,2G,EDGE,-1,-67,1422944682142,md,872044135,0,066$,$065,37.41681,55.740689999999994
1,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-67,1422944682219,md,872044135,0,066$,$065,37.41681,55.740689999999994
2,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-69,1422944683240,md,872044135,0,066$,$065,37.41681,55.740689999999994
3,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-69,1422944684275,md,872044135,0,066$,$065,37.41681,55.740689999999994
4,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-71,1422944685360,md,872044135,0,066$,$065,37.41681,55.740689999999994
5,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-71,1422944686471,md,872044135,0,066$,$065,37.41681,55.740689999999994
6,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-71,1422944687494,md,872044135,0,066$,$065,37.41681,55.740689999999994
7,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-75,1422944688533,md,872044135,0,066$,$065,37.41681,55.740689999999994
8,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-75,1422944689572,md,872044135,0,066$,$065,37.41681,55.740689999999994
9,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-75,1422944690609,md,872044135,0,066$,$065,37.41681,55.740689999999994
10,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-77,1422944691644,md,872044135,0,066$,$065,37.41681,55.740689999999994
11,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-77,1422944692686,md,872044135,0,066$,$065,37.41681,55.740689999999994
12,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-77,1422944693701,md,872044135,0,066$,$065,37.41681,55.740689999999994
13,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-79,1422944694718,md,872044135,0,066$,$065,37.41681,55.740689999999994
14,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-79,1422944695762,md,872044135,0,066$,$065,37.41681,55.740689999999994
15,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-79,1422944696797,md,872044135,0,066$,$065,37.41681,55.740689999999994
16,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-79,1422944697837,md,872044135,0,066$,$065,37.41681,55.740689999999994
17,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-79,1422944698871,md,872044135,0,066$,$065,37.41681,55.740689999999994
18,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-79,1422944699887,md,872044135,0,066$,$065,37.41681,55.740689999999994
19,1,41851,,660,250,1,ServiceLog,2G,EDGE,-1,-73,1422944700924,md,872044135,0,066$,$065,37.41681,55.740689999999994
20,1,41851,663,660,250,1,Крылатское 3,2G,EDGE,-1,-73,1422944701617,md,872044135,0,066$,$065,37.41681,55.740689999999994
