ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,natalie,1445579604467,23.10.2015 8:53:24,2G,GPRS,1,250,2,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579604467,23.10.2015 8:53:24,2G,GPRS,250-2-7803-2845,-1,-1,7803,22557,-1,-63,103961951,1445579429
,ServiceLog,natalie,1445579604467,23.10.2015 8:53:24,2G,GPRS,250-2-7803-2845,-1,-1,7803,22556,-1,-99,103961951,1445579429
,ServiceLog,natalie,1445579605491,23.10.2015 8:53:25,2G,GPRS,1,250,2,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579605491,23.10.2015 8:53:25,2G,GPRS,250-2-7803-2845,-1,-1,7803,22557,-1,-63,103961951,1445579429
,ServiceLog,natalie,1445579605491,23.10.2015 8:53:25,2G,GPRS,250-2-7803-2845,-1,-1,7803,22556,-1,-99,103961951,1445579429
,ServiceLog,natalie,1445579606516,23.10.2015 8:53:26,2G,GPRS,1,250,2,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579606516,23.10.2015 8:53:26,2G,GPRS,250-2-7803-2845,-1,-1,7803,22557,-1,-65,103961951,1445579429
,ServiceLog,natalie,1445579606516,23.10.2015 8:53:26,2G,GPRS,250-2-7803-2845,-1,-1,7803,22556,-1,-99,103961951,1445579429
,ServiceLog,natalie,1445579607537,23.10.2015 8:53:27,2G,GPRS,1,250,2,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579607537,23.10.2015 8:53:27,2G,GPRS,250-2-7803-2845,-1,-1,7803,22557,-1,-65,103961951,1445579429
,ServiceLog,natalie,1445579607537,23.10.2015 8:53:27,2G,GPRS,250-2-7803-2845,-1,-1,7803,22556,-1,-99,103961951,1445579429
,ServiceLog,natalie,1445579608565,23.10.2015 8:53:28,2G,GPRS,1,250,2,7803,2845,-1,-51,103961951,1445579429
,ServiceLog,natalie,1445579608565,23.10.2015 8:53:28,2G,GPRS,250-2-7803-2845,-1,-1,7803,22557,-1,-65,103961951,1445579429
,ServiceLog,natalie,1445579608565,23.10.2015 8:53:28,2G,GPRS,250-2-7803-2845,-1,-1,7803,22556,-1,-99,103961951,1445579429
173,Площадь Мужества 3,natalie,1445579608859,23.10.2015 8:53:28,2G,GPRS,1,250,2,7803,2845,-1,-51,103961951,1445579429
