ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,natalie,1445536469683,22.10.2015 20:54:29,2G,GPRS,1,250,2,7803,22239,-1,-71,119655405,1445536451
,ServiceLog,natalie,1445536469683,22.10.2015 20:54:29,2G,GPRS,250-2-7803-22239,-1,-1,7803,22239,-1,-71,119655405,1445536451
,ServiceLog,natalie,1445536470702,22.10.2015 20:54:30,2G,GPRS,1,250,2,7803,22239,-1,-71,119655405,1445536451
,ServiceLog,natalie,1445536470702,22.10.2015 20:54:30,2G,GPRS,250-2-7803-22239,-1,-1,7803,22239,-1,-71,119655405,1445536451
,ServiceLog,natalie,1445536471723,22.10.2015 20:54:31,2G,GPRS,1,250,2,7803,22239,-1,-71,119655405,1445536451
,ServiceLog,natalie,1445536471723,22.10.2015 20:54:31,2G,GPRS,250-2-7803-22239,-1,-1,7803,22239,-1,-71,119655405,1445536451
,ServiceLog,natalie,1445536472745,22.10.2015 20:54:32,2G,GPRS,1,250,2,7803,22239,-1,-63,119655405,1445536451
,ServiceLog,natalie,1445536473759,22.10.2015 20:54:33,2G,GPRS,1,250,2,7803,22239,-1,-63,119655405,1445536451
,ServiceLog,natalie,1445536474779,22.10.2015 20:54:34,2G,GPRS,1,250,2,7803,22239,-1,-63,119655405,1445536451
,ServiceLog,natalie,1445536475800,22.10.2015 20:54:35,2G,GPRS,1,250,2,7803,22239,-1,-63,119655405,1445536451
,ServiceLog,natalie,1445536476819,22.10.2015 20:54:36,2G,GPRS,1,250,2,7803,22239,-1,-63,119655405,1445536451
,ServiceLog,natalie,1445536476819,22.10.2015 20:54:36,2G,GPRS,250-2-7803-22239,-1,-1,7803,14120,-1,-107,119655405,1445536451
,ServiceLog,natalie,1445536477836,22.10.2015 20:54:37,2G,GPRS,1,250,2,7803,22239,-1,-63,119655405,1445536451
