Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,22621,01.01.2013 21:42:32,43,7803,250,2,Ленинский проспект 3,2G,GPRS,-1,-73,1357065753264,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:32,43,7803,-1,-1,Ленинский проспект 3,2G,GPRS,-1,-71,1357065753264,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:33,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065753645,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:33,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065753645,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:34,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065754676,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:34,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065754676,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:35,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065755709,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:35,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065755709,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:36,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065756745,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:36,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065756745,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:37,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065757797,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:37,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065757797,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:38,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065758831,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:38,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065758831,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:39,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065759867,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:39,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065759867,gsmart,1445577095,103961951
1,22621,01.01.2013 21:42:40,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357065760903,gsmart,1445577095,103961951
250-2-7803-22621,22621,01.01.2013 21:42:40,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-71,1357065760903,gsmart,1445577095,103961951
