Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,2845,23 Окт 2015 г. 9:24:59,173,7803,250,2,Площадь Мужества 3,2G,EDGE,-1,-71,1445581499629, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:00,,7803,250,2,ServiceLog,2G,EDGE,-1,-71,1445581500137, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:01,,7803,250,2,ServiceLog,2G,EDGE,-1,-71,1445581501201, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:02,,7803,250,2,ServiceLog,2G,EDGE,-1,-71,1445581502265, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:03,,7803,250,2,ServiceLog,2G,EDGE,-1,-71,1445581503330, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:04,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445581504402, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:05,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445581505470, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:06,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445581506538, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:07,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445581507603, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:08,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445581508663, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:09,,7803,250,2,ServiceLog,2G,EDGE,-1,-73,1445581509733, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:10,,7803,250,2,ServiceLog,2G,EDGE,-1,-71,1445581510802, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:11,,7803,250,2,ServiceLog,2G,EDGE,-1,-71,1445581511863, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:12,,7803,250,2,ServiceLog,2G,EDGE,-1,-69,1445581512932, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:13,,7803,250,2,ServiceLog,2G,EDGE,-1,-69,1445581513999, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:15,,7803,250,2,ServiceLog,2G,EDGE,-1,-69,1445581515067, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:16,,7803,250,2,ServiceLog,2G,EDGE,-1,-69,1445581516135, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:16,174,7803,250,2,Площадь Мужества 4,2G,EDGE,-1,-69,1445581516939, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:17,,7803,250,2,ServiceLog,2G,EDGE,-1,-69,1445581517206, julia,1445581496,103961951
1,2845,23 Окт 2015 г. 9:25:18,,7803,250,2,ServiceLog,2G,EDGE,-1,-71,1445581518273, julia,1445581496,103961951
