Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
-1--1-7803-22668,22668,01.01.2013 23:09:26,123,7803,-1,-1,Площадь Восстания 3,2G,GPRS,-1,-85,1357070967130,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:26,123,7803,-1,-1,Площадь Восстания 3,2G,GPRS,-1,-109,1357070967130,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:26,123,-1,-1,-1,Площадь Восстания 3,unknown,unknown,-1,0,1357070967130,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:27,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-85,1357070967722,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:27,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357070967722,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:27,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070967722,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:28,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-85,1357070968768,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:28,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357070968768,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:28,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070968768,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:29,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-85,1357070969814,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:29,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357070969814,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:29,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070969814,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:30,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357070970860,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:30,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357070970860,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:30,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070970860,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:31,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357070971903,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:31,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357070971903,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:31,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070971903,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:32,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357070972942,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:32,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357070972942,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:32,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070972942,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:33,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357070973979,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:33,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357070973979,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:33,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070973979,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:35,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-83,1357070975022,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:35,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-107,1357070975022,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:35,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070975022,gsmart,1445582309,103961951
-1--1-7803-22668,22668,01.01.2013 23:09:36,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-79,1357070976063,gsmart,1445582309,103961951
-1--1-7803-22668,22625,01.01.2013 23:09:36,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-105,1357070976063,gsmart,1445582309,103961951
-1--1-7803-22668,22667,01.01.2013 23:09:36,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357070976063,gsmart,1445582309,103961951
1,-1,01.01.2013 23:09:36,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1357070976063,gsmart,1445582309,103961951
