Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,14217,01.01.2013 3:29:47,884,7803,250,2,Садовая 4,2G,GPRS,-1,-59,1357000187951,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:47,884,7803,-1,-1,Садовая 4,2G,GPRS,-1,-75,1357000187951,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:48,,7803,250,2,ServiceLog,2G,GPRS,-1,-59,1357000188581,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:48,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-75,1357000188581,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:49,,7803,250,2,ServiceLog,2G,GPRS,-1,-59,1357000189611,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:49,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-75,1357000189611,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:50,,7803,250,2,ServiceLog,2G,GPRS,-1,-51,1357000190672,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:50,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-75,1357000190672,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:51,,7803,250,2,ServiceLog,2G,GPRS,-1,-51,1357000191724,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:51,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-75,1357000191724,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:52,,7803,250,2,ServiceLog,2G,GPRS,-1,-51,1357000192773,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:52,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-75,1357000192773,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:53,,7803,250,2,ServiceLog,2G,GPRS,-1,-51,1357000193810,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:53,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-75,1357000193810,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:54,,7803,250,2,ServiceLog,2G,GPRS,-1,-51,1357000194841,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:54,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000194841,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:55,,7803,250,2,ServiceLog,2G,GPRS,-1,-51,1357000195874,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:55,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000195874,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:56,,7803,250,2,ServiceLog,2G,GPRS,-1,-51,1357000196912,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:56,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000196912,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:57,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000197976,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:57,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000197976,gsmart,1445511516,691790069
1,14217,01.01.2013 3:29:59,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000199048,gsmart,1445511516,691790069
250-2-7803-14217,22542,01.01.2013 3:29:59,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000199048,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:00,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000200086,gsmart,1445511516,691790069
250-2-7803-22542,22542,01.01.2013 3:30:00,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000200086,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:01,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000201124,gsmart,1445511516,691790069
250-2-7803-22542,22542,01.01.2013 3:30:01,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000201124,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:02,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000202186,gsmart,1445511516,691790069
250-2-7803-22542,22542,01.01.2013 3:30:02,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000202186,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:03,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000203226,gsmart,1445511516,691790069
250-2-7803-22542,22542,01.01.2013 3:30:03,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-69,1357000203226,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:04,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000204270,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:05,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000205299,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:06,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000206348,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:07,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000207379,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:08,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000208408,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:09,,7803,250,2,ServiceLog,2G,GPRS,-1,-69,1357000209431,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:09,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000209431,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:09,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000209431,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:10,,7803,250,2,ServiceLog,2G,GPRS,-1,-69,1357000210499,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:10,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000210499,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:10,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000210499,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:11,,7803,250,2,ServiceLog,2G,GPRS,-1,-69,1357000211550,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:11,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000211550,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:11,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357000211550,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:12,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357000212592,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:12,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000212592,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:12,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357000212592,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:13,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357000213636,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:13,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000213636,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:13,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357000213636,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:14,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357000214679,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:14,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000214679,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:14,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357000214679,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:15,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357000215713,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:15,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000215713,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:15,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357000215713,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:16,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357000216786,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:16,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000216786,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:16,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357000216786,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:17,,7803,250,2,ServiceLog,2G,GPRS,-1,-73,1357000217848,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:17,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000217848,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:17,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357000217848,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:18,,7803,250,2,ServiceLog,2G,GPRS,-1,-77,1357000218882,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:18,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-93,1357000218882,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:18,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357000218882,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:19,,7803,250,2,ServiceLog,2G,GPRS,-1,-77,1357000219928,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:19,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000219928,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:19,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000219928,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:20,,7803,250,2,ServiceLog,2G,GPRS,-1,-77,1357000220982,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:20,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000220982,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:20,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000220982,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:22,,7803,250,2,ServiceLog,2G,GPRS,-1,-77,1357000222035,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:22,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000222035,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:22,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000222035,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:23,,7803,250,2,ServiceLog,2G,GPRS,-1,-77,1357000223081,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:23,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000223081,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:23,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000223081,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:24,,7803,250,2,ServiceLog,2G,GPRS,-1,-77,1357000224117,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:24,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000224117,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:24,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000224117,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:25,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000225169,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:25,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000225169,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:25,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000225169,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:26,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000226207,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:26,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000226207,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:26,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000226207,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:27,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000227249,gsmart,1445511516,691790069
250-2-7803-22542,14217,01.01.2013 3:30:27,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000227249,gsmart,1445511516,691790069
250-2-7803-22542,22545,01.01.2013 3:30:27,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357000227249,gsmart,1445511516,691790069
1,22542,01.01.2013 3:30:28,,7803,250,2,ServiceLog,2G,GPRS,-1,-85,1357000228286,gsmart,1445511516,691790069
