Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,3861,22 окт. 2015 г. 21:55:09,433,100,250,1,Обухово 3,2G,EDGE,-1,-65,1445540109979,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:09,433,7803,250,2,Обухово 3,2G,EDGE,-1,-97,1445540109979,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:10,,100,250,1,ServiceLog,2G,EDGE,-1,-67,1445540110554,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:10,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540110554,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:11,,100,250,1,ServiceLog,2G,EDGE,-1,-67,1445540111579,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:11,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540111579,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:12,,100,250,1,ServiceLog,2G,EDGE,-1,-69,1445540112589,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:12,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540112589,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:13,,100,250,1,ServiceLog,2G,EDGE,-1,-69,1445540113621,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:13,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540113621,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:14,,100,250,1,ServiceLog,2G,EDGE,-1,-69,1445540114642,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:14,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540114642,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:15,,100,250,1,ServiceLog,2G,EDGE,-1,-69,1445540115665,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:15,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540115665,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:16,,100,250,1,ServiceLog,2G,EDGE,-1,-67,1445540116687,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:16,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540116687,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:17,,100,250,1,ServiceLog,2G,EDGE,-1,-67,1445540117720,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:17,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540117720,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:18,,100,250,1,ServiceLog,2G,EDGE,-1,-63,1445540118737,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:18,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540118737,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:19,,100,250,1,ServiceLog,2G,EDGE,-1,-63,1445540119766,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:19,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540119766,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:20,,100,250,1,ServiceLog,2G,EDGE,-1,-67,1445540120778,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:20,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540120778,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:20,434,100,250,1,Обухово 4,2G,EDGE,-1,-67,1445540120823,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:20,434,7803,250,2,Обухово 4,2G,EDGE,-1,-97,1445540120823,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:21,,100,250,1,ServiceLog,2G,EDGE,-1,-67,1445540121812,lena ,1445540109,119655405
250-1-100-3861,18546,22 окт. 2015 г. 21:55:21,,7803,250,2,ServiceLog,2G,EDGE,-1,-97,1445540121812,lena ,1445540109,119655405
1,3861,22 окт. 2015 г. 21:55:22,,100,250,1,ServiceLog,2G,EDGE,-1,-83,1445540122827,lena ,1445540109,119655405
