Active,CID,DateTime,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,22667,01.01.2013 23:14:54,113,7803,250,2,Владимирская 3,2G,GPRS,-1,-57,1357071294583,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:14:54,113,7803,-1,-1,Владимирская 3,2G,GPRS,-1,-97,1357071294583,gsmart,1445582637,103961951
1,22667,01.01.2013 23:14:55,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071295484,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:14:55,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357071295484,gsmart,1445582637,103961951
1,22667,01.01.2013 23:14:56,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071296523,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:14:56,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357071296523,gsmart,1445582637,103961951
1,22667,01.01.2013 23:14:57,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071297559,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:14:57,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357071297559,gsmart,1445582637,103961951
1,22667,01.01.2013 23:14:58,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071298603,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:14:58,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357071298603,gsmart,1445582637,103961951
1,22667,01.01.2013 23:14:59,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071299696,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:14:59,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-99,1357071299696,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:00,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071300729,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:00,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357071300729,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:01,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071301764,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:01,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357071301764,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:02,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071302799,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:02,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357071302799,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:03,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071303830,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:03,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-95,1357071303830,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:05,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071305184,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:05,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-91,1357071305184,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:06,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071306220,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:06,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-91,1357071306220,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:07,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071307256,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:07,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357071307256,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:07,114,7803,250,2,Владимирская 4,2G,GPRS,-1,-57,1357071307506,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:07,114,7803,-1,-1,Владимирская 4,2G,GPRS,-1,-97,1357071307506,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:08,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071308292,gsmart,1445582637,103961951
250-2-7803-22667,14026,01.01.2013 23:15:08,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-97,1357071308292,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:09,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071309325,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:09,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-109,1357071309325,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:10,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071310362,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:10,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-111,1357071310362,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:11,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071311396,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:11,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-111,1357071311396,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:12,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071312426,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:12,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-111,1357071312426,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:13,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071313462,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:13,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-111,1357071313462,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:14,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071314500,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:14,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-111,1357071314500,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:15,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071315534,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:15,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-111,1357071315534,gsmart,1445582637,103961951
1,22667,01.01.2013 23:15:16,,7803,250,2,ServiceLog,2G,GPRS,-1,-57,1357071316576,gsmart,1445582637,103961951
250-2-7803-22667,22632,01.01.2013 23:15:16,,7803,-1,-1,ServiceLog,2G,GPRS,-1,-111,1357071316576,gsmart,1445582637,103961951
