ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,race_id
672,Площадь Александра Невского (ор) 2, julia,1445602089286,23 Окт 2015 г. 15:08:09,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602089834,23 Окт 2015 г. 15:08:09,2G,EDGE,1,250,2,7803,1443,-1,-57,1445601950
,ServiceLog, julia,1445602090860,23 Окт 2015 г. 15:08:10,2G,EDGE,1,250,2,7803,1443,-1,-57,1445601950
,ServiceLog, julia,1445602091885,23 Окт 2015 г. 15:08:11,2G,EDGE,1,250,2,7803,1443,-1,-57,1445601950
,ServiceLog, julia,1445602092913,23 Окт 2015 г. 15:08:12,2G,EDGE,1,250,2,7803,1443,-1,-57,1445601950
,ServiceLog, julia,1445602093937,23 Окт 2015 г. 15:08:13,2G,EDGE,1,250,2,7803,1443,-1,-57,1445601950
,ServiceLog, julia,1445602094960,23 Окт 2015 г. 15:08:14,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602095985,23 Окт 2015 г. 15:08:15,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602097020,23 Окт 2015 г. 15:08:17,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602098067,23 Окт 2015 г. 15:08:18,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602099096,23 Окт 2015 г. 15:08:19,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602100131,23 Окт 2015 г. 15:08:20,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602101196,23 Окт 2015 г. 15:08:21,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602102273,23 Окт 2015 г. 15:08:22,2G,EDGE,1,250,2,7803,1443,-1,-57,1445601950
,ServiceLog, julia,1445602103342,23 Окт 2015 г. 15:08:23,2G,EDGE,1,250,2,7803,1443,-1,-55,1445601950
,ServiceLog, julia,1445602104410,23 Окт 2015 г. 15:08:24,2G,EDGE,1,250,2,7803,1443,-1,-55,1445601950
,ServiceLog, julia,1445602105476,23 Окт 2015 г. 15:08:25,2G,EDGE,1,250,2,7803,1443,-1,-55,1445601950
,ServiceLog, julia,1445602106543,23 Окт 2015 г. 15:08:26,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602107607,23 Окт 2015 г. 15:08:27,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602108676,23 Окт 2015 г. 15:08:28,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602109741,23 Окт 2015 г. 15:08:29,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602110812,23 Окт 2015 г. 15:08:30,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602111880,23 Окт 2015 г. 15:08:31,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602112941,23 Окт 2015 г. 15:08:32,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602114005,23 Окт 2015 г. 15:08:34,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602115065,23 Окт 2015 г. 15:08:35,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602116130,23 Окт 2015 г. 15:08:36,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602117197,23 Окт 2015 г. 15:08:37,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602118264,23 Окт 2015 г. 15:08:38,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602119333,23 Окт 2015 г. 15:08:39,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602120397,23 Окт 2015 г. 15:08:40,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602121458,23 Окт 2015 г. 15:08:41,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602122522,23 Окт 2015 г. 15:08:42,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602123585,23 Окт 2015 г. 15:08:43,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602124650,23 Окт 2015 г. 15:08:44,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602125718,23 Окт 2015 г. 15:08:45,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602126788,23 Окт 2015 г. 15:08:46,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602127850,23 Окт 2015 г. 15:08:47,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602128911,23 Окт 2015 г. 15:08:48,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602129977,23 Окт 2015 г. 15:08:49,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602131016,23 Окт 2015 г. 15:08:51,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602132050,23 Окт 2015 г. 15:08:52,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602133113,23 Окт 2015 г. 15:08:53,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602134174,23 Окт 2015 г. 15:08:54,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602135234,23 Окт 2015 г. 15:08:55,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602136305,23 Окт 2015 г. 15:08:56,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602137368,23 Окт 2015 г. 15:08:57,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602138429,23 Окт 2015 г. 15:08:58,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602139463,23 Окт 2015 г. 15:08:59,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602140502,23 Окт 2015 г. 15:09:00,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602141564,23 Окт 2015 г. 15:09:01,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602142628,23 Окт 2015 г. 15:09:02,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602143686,23 Окт 2015 г. 15:09:03,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602144754,23 Окт 2015 г. 15:09:04,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602145816,23 Окт 2015 г. 15:09:05,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602146875,23 Окт 2015 г. 15:09:06,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602147934,23 Окт 2015 г. 15:09:07,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602148992,23 Окт 2015 г. 15:09:08,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602150058,23 Окт 2015 г. 15:09:10,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602151121,23 Окт 2015 г. 15:09:11,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602152177,23 Окт 2015 г. 15:09:12,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602153242,23 Окт 2015 г. 15:09:13,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602154306,23 Окт 2015 г. 15:09:14,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602155368,23 Окт 2015 г. 15:09:15,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602156433,23 Окт 2015 г. 15:09:16,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602157500,23 Окт 2015 г. 15:09:17,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602158579,23 Окт 2015 г. 15:09:18,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602159644,23 Окт 2015 г. 15:09:19,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602160708,23 Окт 2015 г. 15:09:20,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602161738,23 Окт 2015 г. 15:09:21,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602162804,23 Окт 2015 г. 15:09:22,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602163873,23 Окт 2015 г. 15:09:23,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602164939,23 Окт 2015 г. 15:09:24,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602166003,23 Окт 2015 г. 15:09:26,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602167070,23 Окт 2015 г. 15:09:27,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602168137,23 Окт 2015 г. 15:09:28,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602169201,23 Окт 2015 г. 15:09:29,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602170261,23 Окт 2015 г. 15:09:30,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602171313,23 Окт 2015 г. 15:09:31,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602172371,23 Окт 2015 г. 15:09:32,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602173425,23 Окт 2015 г. 15:09:33,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602174491,23 Окт 2015 г. 15:09:34,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602175556,23 Окт 2015 г. 15:09:35,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602176623,23 Окт 2015 г. 15:09:36,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602177690,23 Окт 2015 г. 15:09:37,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602178758,23 Окт 2015 г. 15:09:38,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602179825,23 Окт 2015 г. 15:09:39,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602180888,23 Окт 2015 г. 15:09:40,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602181952,23 Окт 2015 г. 15:09:41,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602183019,23 Окт 2015 г. 15:09:43,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602184083,23 Окт 2015 г. 15:09:44,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602185147,23 Окт 2015 г. 15:09:45,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602186211,23 Окт 2015 г. 15:09:46,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602187274,23 Окт 2015 г. 15:09:47,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602188340,23 Окт 2015 г. 15:09:48,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602189411,23 Окт 2015 г. 15:09:49,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602190480,23 Окт 2015 г. 15:09:50,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602191552,23 Окт 2015 г. 15:09:51,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602192612,23 Окт 2015 г. 15:09:52,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602193680,23 Окт 2015 г. 15:09:53,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602194743,23 Окт 2015 г. 15:09:54,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602195807,23 Окт 2015 г. 15:09:55,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602196876,23 Окт 2015 г. 15:09:56,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602197944,23 Окт 2015 г. 15:09:57,2G,EDGE,1,250,2,7803,1443,-1,-51,1445601950
,ServiceLog, julia,1445602199012,23 Окт 2015 г. 15:09:59,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602200077,23 Окт 2015 г. 15:10:00,2G,EDGE,1,250,2,7803,1443,-1,-53,1445601950
,ServiceLog, julia,1445602201153,23 Окт 2015 г. 15:10:01,2G,EDGE,1,250,2,7803,1443,-1,-55,1445601950
,ServiceLog, julia,1445602202220,23 Окт 2015 г. 15:10:02,2G,EDGE,1,250,2,7803,1443,-1,-59,1445601950
,ServiceLog, julia,1445602203288,23 Окт 2015 г. 15:10:03,2G,EDGE,1,250,2,7803,1443,-1,-61,1445601950
,ServiceLog, julia,1445602204358,23 Окт 2015 г. 15:10:04,2G,EDGE,1,250,2,7803,1443,-1,-61,1445601950
,ServiceLog, julia,1445602205422,23 Окт 2015 г. 15:10:05,2G,EDGE,1,250,2,7803,1443,-1,-65,1445601950
,ServiceLog, julia,1445602206496,23 Окт 2015 г. 15:10:06,2G,EDGE,1,250,2,7803,1443,-1,-65,1445601950
,ServiceLog, julia,1445602207563,23 Окт 2015 г. 15:10:07,2G,EDGE,1,250,2,7803,1443,-1,-67,1445601950
,ServiceLog, julia,1445602208627,23 Окт 2015 г. 15:10:08,2G,EDGE,1,250,2,7803,1443,-1,-67,1445601950
,ServiceLog, julia,1445602209697,23 Окт 2015 г. 15:10:09,2G,EDGE,1,250,2,7803,1443,-1,-67,1445601950
,ServiceLog, julia,1445602210766,23 Окт 2015 г. 15:10:10,2G,EDGE,1,250,2,7803,1443,-1,-67,1445601950
,ServiceLog, julia,1445602211833,23 Окт 2015 г. 15:10:11,2G,EDGE,1,250,2,7803,1443,-1,-67,1445601950
,ServiceLog, julia,1445602212901,23 Окт 2015 г. 15:10:12,2G,EDGE,1,250,2,7803,1443,-1,-69,1445601950
,ServiceLog, julia,1445602213967,23 Окт 2015 г. 15:10:13,2G,EDGE,1,250,2,7803,1443,-1,-69,1445601950
,ServiceLog, julia,1445602215034,23 Окт 2015 г. 15:10:15,2G,EDGE,1,250,2,7803,1443,-1,-69,1445601950
