ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
253,Московская 3,natalie,1445519915195,22.10.2015 16:18:35,2G,GPRS,1,250,2,7803,22404,-1,-55,552491703,1445519915
253,Московская 3,natalie,1445519915195,22.10.2015 16:18:35,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-95,552491703,1445519915
,ServiceLog,natalie,1445519915282,22.10.2015 16:18:35,2G,GPRS,1,250,2,7803,22404,-1,-55,552491703,1445519915
,ServiceLog,natalie,1445519915282,22.10.2015 16:18:35,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-95,552491703,1445519915
,ServiceLog,natalie,1445519916307,22.10.2015 16:18:36,2G,GPRS,1,250,2,7803,22404,-1,-55,552491703,1445519915
,ServiceLog,natalie,1445519916307,22.10.2015 16:18:36,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-95,552491703,1445519915
,ServiceLog,natalie,1445519917327,22.10.2015 16:18:37,2G,GPRS,1,250,2,7803,22404,-1,-55,552491703,1445519915
,ServiceLog,natalie,1445519917327,22.10.2015 16:18:37,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-93,552491703,1445519915
,ServiceLog,natalie,1445519918348,22.10.2015 16:18:38,2G,GPRS,1,250,2,7803,22404,-1,-55,552491703,1445519915
,ServiceLog,natalie,1445519918348,22.10.2015 16:18:38,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-93,552491703,1445519915
,ServiceLog,natalie,1445519919373,22.10.2015 16:18:39,2G,GPRS,1,250,2,7803,22404,-1,-55,552491703,1445519915
,ServiceLog,natalie,1445519919373,22.10.2015 16:18:39,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-93,552491703,1445519915
,ServiceLog,natalie,1445519920394,22.10.2015 16:18:40,2G,GPRS,1,250,2,7803,22404,-1,-55,552491703,1445519915
,ServiceLog,natalie,1445519920394,22.10.2015 16:18:40,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-93,552491703,1445519915
,ServiceLog,natalie,1445519921415,22.10.2015 16:18:41,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519921415,22.10.2015 16:18:41,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-97,552491703,1445519915
,ServiceLog,natalie,1445519922432,22.10.2015 16:18:42,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519922432,22.10.2015 16:18:42,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-97,552491703,1445519915
,ServiceLog,natalie,1445519923450,22.10.2015 16:18:43,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519923450,22.10.2015 16:18:43,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-97,552491703,1445519915
,ServiceLog,natalie,1445519924464,22.10.2015 16:18:44,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519924464,22.10.2015 16:18:44,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-97,552491703,1445519915
,ServiceLog,natalie,1445519925478,22.10.2015 16:18:45,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519925478,22.10.2015 16:18:45,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-97,552491703,1445519915
,ServiceLog,natalie,1445519926503,22.10.2015 16:18:46,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519926503,22.10.2015 16:18:46,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-105,552491703,1445519915
254,Московская 4,natalie,1445519926804,22.10.2015 16:18:46,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
254,Московская 4,natalie,1445519926804,22.10.2015 16:18:46,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-105,552491703,1445519915
,ServiceLog,natalie,1445519927535,22.10.2015 16:18:47,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519927535,22.10.2015 16:18:47,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-105,552491703,1445519915
,ServiceLog,natalie,1445519928562,22.10.2015 16:18:48,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519928562,22.10.2015 16:18:48,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-105,552491703,1445519915
,ServiceLog,natalie,1445519929587,22.10.2015 16:18:49,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519929587,22.10.2015 16:18:49,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-105,552491703,1445519915
,ServiceLog,natalie,1445519930619,22.10.2015 16:18:50,2G,GPRS,1,250,2,7803,22404,-1,-63,552491703,1445519915
,ServiceLog,natalie,1445519930619,22.10.2015 16:18:50,2G,GPRS,250-2-7803-22404,-1,-1,7803,16090,-1,-105,552491703,1445519915
,ServiceLog,natalie,1445519931648,22.10.2015 16:18:51,2G,GPRS,1,250,2,7803,22404,-1,-61,552491703,1445519915
,ServiceLog,natalie,1445519932668,22.10.2015 16:18:52,2G,GPRS,1,250,2,7803,22404,-1,-61,552491703,1445519915
,ServiceLog,natalie,1445519933687,22.10.2015 16:18:53,2G,GPRS,1,250,2,7803,22404,-1,-61,552491703,1445519915
,ServiceLog,natalie,1445519934712,22.10.2015 16:18:54,2G,GPRS,1,250,2,7803,22404,-1,-61,552491703,1445519915
,ServiceLog,natalie,1445519935732,22.10.2015 16:18:55,2G,GPRS,1,250,2,7803,22404,-1,-61,552491703,1445519915
