ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
192,Академическая 2,natalie,1445581185034,23.10.2015 9:19:45,2G,GPRS,250-2-7803-22555,-1,-1,7803,2759,-1,-53,103961951,1445581009
192,Академическая 2,natalie,1445581185034,23.10.2015 9:19:45,2G,GPRS,1,250,2,7803,22555,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581185435,23.10.2015 9:19:45,2G,GPRS,1,250,2,7803,22555,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581185435,23.10.2015 9:19:45,2G,GPRS,250-2-7803-22555,-1,-1,7803,2759,-1,-53,103961951,1445581009
,ServiceLog,natalie,1445581186457,23.10.2015 9:19:46,2G,GPRS,1,250,2,7803,22555,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581186457,23.10.2015 9:19:46,2G,GPRS,250-2-7803-22555,-1,-1,7803,2759,-1,-53,103961951,1445581009
,ServiceLog,natalie,1445581187473,23.10.2015 9:19:47,2G,GPRS,1,250,2,7803,22555,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581187473,23.10.2015 9:19:47,2G,GPRS,250-2-7803-22555,-1,-1,7803,2759,-1,-53,103961951,1445581009
,ServiceLog,natalie,1445581188494,23.10.2015 9:19:48,2G,GPRS,1,250,2,7803,2759,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581188494,23.10.2015 9:19:48,2G,GPRS,250-2-7803-2759,-1,-1,7803,2759,-1,-53,103961951,1445581009
,ServiceLog,natalie,1445581189515,23.10.2015 9:19:49,2G,GPRS,1,250,2,7803,2759,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581189515,23.10.2015 9:19:49,2G,GPRS,250-2-7803-2759,-1,-1,7803,2759,-1,-53,103961951,1445581009
,ServiceLog,natalie,1445581190538,23.10.2015 9:19:50,2G,GPRS,1,250,2,7803,2759,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581190538,23.10.2015 9:19:50,2G,GPRS,250-2-7803-2759,-1,-1,7803,2759,-1,-53,103961951,1445581009
,ServiceLog,natalie,1445581191561,23.10.2015 9:19:51,2G,GPRS,1,250,2,7803,2759,-1,-69,103961951,1445581009
,ServiceLog,natalie,1445581191561,23.10.2015 9:19:51,2G,GPRS,250-2-7803-2759,-1,-1,7803,2759,-1,-53,103961951,1445581009
