ID,Name,User,TimeStamp,DateTime,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
,ServiceLog,natalie,1445533435894,22.10.2015 20:03:55,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533435894,22.10.2015 20:03:55,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-101,369760759,1445533055
,ServiceLog,natalie,1445533436917,22.10.2015 20:03:56,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533436917,22.10.2015 20:03:56,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533436917,22.10.2015 20:03:56,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-101,369760759,1445533055
,ServiceLog,natalie,1445533437934,22.10.2015 20:03:57,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533437934,22.10.2015 20:03:57,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533437934,22.10.2015 20:03:57,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-101,369760759,1445533055
,ServiceLog,natalie,1445533438957,22.10.2015 20:03:58,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533438957,22.10.2015 20:03:58,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-83,369760759,1445533055
,ServiceLog,natalie,1445533438957,22.10.2015 20:03:58,2G,GPRS,250-2-7803-15413,-1,-1,7803,14176,-1,-101,369760759,1445533055
,ServiceLog,natalie,1445533439978,22.10.2015 20:03:59,2G,GPRS,1,250,2,7803,15413,-1,-75,369760759,1445533055
,ServiceLog,natalie,1445533439978,22.10.2015 20:03:59,2G,GPRS,250-2-7803-15413,-1,-1,7803,1133,-1,-83,369760759,1445533055
