ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,RSSI
992,Шаболовская 2,md,1417510692770,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417510693576,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417510694600,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417510695615,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417510696634,2G,EDGE,1,250,1,770,543,-1,-65
,ServiceLog,md,1417510697678,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510698705,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510699736,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510700756,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510701776,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510702797,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417510703818,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417510704833,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417510705853,2G,EDGE,1,250,1,770,543,-1,-73
,ServiceLog,md,1417510706909,2G,EDGE,1,250,1,770,543,-1,-73
,ServiceLog,md,1417510707947,2G,EDGE,1,250,1,770,543,-1,-73
,ServiceLog,md,1417510708970,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417510709995,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417510711015,2G,EDGE,1,250,1,770,543,-1,-69
,ServiceLog,md,1417510712028,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510713070,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510714126,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510715160,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510716208,2G,EDGE,1,250,1,770,543,-1,-67
,ServiceLog,md,1417510717243,2G,EDGE,1,250,1,770,543,-1,-67
993,Шаболовская 3,md,1417510717365,2G,EDGE,1,250,1,770,543,-1,-67
