ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
262,Каховская 2,Andrey,1435826867449,3G,HSDPA,1,250,2,7717,10431524,-1,-87,321756903,1435826764
,ServiceLog,Andrey,1435826868299,3G,HSDPA,1,250,2,7717,10431524,-1,-87,321756903,1435826764
,ServiceLog,Andrey,1435826869378,3G,HSDPA,1,250,2,7717,10431524,-1,-87,321756903,1435826764
,ServiceLog,Andrey,1435826870454,3G,HSDPA,1,250,2,7717,10431524,-1,-87,321756903,1435826764
,ServiceLog,Andrey,1435826871530,3G,HSDPA,1,250,2,7717,10431524,-1,-87,321756903,1435826764
,ServiceLog,Andrey,1435826872611,3G,HSDPA,1,250,2,7717,10431524,-1,-87,321756903,1435826764
,ServiceLog,Andrey,1435826873659,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826874700,3G,HSDPA,1,250,2,7717,10431524,-1,-91,321756903,1435826764
,ServiceLog,Andrey,1435826875800,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826876824,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826877873,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826878921,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826879996,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826881166,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826882208,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826883238,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826884338,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826885375,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826886460,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826887542,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826888719,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
,ServiceLog,Andrey,1435826889737,3G,HSDPA,1,250,2,7717,10431524,-1,-93,321756903,1435826764
