ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
1322,Владыкино 2,Andrey,1435845746577,2G,EDGE,1,250,2,7737,1230,-1,-67,449805108,1435845616
,ServiceLog,Andrey,1435845746862,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845747882,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845748908,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845749941,2G,EDGE,1,250,2,7737,1230,-1,-71,449805108,1435845616
,ServiceLog,Andrey,1435845750981,2G,EDGE,1,250,2,7737,1230,-1,-71,449805108,1435845616
,ServiceLog,Andrey,1435845751995,2G,EDGE,1,250,2,7737,1230,-1,-71,449805108,1435845616
,ServiceLog,Andrey,1435845753025,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845754080,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845755166,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845756205,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845757232,2G,EDGE,1,250,2,7737,1230,-1,-69,449805108,1435845616
,ServiceLog,Andrey,1435845758298,2G,EDGE,1,250,2,7737,1230,-1,-67,449805108,1435845616
,ServiceLog,Andrey,1435845759342,2G,EDGE,1,250,2,7737,1230,-1,-67,449805108,1435845616
,ServiceLog,Andrey,1435845760372,2G,EDGE,1,250,2,7737,1230,-1,-67,449805108,1435845616
,ServiceLog,Andrey,1435845761435,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845762486,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845763524,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845764554,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845765611,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845766668,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845767692,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845768721,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845769743,2G,EDGE,1,250,2,7737,1230,-1,-65,449805108,1435845616
,ServiceLog,Andrey,1435845770763,2G,EDGE,1,250,2,7737,1230,-1,-67,449805108,1435845616
,ServiceLog,Andrey,1435845771821,2G,EDGE,1,250,2,7737,1230,-1,-67,449805108,1435845616
1323,Владыкино 3,Andrey,1435845772148,2G,EDGE,1,250,2,7737,1230,-1,-67,449805108,1435845616
