Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,-1,893,-1,-1,-1,Ботанический сад 3,2G,EDGE,-1,-67,1435845117909,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-65,1435845118462,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-65,1435845119540,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-69,1435845120549,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-69,1435845121627,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-71,1435845122637,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-71,1435845123712,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-113,1435845124722,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,2G,EDGE,-1,-113,1435845125745,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-67,1435845126759,Anna,1435841870,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,0,1435845127888,Anna,1435841870,449805108
1,-1,894,-1,-1,-1,Ботанический сад 4,unknown,unknown,-1,0,1435845128393,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-69,1435845128945,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-69,1435845129985,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-95,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-103,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845130995,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845130995,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-95,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-103,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845132085,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845132085,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-95,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-103,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845133110,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845133110,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-95,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-103,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845134203,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845134203,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-85,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-93,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845135228,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845135228,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-85,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-93,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845136265,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845136265,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-85,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-75,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845137308,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845137308,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-85,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-75,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845138417,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845138417,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-85,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-75,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-109,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-111,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845139440,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-113,1435845139440,Anna,1435841870,449805108
1,11013982,,7734,250,2,ServiceLog,3G,HSDPA,499,-85,1435845140551,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,249,-75,1435845140551,Anna,1435841870,449805108
250-2-7734-11013982,-1,,-1,-1,-1,ServiceLog,3G,HSDPA,-1,-67,1435845140551,Anna,1435841870,449805108
