ID,Name,User,TimeStamp,NetworkGen,NetworkType,Active,MCC,MNC,LAC,CID,PSC,Power,session_id,race_id
1573,Люблино 3,Andrey,1435908216833,2G,EDGE,1,250,2,7785,1440,-1,-69,77603657,1435908216
,ServiceLog,Andrey,1435908217651,2G,EDGE,1,250,2,7785,1440,-1,-69,77603657,1435908216
,ServiceLog,Andrey,1435908218685,2G,EDGE,1,250,2,7785,1440,-1,-71,77603657,1435908216
,ServiceLog,Andrey,1435908219753,2G,EDGE,1,250,2,7785,1440,-1,-71,77603657,1435908216
,ServiceLog,Andrey,1435908220819,2G,EDGE,1,250,2,7785,1440,-1,-71,77603657,1435908216
,ServiceLog,Andrey,1435908221867,2G,EDGE,1,250,2,7785,1440,-1,-71,77603657,1435908216
,ServiceLog,Andrey,1435908222898,2G,EDGE,1,250,2,7785,1440,-1,-71,77603657,1435908216
,ServiceLog,Andrey,1435908223926,2G,EDGE,1,250,2,7785,1440,-1,-69,77603657,1435908216
,ServiceLog,Andrey,1435908224983,2G,EDGE,1,250,2,7785,1440,-1,-69,77603657,1435908216
,ServiceLog,Andrey,1435908226037,2G,EDGE,1,250,2,7785,1440,-1,-69,77603657,1435908216
,ServiceLog,Andrey,1435908227067,2G,EDGE,1,250,2,7785,1440,-1,-69,77603657,1435908216
,ServiceLog,Andrey,1435908228163,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
1574,Люблино 4,Andrey,1435908228369,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908229183,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908230220,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908231387,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908232440,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908233461,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908234470,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908235505,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908236634,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908237708,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908238735,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908239782,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908240857,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908241869,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908242888,2G,EDGE,1,250,2,7785,1440,-1,-67,77603657,1435908216
,ServiceLog,Andrey,1435908243904,2G,EDGE,1,250,2,7785,1440,-1,-71,77603657,1435908216
,ServiceLog,Andrey,1435908244938,2G,EDGE,1,250,2,7785,1440,-1,-77,77603657,1435908216
,ServiceLog,Andrey,1435908245953,2G,EDGE,1,250,2,7785,1440,-1,-83,77603657,1435908216
,ServiceLog,Andrey,1435908246963,2G,EDGE,1,250,2,7785,1440,-1,-91,77603657,1435908216
,ServiceLog,Andrey,1435908247978,2G,EDGE,1,250,2,7785,1440,-1,-91,77603657,1435908216
,ServiceLog,Andrey,1435908248998,2G,EDGE,1,250,2,7785,1440,-1,-95,77603657,1435908216
,ServiceLog,Andrey,1435908250071,2G,EDGE,1,250,2,7785,1440,-1,-99,77603657,1435908216
,ServiceLog,Andrey,1435908251086,2G,EDGE,1,250,2,7785,1440,-1,-101,77603657,1435908216
,ServiceLog,Andrey,1435908252104,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908253121,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
,ServiceLog,Andrey,1435908254134,2G,EDGE,1,250,2,7785,1440,-1,-103,77603657,1435908216
