Active,CID,ID,LAC,MCC,MNC,Name,NetworkGen,NetworkType,PSC,Power,TimeStamp,User,race_id,session_id
1,-1,1323,-1,-1,-1,Владыкино 3,unknown,unknown,-1,-1,1435845705744,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845706166,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845707205,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845708242,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845709275,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845710310,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845711344,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845712375,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845713408,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845714441,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845715468,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845716494,vlad,1435845772,449805108
1,-1,1324,-1,-1,-1,Владыкино 4,unknown,unknown,-1,-1,1435845716732,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845717531,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845718566,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845719601,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845720634,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845721645,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845722681,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845723711,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845724750,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845725913,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845726960,vlad,1435845772,449805108
1,-1,,-1,-1,-1,ServiceLog,unknown,unknown,-1,-1,1435845727994,vlad,1435845772,449805108
